index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,"MQM annotations:
Minor: Unnatural Flow - The phrase ""对我来说，这是一个相当大的假设"" could be rephrased for a more natural flow in Chinese."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,"MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""才能产生"" sounds slightly unnatural in Chinese and could be improved for better flow. A more natural phrasing would be ""...才能够产生"" or ""...才能实现"".
[Minor]: [Unnatural Flow] - The repetition of ""过多的"" (guò duō de) can be slightly redundant. While grammatically correct, it can be stylistically improved by using a different structure or synonym for one of the instances."
14,Picking this up this weekend.,这个周末去取。,"```
MQM annotations:
Minor: Style/Unnatural Flow - The translation is grammatically correct, but ""这个周末去取"" sounds a bit unnatural in Chinese. A more natural way to express this would be something like ""这个周末去拿"" or ""这个周末去把它拿回来"".
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,"MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""男人味汽车"" (manly car) sounds a bit unnatural in Chinese. While the literal translation is understandable, it's not a common or idiomatic way to describe a ""guy car."" A more natural phrasing might focus on the characteristics of such a car (e.g., performance, appearance)."
19,I know they're not fast compared,我知道和别人比起来，它们不算快。,"MQM annotations:
Style Errors:
minor: unnatural flow - While grammatically correct, ""我知道和别人比起来，它们不算快"" sounds a bit unnatural in Chinese. A more fluent phrasing might be ""我知道它们跟别人比不算快"" or ""我知道它们相比之下不算快""."
20,#Venting into the Fediverse time.,在联邦宇宙倒苦水时间。,"MQM annotations:
Minor: Unnatural Flow - While technically correct, ""在...倒苦水时间"" sounds unnatural and overly literal in Chinese. A more natural phrasing would be ""发泄/吐槽时间"" or ""倾诉时间""."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,"MQM annotations:
Style error:
[Minor]: [Unnatural Flow] - While accurate, the phrase ""我和我的同居伴侣"" (me and my cohabitating partner) sounds a bit formal/stilted compared to the English source. A more natural phrasing might be just ""我伴侣"" (my partner) or ""我对象"" (my significant other) depending on the nuance."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员是一位相当明显的跨性别女性。,"MQM annotations:
minor: Unnatural Flow - The phrase ""相当明显的"" (fairly obvious) translates literally but sounds a bit unnatural in Chinese. A more fluent phrasing might be used depending on context."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
minor: style/unnatural flow - The translation is grammatically correct but sounds slightly unnatural. Adding a particle like ""就"" after ""我们"" would improve the flow and sound more natural in spoken Chinese."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,"MQM annotations:
Style Errors:
[Minor]: [Register/Inappropriate register] - The phrase ""他妈的"" (tā mā de) is a very vulgar expression in Chinese, equivalent to ""fucking"" in English. While it matches the source's level of profanity, depending on the context, a less offensive word choice might be more appropriate for broader audiences, or even omitted for a more formal tone. If the text is supposed to be generally accessible and not specifically targeting a very informal audience, the level of profanity could be considered slightly inappropriate, making it a minor issue.
[Minor]: [Unnatural Flow/Awkward phrasing] - While grammatically correct, the sentence structure is slightly unnatural. A more natural way to express this in Chinese could be restructuring the sentence for better flow."
29,This is the stupidest timeline and I hate it dot com.,这是最蠢的时间线，我讨厌它点com。,"MQM annotations:
Style Errors:
minor: unnatural flow - The translation of ""dot com"" as ""点com"" sounds unnatural in Chinese. While technically accurate, it doesn't flow well. A more natural way to express this sentiment in Chinese would be preferable."
32,But he can't pardon himself out of state prison.,但他无法特赦自己出州立监狱。,"MQM annotations:
Style Errors:
minor: unnatural flow - While grammatically correct, the phrase ""特赦自己出州立监狱"" sounds slightly unnatural in Chinese. A more common phrasing might be used."
33,It takes the state's governor.,需要州长。,"MQM annotations:
Style Errors
minor: style/unnatural flow - The translation is grammatically correct but sounds too literal and lacks natural flow. The Chinese phrase implies a need or requirement for the governor, which isn't directly conveyed by the English."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们认为语境依赖型交流是一种情境化的多层现象，其受到环境属性（如语境分布）的重大影响。,"MQM annotations:
minor: Unnatural Flow - While accurate, the phrase ""语境依赖型交流是一种情境化的多层现象"" could be more naturally expressed in Chinese."
47,Communities gain the knowledge to embed and support their own development.,社区获得知识，从而能够扎根并支持自身发展。,"MQM annotations:
minor: style/Unnatural Flow - The phrase ""从而能够扎根"" (cóng ér nénggòu zhāgēn) feels slightly unnatural and could be rephrased for a smoother flow."
