index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,"MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""Direct3D3"" should be ""Direct3D 3"".
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,"MQM annotations:
Terminology errors:
minor: WRONG TERM/Wrong Term - The term ""亚原子粒子"" should not be followed by 的事实.
minor: WRONG TERM/Wrong Term - ""强制力"" might not be the best translation in this context. A more neutral term like ""coordination"" or ""organization"" might be more appropriate, depending on the intended nuance."
14,Picking this up this weekend.,这个周末去取。,"```
MQM annotations:
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,"MQM annotations:
Terminology errors:
minor: WRONG TERM - “男人味” does not completely capture the intended meaning of ""guy car."" While it conveys masculinity, it misses the nuance of a car that appeals to or represents a certain type of male car enthusiast, specifically in the context of a first car."
19,I know they're not fast compared,我知道和别人比起来，它们不算快。,"MQM annotations:
Terminology errors:
minor: WRONG TERM - The phrase ""和别人比起来"" is too literal a translation for ""compared"". It should be more concise and natural."
20,#Venting into the Fediverse time.,在联邦宇宙倒苦水时间。,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""联邦宇宙"" (Federal Universe) is a possible but not ideal translation of ""Fediverse"". A more common and appropriate term might be ""联邦宇宙"" or ""联邦宇宙社区"". While not critically wrong, it lacks nuance."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""酒铺"" is a valid translation for ""liquor store"" but ""酒铺"" typically refers to a more traditional wine shop, while ""liquor store"" in this context is a generic store selling alcoholic beverages. While not incorrect, it's slightly less precise. A better term might be ""酒店"" or ""酒类商店"".
minor: WRONG TERM - ""香槟"" is a correct translation for ""bub"" (referring to champagne/sparkling wine), but it's more specific. ""bub"" is a colloquial term, and depending on the intended nuance, a more general term like ""气泡酒"" (sparkling wine) might be more appropriate.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员是一位相当明显的跨性别女性。,"MQM annotations:
Terminology errors:
minor: WRONG TERM/grammatical error - ""跨性别女性"" should be ""跨性别者女性"" or ""跨性女"". While the current translation is understandable, it's not the most natural way to express ""trans woman"" in Chinese."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"```
MQM annotations:
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,"MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""他妈的"" (tā mā de) is translated literally as ""his mother's,"" but its tone and nuance in Chinese slang can vary. While it technically fits the definition, the choice of this exact phrasing might be considered too direct or vulgar in some contexts, especially given the broad meaning of the English word ""fucking"". A slightly more subtle or context-sensitive option could have been chosen."
