index,original,translated,accuracy_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""only using a Direct3D object, not a Direct3D3 object"" does not accurately reflect the meaning of the source text, which states that the viewport is being created using a Direct3D object, not a Direct3D3 object."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""只有在资本主义体系下才能进行"" does not fully reflect the meaning of the source text, which states that the experiments are ""only possible in capitalism"". The translation implies that the experiments can only be conducted under capitalism, while the source suggests that capitalism is a necessary condition for these experiments to be possible.
[Minor]: [accuracy/addition] - The translation adds the phrase ""太多的强制手段"" which is not present in the source text. While this addition does not significantly change the meaning, it is not directly supported by the source."
14,Picking this up this weekend.,这个周末拿到它。,"MQM annotations:
Accuracy Errors
[Minor]: accuracy/addition - The translation ""这个周末拿到它"" adds the word ""拿到"" (pick up/get) which is not present in the source text ""Picking this up this weekend."""
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""初级汽车"" (entry-level car) does not accurately reflect the meaning of ""first car guy car"" in the source text, which suggests a preference for a car with an 80s aesthetic.
[Minor]: accuracy/addition - The translation ""我真的很喜欢80年代的美学"" (I really love the 80s aesthetic) accurately conveys the meaning of the source text, but the addition of ""的美学"" (the aesthetic) is not necessary."
19,I know they're not fast compared,我知道他们相比之下不快。,"MQM annotations:
Accuracy Errors
[Minor]: accuracy/mistranslation - The translation ""不快"" does not fully convey the meaning of ""not fast"" in the source text. A more accurate translation would be ""不太快"" or ""速度较慢""."
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""向联邦宇宙发泄时间"" does not accurately convey the meaning of the source text ""#Venting into the Fediverse time."" The translation suggests a more literal meaning of ""venting into the Fediverse,"" whereas the source text is using ""venting"" in the sense of expressing emotions or frustrations."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""同居伴侣"" (domestic partner) is translated as ""同居伴侣"" (cohabiting partner), which does not precisely reflect the meaning of ""Domestic Partner"" in the source text.
[Minor]: accuracy/addition - ""酒店"" (hotel) is added, which is not present in the source text."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""跨性别女性"" (transgender woman) does not precisely reflect the meaning of the source text ""a fairly obvious #trans woman"", which suggests the cashier is a transgender woman but does not explicitly state it.

[Minor]: no-error

The translation accurately conveys the meaning of the source text, with the only potential issue being the use of the more explicit term ""跨性别女性"" (transgender woman) instead of the more ambiguous ""a fairly obvious #trans woman"" in the source. However, this does not significantly change the overall meaning, so it is classified as a minor error at most."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
Accuracy Errors
[Minor]: [accuracy/omission] - The translation omits the phrase ""for our stuff"", which is present in the source text."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""真他妈的糟糕"" does not fully convey the meaning of ""FUCKING SUCKS"" in the source text, which expresses a stronger negative sentiment.
[Minor]: no-error"
29,This is the stupidest timeline and I hate it dot com.,"这是最愚蠢的时间线,我讨厌它。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""这是最愚蠢的时间线,我讨厌它。"" does not fully capture the meaning of the source text ""This is the stupidest timeline and I hate it dot com."" The addition of ""dot com"" at the end of the source text is not reflected in the translation.
[Minor]: no-error"
32,But he can't pardon himself out of state prison.,但是他不能赦免自己脱离州监狱。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""但是他不能赦免自己脱离州监狱"" does not accurately convey the meaning of the source text ""But he can't pardon himself out of state prison."" The translation suggests that he cannot pardon himself to get out of state prison, while the source text indicates that he cannot pardon himself from state prison."
33,It takes the state's governor.,州长需要。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/omission - The translation ""州长需要"" does not fully convey the meaning of the source text ""It takes the state's governor."" The translation is missing the information that it is the state's governor who takes or requires something."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""受环境特性(如情境分布)的关键影响"" does not fully capture the meaning of the source text ""crucially influenced by environment properties such as distribution of contexts"". The translation focuses more on the environmental properties rather than the influence on the communication phenomenon.
[Minor]: [accuracy/addition] - The translation ""我们建议"" adds the phrase ""we suggest"" which is not present in the source text."
47,Communities gain the knowledge to embed and support their own development.,社区获得嵌入和支持自身发展的知识。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""嵌入和支持自身发展的知识"" does not fully capture the meaning of the source text ""embed and support their own development"". The translation focuses more on the knowledge gained, rather than the communities actively embedding and supporting their own development.
[Minor]: no-error"
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,"通过各种干预措施,从设备购买支持到培训,已经建立了数千棵树,农民看到了作物产量的增加。","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""已经建立了数千棵树"" does not accurately reflect the meaning of the source text ""Thousands of trees have been established"", as the source indicates that the trees have been planted, not just established.
[Minor]: [accuracy/addition] - The phrase ""从设备购买支持到培训"" adds additional details not present in the source text ""from support with equipment purchases to training""."
53,The UPS store near me won't allow me to write a label or write on the box.,附近的UPS商店不允许我在标签或箱子上写字。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""附近的UPS商店不允许我在标签或箱子上写字"" does not accurately reflect the meaning of the source text ""The UPS store near me won't allow me to write a label or write on the box."" The translation suggests that the UPS store does not allow the person to write on the label or box, while the source text indicates that the person is not allowed to write a label or write on the box.
[Minor]: none"
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不会允许我告诉他们它要去的地址和谁在发货。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""他们不会允许我告诉他们它要去的地址和谁在发货"" does not accurately reflect the meaning of the source text ""They won't allow me to tell them the address it's going to and who is shipping it."" The translation suggests that the ""they"" will not allow the speaker to tell them the address and who is shipping it, while the source text indicates that the ""they"" will not allow the speaker to reveal the address and who is shipping it.
[Minor]: no-error"
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","这是一种愤怒的行为,就像一个象征性的1月6日反民主狂欢节,充满谎言和不满,由美国媒体自毁性地主办。","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: accuracy/mistranslation - The translation ""a symbolic Jan 6 anti-democratic festivus of lies & grievance"" does not accurately reflect the meaning of the source text, which refers to the events of January 6th, 2021 in the United States.
[Minor]: None"
61,Licht AGREED to an all Republican audience!,同意,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""同意"" (agree) does not accurately reflect the meaning of the source text ""Licht AGREED to an all Republican audience!"", which indicates that Licht agreed to speak to a Republican-only audience."
64,The ratings--seeking delusional irresponsibility of it all.,收视率追求的妄想不负责任。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""收视率追求的妄想不负责任"" does not accurately reflect the meaning of the source text ""The ratings--seeking delusional irresponsibility of it all."" The translation focuses on the ""ratings-seeking"" aspect, but misses the broader meaning of ""delusional irresponsibility"" in the source.
[Minor]: no-error"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","我有一个非常通风的地下室,这实际上意味着我可能会有很多啮齿动物来寻求庇护。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""啮齿动物"" (rodents) does not fully capture the meaning of ""rodents taking refuge"" in the source text, which suggests the rodents are seeking shelter in the drafty basement.
[Minor]: none"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""cleaned all the traps of peanut butter, and superglued a pistachio to them"" does not fully reflect the meaning of the source text, which indicates that the narrator ""cleaned all the traps of peanut butter, and superglued a pistachio to them"".
[Minor]: no-error

The translation accurately conveys the meaning of the source text, with no significant accuracy errors."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","对不起,我无法提供任何额外的文本。以下是您要求的翻译:

(fwiw, 我几乎尝试了市面上所有的""人道""捕捉器,但成功率很低。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""我无法提供任何额外的文本"" does not fully reflect the meaning of the source text ""(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.""
[Minor]: accuracy/omission - The translation omits the phrase ""fwiw"" which stands for ""for what it's worth"" and provides context for the statement."
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党和政府将自己包装成亲商的品牌。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""将自己包装成亲商的品牌"" does not fully capture the meaning of the source text ""wrapping themselves in the brand of pro-business"". The translation focuses more on the packaging or branding aspect, rather than the underlying pro-business stance.
[Minor]: no-error

The translation overall conveys the intended meaning, but the phrasing could be improved to better reflect the nuance of the source text."
74,"They aren't, at least not in Alberta.","他们不是,至少在阿尔伯塔省不是。","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""他们不是,至少在阿尔伯塔省不是"" does not accurately reflect the meaning of the source text ""They aren't, at least not in Alberta."" The translation suggests that ""they"" are not something, while the source indicates that ""they"" (referring to something) are not the case in Alberta.

[Minor]: [accuracy/omission] - The translation omits the implicit meaning of ""at least"" in the source text, which suggests that the statement may be true in other places, even if it is not true in Alberta."
75,Sure they cut business taxes.,他们确实降低了企业税率。,"MQM annotations:
Accuracy Errors
[Minor]: [accuracy/addition] - The translation ""他们确实降低了企业税率"" contains the additional word ""确实"" which is not present in the source text ""Sure they cut business taxes."""
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.","2023年,发现本地电视台网站是互联网上最糟糕的体验,这是一个艰难的教训。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""2023年,发现本地电视台网站是互联网上最糟糕的体验,这是一个艰难的教训"" does not fully capture the meaning of the source text ""Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet."" The translation focuses more on the ""hard lesson learned"" aspect, while the source emphasizes the poor experience of local TV station websites.
[Minor]: no-error"
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹窗、自动播放视频、动画、弹出窗口和广告、广告、广告。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/addition - The translation includes additional words ""弹出窗口"" (popovers) that are not present in the source text.
[Minor]: accuracy/mistranslation - The translation of ""ads, ads, ads"" as ""广告、广告、广告"" (ads, ads, ads) is a literal translation that does not fully capture the emphasis and repetition in the source text."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","即使现在 goatse.cx 已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看温迪发给我的视频。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""竞争可能会很激烈"" does not fully capture the meaning of ""a close race to the bottom"" in the source text, which suggests a competition to reach the lowest or most undesirable level.
[Minor]: accuracy/addition - The addition of ""温迪"" (Wendy) is not present in the source text."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",我只是把他送到格拉斯哥。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/omission] - The translation does not include the phrase ""I attempted to explain"" which is present in the source text.
[Minor]: [accuracy/addition] - The translation adds the word ""只是"" (just) which is not present in the source text."
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我深信我们需要准备好与特朗普主义抗争。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""昨晚让我深信我们需要准备好与特朗普主义抗争"" does not fully capture the nuance of the source text. The source text suggests that the speaker was ""convinced"" of the need to fight against Trumpism, whereas the translation is more direct in stating that the speaker ""deeply believes"" this.
[Minor]: no-error"
94,Get some bumper stickers that are anti-Trump and plaster them all over.,贴一些反特朗普的汽车贴纸到处张贴。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""贴一些反特朗普的汽车贴纸到处张贴"" does not fully capture the meaning of the source text ""Get some bumper stickers that are anti-Trump and plaster them all over."" The translation focuses on the action of ""plastering"" the stickers, while the source text emphasizes obtaining the anti-Trump stickers.
[Minor]: accuracy/addition - The translation ""贴一些反特朗普的汽车贴纸到处张贴"" adds the word ""汽车"" (car) which is not present in the source text."
95,Yell back at those who would try to talk over us.,对那些试图压制我们声音的人大声回应。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""对那些试图压制我们声音的人大声回应"" does not fully capture the meaning of the source text ""Yell back at those who would try to talk over us."" The translation focuses more on ""responding loudly"" rather than the idea of ""yelling back"" at those trying to talk over or suppress the speaker's voice.
[Minor]: no-error"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,"所以我急忙回到公寓想避开他,但他还是设法追上我聊天。","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""设法追上我聊天"" does not fully reflect the meaning of the source text ""managed to catch up to me to chat"". The translation implies that the person intentionally caught up to the speaker, while the source text suggests the speaker was trying to avoid the person but the person still managed to catch up.
[Minor]: no-error"
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,"阿部把他的悲伤隐藏起来,很容易笑,而汤姆不怕哭泣,但对粗俗的幽默不太感兴趣。","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""阿部把他的悲伤隐藏起来,很容易笑"" does not fully capture the meaning of the source text ""Abe keeps his sorrows hidden and laughs easily"". The translation focuses more on Abe's behavior rather than the contrast between Abe and Tom.
[Minor]: [accuracy/mistranslation] - The translation ""而汤姆不怕哭泣,但对粗俗的幽默不太感兴趣"" does not precisely reflect the meaning of the source text ""Tom is not afraid to cry but is less amused by rude humor"". The translation emphasizes Tom's lack of interest in crude humor, but does not convey the idea that he is less amused by it.
[None]: No other accuracy errors identified."
106,Mio knows that sorrow is life's constant companion.,"缪知道,悲伤是生命永恒的伴侣。","MQM annotations:
Accuracy Errors
[Minor]: [accuracy/mistranslation] - The translation ""缪"" for the name ""Mio"" is not accurate."
108,#CNN needs to just close down.,#CNN需要关闭。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/omission] - The translation omits the ""#"" symbol, which is present in the source text and conveys the meaning of a hashtag."
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天与#MangoMoron的灾难性事件是一场令人发指的灾难。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""灾难性事件"" (disastrous event) does not fully capture the meaning of ""fiasco"" in the source text, which suggests a chaotic, embarrassing, or failed situation rather than just a disastrous event.
[Minor]: accuracy/addition - The translation ""令人发指的"" (outrageous) adds an extra descriptor that is not present in the source text."
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.","书呆子学生阿尼·坎宁安迷恋上了一辆1958年普利茅斯·富瑞的旧车,并沉迷于将这辆经典汽车修复到昔日的辉煌。","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""书呆子学生阿尼·坎宁安迷恋上了一辆1958年普利茅斯·富瑞的旧车"" does not accurately reflect the meaning of the source text ""Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury"". The translation refers to the car as ""a rusty 1958 Plymouth Fury"", while the source text refers to it as ""Christine"".
[Minor]: [accuracy/addition] - The translation ""并沉迷于将这辆经典汽车修复到昔日的辉煌"" adds the phrase ""to her former glory"" which is not present in the source text."
