index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The use of ""Direct3D3 object"" may not be familiar or understandable to the target Chinese audience, as it is a technical term specific to the software development context."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""capitalism"" may not be well-understood or have the same connotations for all target audiences, as economic systems can vary significantly across cultures.
[Minor]: WRONG LANGUAGE VARIETY - The translation uses formal and technical language that may not be appropriate for all target audiences, and could be perceived as overly academic or inaccessible."
14,Picking this up this weekend.,这个周末拿到它。,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""this weekend"" may not be a common expression in the target Chinese culture, where the concept of ""weekends"" may not be as strongly emphasized."
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""first car guy car"" may not be easily understood by the Chinese audience, as the concept of a ""first car"" and ""car guy"" culture may not be as prevalent in China.
[Minor]: WRONG LANGUAGE VARIETY - The phrase ""80s aesthetic"" may not be a natural way to express the preference for 1980s design in Chinese, and a more common phrase would be preferred."
19,I know they're not fast compared,我知道他们相比之下不快。,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""not fast compared"" may not be a natural or idiomatic way to express the idea in Chinese, as the comparison is not clearly stated."
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""Fediverse"" may not be familiar to the Chinese audience and could be confusing."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""bub"" is a colloquial American English term for sparkling wine, which may not be familiar or appropriate for the Chinese target audience.
[Minor]: WRONG LANGUAGE VARIETY - The term ""酒店"" (hotel) is not the most appropriate translation for ""liquor store"" in this context. A more suitable term would be ""酒类商店"" or ""酒铺""."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""trans woman"" may not be a commonly understood or accepted concept in the target Chinese culture, and could be seen as inappropriate or confusing."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""paid for our stuff"" may not be a natural or common expression in the target Chinese culture, and could be perceived as informal or colloquial."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The use of the phrase ""真他妈的糟糕"" (literally ""it's really fucking terrible"") may be considered too colloquial or vulgar for some Chinese audiences, as it contains strong profanity. A more formal or neutral expression would be more appropriate."
