index,original,translated,linguistic_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The order of the words ""Direct3D object"" and ""Direct3D3 object"" is incorrect compared to the source text."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is not natural and does not follow the typical structure of the target language. The sentence structure should be rearranged to improve the flow and readability."
14,Picking this up this weekend.,这个周末拿到它。,"MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation ""这个周末拿到它"" does not match the source text ""Picking this up this weekend."""
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The translation ""我"" should be capitalized as ""我"" to follow the capitalization conventions in Chinese.
[Minor]: punctuation - The translation is missing a period at the end of the sentence."
19,I know they're not fast compared,我知道他们相比之下不快。,"MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation is slightly different from the source text, but the meaning is still clear."
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation uses ""向联邦宇宙"" instead of the more common capitalization ""向联邦宇宙""."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""bub"" should be capitalized as ""Bub"" to follow standard capitalization conventions."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The word ""trans"" should be capitalized as ""Trans"" to follow the convention of capitalizing proper nouns."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The translation is missing a period at the end of the sentence."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","MQM annotations:
linguistic conventions errors:
[Major]: [punctuation] - The punctuation usage in the translation is inconsistent with the source text. The source text uses an exclamation mark, but the translation uses a period.
[Minor]: [spelling] - The translation uses ""他妈的"" (a vulgar expression) instead of the more neutral ""真的"" (really) as in the source text."
29,This is the stupidest timeline and I hate it dot com.,"这是最愚蠢的时间线,我讨厌它。","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The phrase ""dot com"" should not be capitalized."
32,But he can't pardon himself out of state prison.,但是他不能赦免自己脱离州监狱。,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation ""但是他不能赦免自己脱离州监狱"" is not natural compared to the source text ""But he can't pardon himself out of state prison."""
33,It takes the state's governor.,州长需要。,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The translation is missing a verb. The source text ""It takes the state's governor"" implies an action, but the translation ""州长需要"" (The governor needs) does not convey the same meaning."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","MQM annotations:
linguistic conventions errors:
[Minor]: grammar - The sentence structure ""我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响"" is slightly awkward compared to the source text. A more natural translation could be ""我们认为,依情境而定的交流是一种多层面的现象,其关键受环境特性(如情境分布)的影响。"""
47,Communities gain the knowledge to embed and support their own development.,社区获得嵌入和支持自身发展的知识。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of ""Communities"" should be lowercase to match the source text.
[Minor]: [Punctuation] - The period at the end of the sentence is missing."
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,"通过各种干预措施,从设备购买支持到培训,已经建立了数千棵树,农民看到了作物产量的增加。","MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - Missing comma after ""to training""."
53,The UPS store near me won't allow me to write a label or write on the box.,附近的UPS商店不允许我在标签或箱子上写字。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation uses ""附近的UPS商店"" instead of the more conventional ""附近的 UPS 商店"" with a space between ""UPS"" and ""商店"".
[Minor]: [punctuation] - The translation uses a period ""。"" at the end of the sentence, which is not necessary as the source text does not end with a period."
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不会允许我告诉他们它要去的地址和谁在发货。,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is unnatural and does not flow well. The translation should be more idiomatic.
[Minor]: [punctuation] - The comma after ""发货"" should be removed to follow the punctuation conventions of the target language."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","这是一种愤怒的行为,就像一个象征性的1月6日反民主狂欢节,充满谎言和不满,由美国媒体自毁性地主办。","MQM annotations:
linguistic conventions errors:
[Major]: [capitalization] - The phrase ""Jan 6"" should be capitalized as ""Jan. 6"" to follow standard capitalization conventions.
[Major]: [punctuation] - The phrase ""self-destructively hosted by American media"" should have a comma after ""grievance"" to improve the flow of the sentence.
[Minor]: [word order] - The phrase ""self-destructively hosted by American media"" could be rearranged to ""hosted self-destructively by American media"" to better match the word order of the source text."
61,Licht AGREED to an all Republican audience!,同意,"MQM annotations:
linguistic conventions errors:
[Major]: [capitalization] - The name ""Licht"" should be capitalized.
[Major]: [grammar] - The phrase ""an all Republican audience"" is grammatically incorrect. It should be ""a Republican audience""."
64,The ratings--seeking delusional irresponsibility of it all.,收视率追求的妄想不负责任。,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is not natural and does not match the flow of the source text. The translation should be restructured to better reflect the original phrasing."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","我有一个非常通风的地下室,这实际上意味着我可能会有很多啮齿动物来寻求庇护。","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The translation ""我可能会有很多啮齿动物来寻求庇护"" uses the modal verb ""可能"" which is not necessary in this context. The correct grammar would be ""我会有很多啮齿动物来寻求庇护""."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""superglued"" should be capitalized.
[Minor]: [punctuation] - A period should be added at the end of the sentence."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","对不起,我无法提供任何额外的文本。以下是您要求的翻译:

(fwiw, 我几乎尝试了市面上所有的""人道""捕捉器,但成功率很低。","MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Missing comma after ""fwiw""."
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党和政府将自己包装成亲商的品牌。,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The phrase ""保守党和政府"" should be capitalized as ""保守党和政府"" to follow standard capitalization conventions.
[Minor]: punctuation - The period at the end of the sentence is missing."
74,"They aren't, at least not in Alberta.","他们不是,至少在阿尔伯塔省不是。","MQM annotations:
linguistic conventions errors:
[Minor]: [grammar] - The translation ""他们不是,至少在阿尔伯塔省不是"" does not match the grammatical structure of the source text ""They aren't, at least not in Alberta."" The translation uses a more direct and literal structure compared to the more idiomatic phrasing in the source."
75,Sure they cut business taxes.,他们确实降低了企业税率。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The translation ""他们确实降低了企业税率。"" should have the first character capitalized as ""他们确实降低了企业税率。""."
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.","2023年,发现本地电视台网站是互联网上最糟糕的体验,这是一个艰难的教训。","MQM annotations:
linguistic conventions errors:
[Major]: [Capitalization] - The first letter of the first word in the translation should be capitalized.
[Minor]: [Punctuation] - The period at the end of the sentence is missing."
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹窗、自动播放视频、动画、弹出窗口和广告、广告、广告。,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The translation uses inconsistent capitalization compared to the source text. For example, ""Popups"" is capitalized in the source but not in the translation.
[Minor]: punctuation - The translation uses commas to separate the list items, while the source uses commas and the conjunction ""and"" to separate the last two items."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","即使现在 goatse.cx 已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看温迪发给我的视频。","MQM annotations:
linguistic conventions errors:
[Major]: [Punctuation] - The comma after ""though"" is unnecessary.
[Minor]: [Capitalization] - ""khou.com"" should be capitalized as ""Khou.com""."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",我只是把他送到格拉斯哥。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Missing comma after ""Glasgow"".

The translation is generally accurate, with only a minor punctuation error. The sentence structure and word choice are correct, but a comma should have been added after ""Glasgow"" to match the punctuation in the source text."
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我深信我们需要准备好与特朗普主义抗争。,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first word ""昨晚"" should be capitalized."
94,Get some bumper stickers that are anti-Trump and plaster them all over.,贴一些反特朗普的汽车贴纸到处张贴。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The translation ""贴一些反特朗普的汽车贴纸到处张贴"" should capitalize the first letter of the sentence.
[Minor]: [Punctuation] - The translation lacks a period at the end of the sentence."
95,Yell back at those who would try to talk over us.,对那些试图压制我们声音的人大声回应。,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is not natural compared to the source text. The translation should be rearranged to better match the natural flow of the target language.

The corrected translation could be:
对那些试图压制我们声音的人,大声回应。"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,"所以我急忙回到公寓想避开他,但他还是设法追上我聊天。","MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The comma after ""聊天"" should be a period to end the sentence properly."
