index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","locale conventions:

MQM annotations:
[Major]: [locale_conventions/currency format] - The translation uses the incorrect currency format by not including a space between the currency symbol and the numeric value, which is the standard convention in Chinese."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""too much"" should be formatted according to the Chinese locale convention, which typically uses a comma as the thousands separator (e.g., ""太多的"")."
14,Picking this up this weekend.,这个周末拿到它。,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format ""这个周末"" does not follow the standard Chinese date format convention."
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""80s"" should be formatted as ""80's"" to match the English locale convention."
19,I know they're not fast compared,我知道他们相比之下不快。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The translation uses a comma to separate thousands, which is not the standard format in English."
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,"locale conventions:

MQM annotations:
[Minor]: [terminology/inappropriate for context] - The term ""Fediverse"" may not be widely understood in the Chinese context and a more common term could be used."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,"locale conventions:

MQM annotations:
[Minor]: [currency format] - The currency format in the target text does not match the locale-specific requirements. In Chinese, the currency symbol (¥) should be placed before the numeric value."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","locale conventions:

MQM annotations:
[Minor]: [address format] - The placement of ""St."" is not in the correct format for the Chinese locale."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""..."" is not formatted according to the Chinese locale convention."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","locale conventions:

MQM annotations:
[Minor]: [LANGUAGE/REGISTER] - The use of the phrase ""真他妈的糟糕"" (literally ""it's really fucking terrible"") may be considered too colloquial or vulgar for a formal translation."
29,This is the stupidest timeline and I hate it dot com.,"这是最愚蠢的时间线,我讨厌它。","locale conventions:

MQM annotations:
[Major]: [address format] - The address format in the Chinese translation does not follow the standard format used in English. The elements of the address are not presented in the correct order."
32,But he can't pardon himself out of state prison.,但是他不能赦免自己脱离州监狱。,"locale conventions:

MQM annotations:
[Major]: [ADDRESS FORMAT] - The translation does not follow the correct address format for the target language. The elements of the address are not presented in the expected order or format."
33,It takes the state's governor.,州长需要。,"locale conventions:

MQM annotations:
[Major]: [locale_conventions/address format] - The translation ""州长需要"" does not accurately convey the meaning of the source text ""It takes the state's governor."" The translation is missing key information about the state's governor."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""12345"" in the target text should be formatted with a space or comma separator to match the locale convention (e.g., ""12 345"" or ""12,345"")."
47,Communities gain the knowledge to embed and support their own development.,社区获得嵌入和支持自身发展的知识。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the source text."
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,"通过各种干预措施,从设备购买支持到培训,已经建立了数千棵树,农民看到了作物产量的增加。","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""thousands"" in the source text is not formatted correctly in the target text."
53,The UPS store near me won't allow me to write a label or write on the box.,附近的UPS商店不允许我在标签或箱子上写字。,"locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not match the standard Chinese address format."
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不会允许我告诉他们它要去的地址和谁在发货。,"locale conventions:

MQM annotations:
[Major]: [address format] - The address format in the target text does not match the expected format. The address should be presented in a more structured way, with each component (street, city, state, zip code, country) separated by appropriate punctuation or line breaks."
