index,original,zero_shot_translation,annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""Direct3D3 object"" is not accurate, as the source text refers to a ""Direct3D object"", not a ""Direct3D3 object"".

Fluency Errors
[Minor]: [grammar] - The translation ""因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口"" could be improved by using a more natural grammar structure, such as ""因为它只使用了Direct3D对象而不是Direct3D3对象来创建视口"".

Overall, the translation is generally accurate and understandable, with only minor errors that do not significantly impact the meaning or flow of the text."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the phrase ""e.g. about subatomic particles"" from the original text.

Fluency Errors
[Minor]: [grammar] - The translation uses the phrase ""一些事实,例如关于亚原子粒子的事实"" which is grammatically correct but could be improved to ""一些事实,例如关于亚原子粒子的事实,只能通过实验来获得"".

Terminology Errors
[Minor]: [inappropriate for context] - The translation uses the term ""资本主义体系"" which may not be the most appropriate term in this context.

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the comprehension of the text."
14,Picking this up this weekend.,这个周末拿到它。,"MQM annotations:

Accuracy Errors
[Minor]: Mistranslation - The translation ""拿到它"" does not accurately convey the meaning of ""Picking this up"" in the source text.

Fluency Errors
[Minor]: Grammar - The translation ""这个周末拿到它"" has a slightly unnatural word order compared to the more natural Chinese phrasing ""这个周末拿到它"".

Terminology Errors
[Minor]: Inappropriate for context - The translation ""拿到它"" does not capture the nuance of ""Picking this up"" in the source text, which suggests an action of retrieving or obtaining the item.

Overall, the translation is generally understandable, but there are some minor errors in accuracy, fluency, and terminology that could be improved to better convey the meaning of the source text."
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""初级汽车"" (entry-level car) does not accurately convey the meaning of ""first car guy car"" in the source text, which refers to a car suitable for a first-time car buyer.

Fluency Errors
[Minor]: [grammar] - The grammar in the translation is slightly awkward, and could be improved by rephrasing the sentence as ""我正在寻找一辆适合初次购车者的好车;我真的很喜欢80年代的美学。""

Terminology Errors
[Minor]: [inappropriate for context] - The term ""美学"" (aesthetics) may not be the most natural choice to describe one's preference for the design of a car from the 1980s. A more common term like ""风格"" (style) or ""设计"" (design) may be more appropriate.

Overall, the translation conveys the main meaning of the source text, but could be improved in terms of accuracy, fluency, and terminology to better reflect the intended message."
19,I know they're not fast compared,我知道他们相比之下不快。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation does not accurately convey the meaning of the original English sentence. The original sentence suggests that the ""they"" are not fast, while the Chinese translation says ""they are not fast in comparison"".

Fluency Errors
[Minor]: [grammar] - The Chinese translation uses the structure ""相比之下不快"" which is grammatically correct but sounds a bit unnatural. A more natural phrasing would be ""他们不快"" or ""他们的速度不快"".

Terminology Errors
[Minor]: [inappropriate for context] - The term ""不快"" is a bit vague and could mean ""not fast"" or ""not happy/pleased"". A more specific term like ""速度慢"" would be more appropriate in this context.

Overall, the translation conveys the general meaning of the original sentence, but there are some minor errors in accuracy, fluency, and terminology that could be improved."
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""向联邦宇宙发泄时间"" does not accurately convey the meaning of the original English phrase ""#Venting into the Fediverse time."" The translation suggests a more literal interpretation of ""venting"" and ""Fediverse"" rather than the intended meaning of expressing oneself on a decentralized social media platform.

Fluency Errors
[Minor]: [Grammar] - The Chinese translation lacks a subject, making the sentence structure less natural and fluent.

Terminology Errors
[Minor]: [Inappropriate for context] - The term ""联邦宇宙"" (Fediverse) may not be a widely recognized or commonly used term in the Chinese context, and a more familiar or descriptive term may be more appropriate.

Overall, the translation conveys the general meaning of the original text, but there are some minor errors in accuracy, fluency, and terminology that could be improved to enhance the quality of the translation."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The source text refers to a ""liquor store"", which is a store that sells alcoholic beverages, but the translation uses ""酒店"" which means ""hotel"" in Chinese.
[Minor]: [untranslated text] - The term ""bub"" in the source text is not translated into the target text.

Fluency Errors
[Minor]: [register] - The translation uses a more formal register (""同居伴侣"") compared to the more casual tone of the source text (""Domestic Partner"").

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-translation Errors
[No Error]

Other Errors
[No Error]"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""跨性别女性"" (transgender woman) does not accurately convey the meaning of ""fairly obvious #trans woman"" in the source text, which suggests the cashier was a transgender woman.

Fluency Errors
[No Error]

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation is generally accurate and fluent, with a minor mistranslation that does not significantly impact the overall meaning."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the word ""our"" from the original sentence.

Fluency Errors
[Minor]: [punctuation] - The translation uses an ellipsis (...) instead of a period (.) at the end of the sentence.

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the comprehension of the text."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""感到害怕的事实真他妈的糟糕"" does not fully capture the nuance of the original English text, which expresses a mix of relief and frustration.
[Minor]: [Untranslated text] - The expletive ""FUCKING"" was not translated.

Fluency Errors
[Minor]: [Register] - The use of the expletive ""他妈的"" in the translation is slightly more informal than the original English text.

Terminology Errors
[Minor]: [Inappropriate for context] - The translation ""解脱微笑"" for ""smile of relief"" is a bit too literal and does not capture the full meaning.

Overall, the translation conveys the general meaning of the source text, but could be improved to better reflect the nuanced emotional state expressed in the original."
