index,original,single_agent_translation,single_agent_improved_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象而不是Direct3D3对象来创建视口。"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义环境下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。"
14,Picking this up this weekend.,这个周末拿到它。,这个周末我会去拿它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,我正在寻找一辆适合初次购车者的好车;我真的很喜欢80年代的车型设计。
19,I know they're not fast compared,我知道他们相比之下不快。,他们的速度并不快。
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,#在联邦社交网络上发表自己的想法。
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,我和同居伴侣今晚去了酒类商店买了一些啤酒和一瓶起泡酒。
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","当我们去结账时,收银员明显是一位跨性别女性。"
25,And then we just... paid for our stuff.,然后我们就...付了钱。,然后我们就付了我们的钱。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","她脸上的解脱微笑虽然很好,但她先前的恐惧真让人感到沮丧,我真的很讨厌这种感觉。"
29,This is the stupidest timeline and I hate it dot com.,"这是最愚蠢的时间线,我讨厌它。","这个时间线真是太蠢了,我真讨厌它。"
32,But he can't pardon himself out of state prison.,但是他不能赦免自己脱离州监狱。,但是他无法自行获得州监狱的赦免。
33,It takes the state's governor.,州长需要。,州长负责此事。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","我们认为,情境相关的交流是一种位于特定环境中的多层现象,受诸如情境分布等环境特性的关键影响。"
47,Communities gain the knowledge to embed and support their own development.,社区获得嵌入和支持自身发展的知识。,社区获得知识来融入和支持自身发展。
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,"通过各种干预措施,从设备购买支持到培训,已经建立了数千棵树,农民看到了作物产量的增加。","通过各种支持措施,从设备购买援助到培训,已经建立了数千棵树,农民看到了作物产量的增加。"
53,The UPS store near me won't allow me to write a label or write on the box.,附近的UPS商店不允许我在标签或箱子上写字。,附近的UPS商店不允许我在标签或包裹上写字。
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不会允许我告诉他们它要去的地址和谁在发货。,他们不允许我告诉他们这个货物要发往哪里以及是谁在发货。
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","这是一种愤怒的行为,就像一个象征性的1月6日反民主狂欢节,充满谎言和不满,由美国媒体自毁性地主办。","这是一场象征性的、充满谎言和不满的反民主狂欢,就像1月6日事件,由美国媒体自毁性地主办。"
61,Licht AGREED to an all Republican audience!,同意,光(Licht)同意在全共和党观众面前发表讲话。
64,The ratings--seeking delusional irresponsibility of it all.,收视率追求的妄想不负责任。,追求收视率的妄想和不负责任。
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","我有一个非常通风的地下室,这实际上意味着我可能会有很多啮齿动物来寻求庇护。","我有一个非常通风的地下室,这实际上意味着我可能会有很多小型哺乳动物来寻求庇护。"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗花生。"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","对不起,我无法提供任何额外的文本。以下是您要求的翻译:

(fwiw, 我几乎尝试了市面上所有的""人道""捕捉器,但成功率很低。","我几乎尝试了市面上所有的""人道""捕捉器,但成功率很低。"
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党和政府将自己包装成亲商的品牌。,我厌倦了保守党和政府自称亲商的做法。
74,"They aren't, at least not in Alberta.","他们不是,至少在阿尔伯塔省不是。",他们在阿尔伯塔并非如此。
75,Sure they cut business taxes.,他们确实降低了企业税率。,他们确实降低了企业税率。
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.","2023年,发现本地电视台网站是互联网上最糟糕的体验,这是一个艰难的教训。","2023年,我亲身体验到本地电视台网站是互联网上最糟糕的体验。"
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹窗、自动播放视频、动画、弹出窗口和广告、广告、广告。,弹窗、自动播放视频、动画、弹出窗口和广告。
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","即使现在 goatse.cx 已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看温迪发给我的视频。","即使 goatse.cx 现在已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看 Wendy 发给我的视频。"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",我只是把他送到格拉斯哥。,我只是把他送到格拉斯哥去。
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我深信我们需要准备好与特朗普主义抗争。,"我们必须做好准备,坚决抵制特朗普主义。"
94,Get some bumper stickers that are anti-Trump and plaster them all over.,贴一些反特朗普的汽车贴纸到处张贴。,大肆张贴一些反特朗普的醒目汽车贴纸。
95,Yell back at those who would try to talk over us.,对那些试图压制我们声音的人大声回应。,"不要让那些想压制我们声音的人得逞,要大声反驳他们。"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,"所以我急忙回到公寓想避开他,但他还是设法追上我聊天。","所以我急忙回到公寓想要避开他,但他还是设法追上我聊天。"
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我重复一遍。到处传播你的新冠病毒粘液风暴是不可接受的社会行为!!!,"我再说一遍,到处散播你的新冠病毒是完全不可接受的行为!!!"
