index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口"" reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, the phrase ""too much coercion, to pull off otherwise"" could be expressed in a more natural way in Chinese.
[minor]: [REGISTER] - The overall tone of the translation is a bit formal, and could be adjusted to match the more conversational style of the source text."
14,Picking this up this weekend.,这个周末拿到它。,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""这个周末拿到它"" reads too literally and lacks the natural flow expected in the target language. A more natural expression would be ""我会在这个周末拿到它""."
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学"" reads too literally and lacks the natural flow expected in the target language. A more natural expression would be needed."
19,I know they're not fast compared,我知道他们相比之下不快。,"MQM annotations:
Style Errors:
[minor]: [unnatural flow] - The translation ""我知道他们相比之下不快"" reads a bit awkwardly and lacks the natural flow expected in the target language. A more natural way to express this would be ""我知道他们相比之下并不快""."
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""向联邦宇宙发泄时间"" sounds unnatural and lacks the natural flow expected in the target language. A more natural expression would be needed."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,"MQM annotations:
Style Errors:
[major]: [register] - The translation uses a more formal register (""我和同居伴侣"") compared to the casual tone of the source text (""The Domestic Partner and I"").
[minor]: [unnatural flow] - The phrase ""去了酒店"" sounds a bit unnatural, a more natural translation would be ""去了酒铺"" or ""去了酒店买酒""."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","MQM annotations:
Style Errors:
[major]: [register] - The translation uses a formal tone (""跨性别女性"") when a more natural, conversational tone would be more appropriate.
[minor]: [unnatural flow] - The phrase ""显然是一位"" sounds a bit awkward and could be rephrased in a more natural way."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation ""然后我们就...付了钱"" reads a bit awkwardly and lacks the natural flow expected in the target language. A more natural expression could be ""然后我们就付了钱""."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","MQM annotations:
Style Errors:
[major]: [register] - The translation uses a more formal tone (""她脸上的解脱微笑"") compared to the informal and colloquial tone of the source text (""The smile of relief on her face"").
[major]: [unnatural flow] - The translation ""她先前感到害怕的事实真他妈的糟糕,我讨厌它"" sounds unnatural and overly literal compared to the more idiomatic phrasing in the source text (""the fact that she was scared first FUCKING SUCKS AND I HATE IT"")."
29,This is the stupidest timeline and I hate it dot com.,"这是最愚蠢的时间线,我讨厌它。","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""这是最愚蠢的时间线,我讨厌它。"" reads too literally and lacks the natural flow expected in the target language. A more idiomatic expression would be more appropriate."
32,But he can't pardon himself out of state prison.,但是他不能赦免自己脱离州监狱。,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""但是他不能赦免自己脱离州监狱"" reads too literally and lacks the natural flow expected in the target language. A more natural expression would be needed."
33,It takes the state's governor.,州长需要。,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""州长需要"" reads awkwardly and lacks the natural flow expected in the target language. A more natural translation would be required."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
47,Communities gain the knowledge to embed and support their own development.,社区获得嵌入和支持自身发展的知识。,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""社区获得嵌入和支持自身发展的知识"" reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
