index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","对我来说,这是一个相当大的假设,因为它只使用了Direct3D对象,而不是Direct3D3对象来创建视口。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Direct3D3"" should have been translated as ""Direct3D 3"" instead of just ""Direct3D"" to accurately reflect the source text."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","一些事实,例如关于亚原子粒子的事实,只能通过实验来获得,而这些实验本身只有在资本主义体系下才能进行,因为它们需要太多的资源、太多的组织和太多的强制手段才能完成。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""capitalism"" in the source text should have been translated as ""资本主义"" instead of ""资本主义体系"" in the target text."
14,Picking this up this weekend.,这个周末拿到它。,"MQM annotations:
Terminology Errors:
minor: term not applied - The term ""picking up"" should have been translated as ""拿到"" instead of ""这个周末拿到它""."
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好的初级汽车;我真的很喜欢80年代的美学。,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""first car guy car"" should have been translated as ""初级汽车"" instead of ""初级汽车"".
[minor]: [WRONG TERM] - The term ""80s aesthetic"" should have been translated as ""80年代的风格"" instead of ""80年代的美学""."
19,I know they're not fast compared,我知道他们相比之下不快。,"MQM annotations:
Terminology Errors:
minor: term not applied - The translation ""他们相比之下不快"" does not accurately convey the meaning of the source text ""I know they're not fast compared"". The term ""fast"" should have been translated more appropriately."
20,#Venting into the Fediverse time.,#向联邦宇宙发泄时间。,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""Fediverse"" should have been translated as ""联邦宇宙"" instead of ""联邦宇宙""."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和同居伴侣今晚去了酒店买了一些啤酒和一瓶起泡酒。,"MQM annotations:
Terminology Errors:
major: TERM NOT APPLIED - The term ""liquor store"" should be translated as ""酒类商店"" instead of ""酒店"".
minor: WRONG TERM - The term ""bub"" should be translated as ""起泡酒"" instead of ""起泡酒""."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","当我们去结账时,收银员显然是一位跨性别女性。","MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""跨性别女性"" does not accurately convey the meaning of ""trans woman"" in the source text. A more appropriate term would be ""跨性别人士"" or ""变性人""."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
Terminology Errors:
minor: term not applied - The term ""stuff"" in the source text should have been translated as ""物品"" or ""商品"" instead of just ""钱"" in the target text."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"她脸上的解脱微笑是一种很好的感觉,但她先前感到害怕的事实真他妈的糟糕,我讨厌它。","MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""解脱"" does not accurately convey the meaning of ""relief"" in this context. A more appropriate translation would be ""宽慰"" or ""轻松"".
[minor]: [WRONG TERM] - The term ""他妈的"" is a strong expletive that may not be appropriate in all contexts. A more neutral translation such as ""真的"" or ""实在"" would be better."
29,This is the stupidest timeline and I hate it dot com.,"这是最愚蠢的时间线,我讨厌它。","MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The term ""dot com"" in the source text is not translated into Chinese."
32,But he can't pardon himself out of state prison.,但是他不能赦免自己脱离州监狱。,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""state prison"" should have been translated as ""监狱"" instead of ""州监狱"" in the Chinese translation."
33,It takes the state's governor.,州长需要。,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""state's governor"" is not correctly translated as ""州长"" in the target text."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.","我们建议,依情境而定的交流是一种多层面的现象,受环境特性(如情境分布)的关键影响。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""distribution of contexts"" is not translated correctly. The Chinese translation ""情境分布"" does not accurately convey the meaning of the English term.
[minor]: [WRONG TERM] - The term ""environment properties"" is translated as ""环境特性"", which is an appropriate translation but could be more precise as ""环境属性""."
47,Communities gain the knowledge to embed and support their own development.,社区获得嵌入和支持自身发展的知识。,"MQM annotations:
Terminology Errors:
minor: term not applied - The term ""嵌入"" in the Chinese translation does not match the intended meaning of ""embed"" in the source text."
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,"通过各种干预措施,从设备购买支持到培训,已经建立了数千棵树,农民看到了作物产量的增加。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""equipment"" should have been translated as ""设备"" instead of ""干预措施"".
[minor]: [WRONG TERM] - The glossary term ""crop yields"" should have been capitalized as ""作物产量"" to match the glossary entry."
53,The UPS store near me won't allow me to write a label or write on the box.,附近的UPS商店不允许我在标签或箱子上写字。,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""UPS store"" should have been translated as ""UPS 商店"" instead of ""UPS 商店"".
[minor]: [WRONG TERM] - The term ""write a label"" should have been translated as ""在标签上写字"" instead of ""在标签或箱子上写字""."
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不会允许我告诉他们它要去的地址和谁在发货。,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""address"" should have been translated as ""地址"" instead of ""它要去的地址"".
[major]: [TERM NOT APPLIED] - The glossary term ""shipping"" should have been translated as ""发货"" instead of ""谁在发货""."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","这是一种愤怒的行为,就像一个象征性的1月6日反民主狂欢节,充满谎言和不满,由美国媒体自毁性地主办。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Jan 6 anti-democratic festivus"" is not translated accurately. The translation ""1月6日反民主狂欢节"" does not convey the same meaning as the source.
[major]: [WRONG TERM] - The term ""self-destructively"" is translated as ""自毁性地"", which does not accurately convey the meaning of the source term."
61,Licht AGREED to an all Republican audience!,同意,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""AGREED"" should have been translated as ""同意"" to match the glossary."
64,The ratings--seeking delusional irresponsibility of it all.,收视率追求的妄想不负责任。,"MQM annotations:
Terminology Errors:
Major: WRONG TERM - The term ""妄想不负责任"" does not accurately convey the meaning of ""delusional irresponsibility"" in the source text."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","我有一个非常通风的地下室,这实际上意味着我可能会有很多啮齿动物来寻求庇护。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""rodents"" should have been translated as ""啮齿动物"" instead of ""啮齿动物""."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""peanut butter"" should have been translated as ""花生酱"" instead of ""花生酱"".
[minor]: [WRONG TERM] - The glossary term ""pistachio"" should have been capitalized as ""开心果"" instead of ""开心果""."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","对不起,我无法提供任何额外的文本。以下是您要求的翻译:

(fwiw, 我几乎尝试了市面上所有的""人道""捕捉器,但成功率很低。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""humane trap"" should have been translated as ""人道捕捉器"" instead of ""人道捕捉器""."
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党和政府将自己包装成亲商的品牌。,"MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""保守党"" (Conservative Party) does not accurately convey the meaning of ""conservative parties"" in the source text. A more appropriate translation would be ""保守派政党"".
[minor]: [WRONG TERM] - The term ""亲商的"" (pro-business) is not a precise translation of ""pro-business"" in the source text. A more idiomatic translation could be ""支持企业的"" or ""有利于企业的""."
74,"They aren't, at least not in Alberta.","他们不是,至少在阿尔伯塔省不是。","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""they"" in the source text is not translated correctly in the target text. The target text uses ""他们"" which is the third-person plural pronoun in Chinese, but the context suggests that the subject is not a group of people but rather a general statement about the situation in Alberta."
75,Sure they cut business taxes.,他们确实降低了企业税率。,"MQM annotations:
Terminology Errors:
minor: term not applied - The Chinese term ""企业税率"" should have been translated as ""business taxes"" instead of ""enterprise tax rate""."
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.","2023年,发现本地电视台网站是互联网上最糟糕的体验,这是一个艰难的教训。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""local TV station web sites"" should have been translated as ""网站"" instead of ""电视台网站"" to better fit the context."
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹窗、自动播放视频、动画、弹出窗口和广告、广告、广告。,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""弹窗"" should be translated as ""pop-ups"" instead of ""popups"".
[major]: [TERM NOT APPLIED] - The term ""自动播放视频"" should be translated as ""auto-play videos"" instead of ""auto-play videos"".
[major]: [TERM NOT APPLIED] - The term ""弹出窗口"" should be translated as ""popovers"" instead of ""popovers"".
[minor]: [WRONG TERM] - The term ""广告"" is repeated three times, which may be unnecessary."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","即使现在 goatse.cx 已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看温迪发给我的视频。","MQM annotations:
Terminology Errors:
major: term not applied - The glossary term ""goatse.cx"" was not translated correctly in the target text.
minor: wrong term - The term ""khou.com"" was not properly capitalized in the target text."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",我只是把他送到格拉斯哥。,"MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""Glasgow"" should have been translated as ""格拉斯哥"" instead of just ""格拉斯哥""."
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我深信我们需要准备好与特朗普主义抗争。,"MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""特朗普主义"" (Trumpism) is not a standard Chinese translation and does not fit the context well. A more appropriate term would be ""特朗普主义思潮"" or ""特朗普主义运动""."
94,Get some bumper stickers that are anti-Trump and plaster them all over.,贴一些反特朗普的汽车贴纸到处张贴。,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""bumper stickers"" should have been translated as ""汽车贴纸"" instead of ""汽车贴纸"" in the given context."
95,Yell back at those who would try to talk over us.,对那些试图压制我们声音的人大声回应。,"MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""yell back"" should have been translated as ""大声回应"" instead of ""大声回应""."
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,"所以我急忙回到公寓想避开他,但他还是设法追上我聊天。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""apt"" in the source text should have been translated as ""公寓"" (apartment) in the target text, instead of the more general term ""公寓""."
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我重复一遍。到处传播你的新冠病毒粘液风暴是不可接受的社会行为!!!,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""covid mucus storm"" should have been translated as ""新冠病毒粘液风暴"" instead of ""你的新冠病毒粘液风暴""."
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,"阿部把他的悲伤隐藏起来,很容易笑,而汤姆不怕哭泣,但对粗俗的幽默不太感兴趣。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""Tom"" is not translated correctly in the target text. It should be ""汤姆"" instead of ""汤姆"".
[minor]: [WRONG TERM] - The glossary term ""Abe"" is translated as ""阿部"", but it should be ""亚伯"" to match the source text."
106,Mio knows that sorrow is life's constant companion.,"缪知道,悲伤是生命永恒的伴侣。","MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""sorrow"" should have been translated as ""悲伤"" instead of ""悲伤""."
108,#CNN needs to just close down.,#CNN需要关闭。,"MQM annotations:
Terminology Errors:
Minor: TERM NOT APPLIED - The term ""CNN"" should have been translated as ""中国有线电视新闻网"" in Chinese."
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天与#MangoMoron的灾难性事件是一场令人发指的灾难。,"MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""#MangoMoron"" should be translated more neutrally, as the current translation ""与#MangoMoron"" is too strong and could be seen as offensive."
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.","书呆子学生阿尼·坎宁安迷恋上了一辆1958年普利茅斯·富瑞的旧车,并沉迷于将这辆经典汽车修复到昔日的辉煌。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""Plymouth Fury"" should have been translated as ""普利茅斯·富瑞"" instead of ""普利茅斯·富瑞的旧车""."
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","随着汽车的变化,阿尼也发生了变化,他新发现的自信在驾驶他那辆异域美车时变成了傲慢。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""exotic beauty"" is not correctly translated as ""异域美车"" in the target text."
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,"我邻居反对我,这其中最疯狂的部分就是想到要付出多大的努力才能表现出敌意。","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""hostile"" should have been translated as ""敌意"" instead of ""表现出敌意""."
126,It hurts but you gotta do you.,痛苦但你必须做你自己。,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""你自己"" (your own self) does not accurately convey the meaning of ""you"" in the source text."
127,But at this point the open hostility and violence is getting worse.,"但在这一点上,公开的敌意和暴力正在变得更加严重。","MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""公开的敌意和暴力"" does not accurately convey the meaning of ""open hostility and violence"" in the source text. A more appropriate translation would be ""公开的敌对态度和暴力行为""."
128,That takes effort.,那需要努力。,"MQM annotations:
Terminology Errors:
minor: term not applied - The Chinese term ""那"" should be translated as ""that"" instead of ""那"" in English."
132,They had keys to my apartment for 6+ years.,他们有我公寓的钥匙超过6年。,"MQM annotations:
Terminology Errors:
Major: WRONG TERM - The translation ""他们有我公寓的钥匙超过6年"" does not accurately convey the meaning of the source text ""They had keys to my apartment for 6+ years."" The term ""公寓"" (apartment) does not fully capture the nuance of ""my apartment"" in the source."
134,I am aware of your hatred of Organa.,我知道你对奥加纳的仇恨。,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""Organa"" in the source text should have been translated as ""奥加纳"" in the target text."
