index,original,translated,accuracy_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation incorrectly uses ""Direct3D"" instead of ""Direct3D3"" for the second mention, which changes the meaning of the source text.
[Major]: [accuracy/addition] - None
[Minor]: [accuracy/omission] - None
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""太多的强制"" (too much coercion) does not fully capture the meaning of ""too much coercion"" in the context of the source text, which implies an element of force or pressure necessary to conduct the experiments.
[Major]: [accuracy/omission] - The phrase ""to pull off otherwise"" is omitted in the translation, which is important for conveying the idea that the experiments cannot be conducted without the resources, organization, and coercion provided by capitalism.
[Minor]: [accuracy/addition] - None
```"
14,Picking this up this weekend.,这个周末去拿。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits ""this"" from the source text, which specifies what is being picked up.
[Major]: [accuracy/mistranslation] - The translation ""去拿"" implies going to get something, but does not fully capture the aspect of ""picking up"" as an action planned for the weekend.
[Minor]: [accuracy/addition] - None
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The phrase ""car guy car"" is omitted, which is crucial as it specifies the type of car being sought.
[Major]: [accuracy/mistranslation] - The translation of ""first car"" to ""第一辆车"" does not convey the meaning of ""first car guy car,"" which implies a car suitable for someone interested in cars, not just any first car.
[Minor]: [accuracy/error_subcategory] - None
```"
19,I know they're not fast compared,我知道它们相比之下不快。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation of ""they're"" as ""它们"" is incorrect because ""they're"" refers to people or objects in general, not specifically ""它们"" which implies non-human objects.
[Major]: [accuracy/omission] - The word ""compared"" is not accurately reflected in the translation. The phrase ""相比之下"" captures the comparative aspect but does not fully convey the meaning of ""compared to something else"" as implied in the source.
[Minor]: [accuracy/addition] - None
```"
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation of ""Fediverse"" as ""联邦宇宙"" is incorrect. ""Fediverse"" refers to a decentralized network of social media platforms and should be transliterated or explained in Chinese to convey the correct meaning.
[Major]: [accuracy/mistranslation] - The phrase ""Venting into"" is not accurately translated. The translation ""发泄时间"" implies a time for venting, rather than the act of venting into a specific platform or network.
[Minor]: None
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The phrase ""Domestic Partner"" is omitted, which is crucial for understanding the relationship context in the sentence.
[Major]: [accuracy/mistranslation] - ""bub"" is mistranslated as ""香槟"" (champagne), which may not accurately reflect the source's intended meaning, as ""bub"" could refer to a different type of sparkling wine or beverage.
[Minor]: [accuracy/addition] - None
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""fairly obvious"" is not accurately conveyed in the translation. The translation uses ""显然"" which means ""obviously,"" but it misses the nuance of ""fairly,"" which suggests a degree of obviousness rather than absolute.
[Minor]: [accuracy/error_subcategory] - None
```"
25,And then we just... paid for our stuff.,然后我们就……付了钱。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits ""our stuff,"" which is important for conveying what was paid for.
[Major]: [accuracy/mistranslation] - None
[Minor]: [accuracy/addition] - None
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""FUCKING SUCKS AND I HATE IT"" is mistranslated. The intensity and emotional emphasis of the original phrase are not fully captured in the translation. The translation ""真是太糟糕了，我讨厌这种感觉"" lacks the strong emotional expression conveyed by the original.
[Major]: [accuracy/omission] - The emphasis and intensity of ""FUCKING"" are omitted in the translation, which reduces the emotional impact of the statement.
[Minor]: [accuracy/addition] - None
```"
29,This is the stupidest timeline and I hate it dot com.,这是最愚蠢的时间线，我讨厌它.com。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - ""时间线"" (timeline) is a mistranslation of ""timeline"" in this context, as it refers to a sequence of events or a period in history, not a literal timeline.
[Major]: [accuracy/untranslated] - ""dot com"" is left untranslated, which should be adapted or explained in Chinese to maintain the intended meaning.
[Minor]: [accuracy/addition] - The addition of "".com"" in the translation is unnecessary as it is not part of the original sentence's meaning.
```"
32,But he can't pardon himself out of state prison.,但他无法通过赦免自己逃脱州监狱。,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The phrase ""pardon himself out of state prison"" is mistranslated as ""通过赦免自己逃脱州监狱,"" which implies ""escaping state prison through pardon,"" altering the meaning of the original text.
[Major]: None
[Minor]: None
```"
33,It takes the state's governor.,这需要州长。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""这需要州长"" does not accurately convey the meaning of the source text ""It takes the state's governor."" The translation implies a need for the governor, whereas the source suggests the involvement or role of the governor.
[Major]: [accuracy/omission] - None
[Minor]: [accuracy/addition] - None
```"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境分布）的重要影响。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""We suggest that"" is translated as ""我们建议,"" which is a direct translation but can be misleading in Chinese context as it implies a strong suggestion rather than a hypothesis or proposal. A more accurate translation might be ""我们认为"" (we believe) or ""我们提出"" (we propose).
[Minor]: [accuracy/error_subcategory] - None
```"
47,Communities gain the knowledge to embed and support their own development.,社区获得了嵌入和支持自身发展的知识。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits the concept of ""embed"" from the source text, which is crucial for understanding the full meaning.
[Major]: [accuracy/mistranslation] - The phrase ""支持自身发展"" (support their own development) does not fully capture the reflexive nature of ""their own development"" as intended in the source text.
[Minor]: [accuracy/mistranslation] - The translation of ""knowledge"" as ""知识"" is accurate, but the context of gaining knowledge to ""embed"" development is not fully conveyed.
```"
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,成千上万的树木已经种植，农民通过一系列干预措施（从设备采购支持到培训）看到作物产量增加。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""Thousands of trees have been established"" is mistranslated as ""成千上万的树木已经种植,"" which means ""Thousands of trees have been planted."" The source text implies that the trees are already established, not just planted.
[Major]: [accuracy/omission] - The translation omits the phrase ""farmers have seen increased crop yields,"" which is a significant part of the source text.
[Minor]: [accuracy/addition] - None
```"
53,The UPS store near me won't allow me to write a label or write on the box.,我附近的UPS商店不允许我写标签或在箱子上写字。,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: accuracy/mistranslation - The translation ""不允许我写标签或在箱子上写字"" does not fully capture the nuance of ""won't allow me to write a label or write on the box."" The phrase ""write a label"" could imply creating or filling out a label, which might be slightly different from simply ""写标签"" (write a label).
```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们它要寄去的地址和谁在寄。,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/mistranslation - The phrase ""who is shipping it"" is mistranslated as ""谁在寄"" which means ""who is sending"" instead of ""who is shipping it."" The translation does not fully capture the nuance of ""shipping.""
```"
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场公愤，就像一个象征性的1月6日反民主的谎言和不满节日，由美国媒体自我毁灭地举办。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation of ""festivus"" as ""节日"" does not capture the specific cultural reference to ""Festivus,"" a fictional holiday from the TV show Seinfeld, which is used metaphorically in the source text.
[Major]: [accuracy/mistranslation] - The phrase ""self-destructively hosted by American media"" is mistranslated as ""由美国媒体自我毁灭地举办,"" which implies that the media is self-destructing rather than hosting the event in a self-destructive manner.
[Minor]: [accuracy/mistranslation] - The translation of ""outrage"" as ""公愤"" is slightly off in nuance, as ""公愤"" implies public anger, while ""outrage"" can also mean an act that is shocking or offensive.
```"
61,Licht AGREED to an all Republican audience!,Licht同意了全共和党观众！,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: accuracy/mistranslation - The translation ""全共和党观众"" suggests an audience that is entirely Republican, which is not necessarily implied by ""an all Republican audience"" in the source text. The source could imply an audience composed entirely of Republicans or an audience that is representative of Republicans.
[Minor]: None
```"
64,The ratings--seeking delusional irresponsibility of it all.,这一切都是追求收视率的妄想和不负责任。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""追求收视率的妄想和不负责任"" does not fully capture the meaning of ""The ratings--seeking delusional irresponsibility of it all."" The phrase ""ratings-seeking"" is correctly translated, but ""delusional irresponsibility"" is not accurately conveyed. The translation suggests ""妄想"" (delusion) and ""不负责任"" (irresponsibility) separately, but it misses the combined nuance of ""delusional irresponsibility"" as a single concept.
[Major]: [accuracy/omission] - None
[Minor]: [accuracy/addition] - None
```"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我的地下室有很多缝隙，这基本上意味着会有很多啮齿动物来避难。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - ""很多缝隙"" (many gaps) does not accurately convey ""very drafty"" which implies that the basement is not well-sealed and allows air to pass through easily.
[Major]: [accuracy/omission] - The translation omits the sense of ""taking refuge"" which is important to convey why rodents are present in the basement.
[Minor]: [accuracy/addition] - ""来避难"" (come to take refuge) is an addition that slightly alters the meaning by implying an active movement towards the basement, rather than just being present due to the draftiness.
```"
