index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,"```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The translation uses technical terms ""Direct3D"" and ""Direct3D3"" which may not be familiar to all Chinese audiences without a background in computer graphics or programming. However, this is a minor issue as the terms are likely to be understood by the intended technical audience.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,"```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The translation does not adequately address the cultural context of ""capitalism"" as it might be perceived differently in Chinese culture. The concept of capitalism might have different connotations and implications in the Chinese context, potentially leading to misunderstandings.
```"
14,Picking this up this weekend.,这个周末去拿。,"```
MQM annotations:
[Critical]: [audience_appropriateness/error_subcategory] - None
[Major]: [audience_appropriateness/culture-specific reference] - The phrase ""去拿"" (go to pick up) is a direct translation that might not capture the casual tone of ""picking this up"" in the source, which could be more informally expressed in Chinese to better fit the cultural context.
[Minor]: [audience_appropriateness/error_subcategory] - None
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,"```
MQM annotations:
audience appropriateness error:
[Major]: [Culture-specific Reference] - The term ""car guy car"" is a culture-specific expression that may not be directly understood by a Chinese audience. It refers to a car that is particularly appealing to car enthusiasts, which may require additional explanation or adaptation to fit the cultural context.
```"
19,I know they're not fast compared,我知道它们相比之下不快。,"```
MQM annotations:
audience appropriateness error:
[Critical]: None
[Major]: None
[Minor]: None
```

Explanation: The translation ""我知道它们相比之下不快。"" is culturally and linguistically appropriate for the target Chinese audience. There are no culture-specific references or language variety issues that would cause confusion or a sense of non-belonging for the audience."
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,"```
MQM annotations:
audience appropriateness error:
[Major]: [culture-specific reference] - The term ""Fediverse"" is a niche concept that may not be widely understood by the Chinese audience. A brief explanation or localization might be necessary to ensure cultural appropriateness.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,"```
MQM annotations:
audience appropriateness error:
[Minor]: [Culture-specific Reference] - The term ""bub"" is a colloquial term for champagne, which might not be widely recognized by a Chinese audience. The translation uses ""香槟"" (champagne), which is accurate but loses the informal and colloquial nuance of ""bub"".
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,"```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""trans woman"" is translated as ""跨性别女性,"" which is a direct translation but may not fully convey the cultural nuances and understanding of transgender identity in Chinese-speaking contexts. The term might not be as widely recognized or understood in the same way as in English-speaking cultures, potentially leading to confusion.
```"
25,And then we just... paid for our stuff.,然后我们就……付了钱。,"```
MQM annotations:
audience appropriateness error:
Critical: None
Major: None
Minor: None
```

Explanation: The translation ""然后我们就……付了钱。"" is culturally and linguistically appropriate for a Chinese-speaking audience. The casual tone and structure are suitable for the context, and there are no culture-specific references or language variety issues that would cause confusion or a sense of non-belonging for the target audience."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,"```
MQM annotations:
audience appropriateness error:
[Major]: [Culture-specific Reference] - The phrase ""FUCKING SUCKS AND I HATE IT"" in the source text carries a strong emotional tone and uses profanity, which may not be culturally appropriate or commonly expressed in the same way in Chinese. The translation lacks the intensity and emotional impact of the original, which could lead to a misunderstanding of the speaker's strong feelings.
```"
