index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
14,Picking this up this weekend.,这个周末去拿。,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation. The source text does not contain any markup or emoji that could lead to such errors, and the translation accurately reflects the source text without introducing any design or markup issues."
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

The translation provided does not contain any design and markup errors. The text does not include any markup tags, malformed HTML characters, or emoji formats that differ from the source text. Therefore, no annotations for design and markup errors are necessary."
19,I know they're not fast compared,我知道它们相比之下不快。,"```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,"```
MQM annotations:
design and markup errors:
Minor: markup tag - The hashtag symbol ""#"" is present in both the source and target text, and there is no error related to design and markup. None.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation provided. The translation does not contain any malformed HTML characters, incorrect emoji formats, or other markup issues."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors present in the translation. The source text does not contain any markup tags or emoji formats that need to be preserved in the target text, and the translation does not introduce any malformed markup or changes in emoji formats."
25,And then we just... paid for our stuff.,然后我们就……付了钱。,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this translation, there are no design and markup errors related to incorrect or malformed markup tags, malformed HTML characters, or changes in emoji formats. The translation is free from such issues."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
29,This is the stupidest timeline and I hate it dot com.,这是最愚蠢的时间线，我讨厌它.com。,"```
MQM annotations:
design and markup errors:
Major: markup tag - The "".com"" in the source text is a domain name and should not be translated or altered in the target text. It should remain as ""dot com"" instead of "".com"".
```"
