index,original,translated,linguistic_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,"```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma after ""假设"" should be a full-width comma (，) to match Chinese punctuation conventions.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,"```
MQM annotations:
linguistic conventions errors:
[Major]: [punctuation] - The comma after ""资源"" should be a semicolon to properly separate the clauses.
[Minor]: [punctuation] - The comma after ""组织"" should be a semicolon to properly separate the clauses.
```"
14,Picking this up this weekend.,这个周末去拿。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The Chinese translation ""这个周末去拿。"" should end with a period or an appropriate punctuation mark to indicate the end of the sentence.
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The semicolon should be replaced with a comma in ""车；而且"" to correctly separate clauses in Chinese.
```"
19,I know they're not fast compared,我知道它们相比之下不快。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The period at the end of the sentence should be a comma to match the structure of the source text.
```"
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The translation should not include a period at the end of the hashtag phrase, as it is not a complete sentence.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence lacks a period at the end, which is a punctuation error.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence should end with a period in Chinese to follow proper punctuation conventions.
```"
25,And then we just... paid for our stuff.,然后我们就……付了钱。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The ellipsis should be consistent with Chinese punctuation standards, which typically use six dots (……) instead of three.
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence would benefit from a comma after ""很棒的感觉"" to improve readability and flow.
```"
