index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

In this case, there are no locale convention errors in the translation provided. The translation adheres to the locale-specific content and formatting requirements for Chinese."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/NUMBER FORMAT] - The use of commas in the list ""太多的资源、太多的组织、太多的强制"" is correct, but in some contexts, especially formal writing, using Chinese full-width commas (、) instead of Western commas (,) might be preferred. However, this is not a significant issue and does not affect comprehension.
```"
14,Picking this up this weekend.,这个周末去拿。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/none] - None
[Major]: [locale_conventions/none] - None
[Minor]: [locale_conventions/none] - None
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/NUMBER FORMAT] - The translated text uses ""第一辆车"" which translates to ""first car"" but does not capture the nuance of ""first car guy car"" which implies a car enthusiast's first car. This is a minor issue as it does not significantly hinder understanding but could be more precise.
```"
19,I know they're not fast compared,我知道它们相比之下不快。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/NUMBER FORMAT] - In Chinese, numbers are typically written without spaces or commas when they are not large numbers. However, this sentence does not contain any numbers, so there is no error.
```"
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,"```
locale conventions:

MQM annotations:
Critical: locale_conventions/none - None
Major: locale_conventions/none - None
Minor: locale_conventions/none - None
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,"```
locale conventions:

MQM annotations:
Critical: locale_conventions/none - None
Major: locale_conventions/none - None
Minor: locale_conventions/none - None
```

In this translation, there are no locale convention errors. The translation adheres to Chinese locale-specific conventions for the content provided."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```"
25,And then we just... paid for our stuff.,然后我们就……付了钱。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,"```
locale conventions:

MQM annotations:
Critical: locale_conventions/none - None
Major: locale_conventions/none - None
Minor: locale_conventions/none - None
```

In this case, there are no locale convention errors in the translation. The translated text adheres to the locale-specific content and formatting requirements for Chinese."
29,This is the stupidest timeline and I hate it dot com.,这是最愚蠢的时间线，我讨厌它.com。,"```
locale conventions:

MQM annotations:
[Critical]: locale_conventions/number_format - None
[Major]: locale_conventions/number_format - None
[Minor]: locale_conventions/number_format - The domain "".com"" should not be translated into Chinese characters; it should remain "".com"" in the target text.
```"
32,But he can't pardon himself out of state prison.,但他无法通过赦免自己逃脱州监狱。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

In this case, there are no locale convention errors in the translation. The translation accurately conveys the meaning of the source text without violating any locale-specific content or formatting requirements."
33,It takes the state's governor.,这需要州长。,"```
locale conventions:

MQM annotations:
Critical: locale_conventions/none - None
Major: locale_conventions/none - None
Minor: locale_conventions/none - None
```"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境分布）的重要影响。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

In this case, there are no locale convention errors in the translation provided. The Chinese translation adheres to the locale-specific content and formatting requirements."
47,Communities gain the knowledge to embed and support their own development.,社区获得了嵌入和支持自身发展的知识。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```"
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,成千上万的树木已经种植，农民通过一系列干预措施（从设备采购支持到培训）看到作物产量增加。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/NUMBER FORMAT] - The phrase ""成千上万"" (thousands) in Chinese does not have a direct numeric representation, but it is a standard expression for ""thousands"" in Chinese and does not require a numeric format. However, if a numeric format was intended, it should be written as ""数千"" or ""几千"" to reflect the number format more closely.
```"
53,The UPS store near me won't allow me to write a label or write on the box.,我附近的UPS商店不允许我写标签或在箱子上写字。,"```
locale conventions:

MQM annotations:
Critical: locale_conventions - None
Major: locale_conventions - None
Minor: locale_conventions - None
```

Explanation: There are no locale convention errors in the translation provided. The translation correctly follows Chinese locale conventions for the given context."
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们它要寄去的地址和谁在寄。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/ADDRESS FORMAT] - The translation does not specify any address format, but the source text implies an address is involved. Chinese locale conventions for addresses should be considered if the address was explicitly mentioned.
```"
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场公愤，就像一个象征性的1月6日反民主的谎言和不满节日，由美国媒体自我毁灭地举办。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/DATE/TIME FORMAT] - The date ""1月6日"" should be formatted according to Chinese conventions, which typically use the format ""YYYY年MM月DD日"" for full dates. However, since this is a symbolic reference to January 6th, it could be left as is for clarity, but the format should be consistent with the rest of the text.
[Major]: [locale_conventions/NUMBER FORMAT] - None
[Minor]: [locale_conventions/NUMBER FORMAT] - None
```"
61,Licht AGREED to an all Republican audience!,Licht同意了全共和党观众！,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

In this case, there are no locale convention errors in the translation provided. The translation ""Licht同意了全共和党观众！"" correctly reflects the source text ""Licht AGREED to an all Republican audience!"" in terms of locale-specific content and formatting."
64,The ratings--seeking delusional irresponsibility of it all.,这一切都是追求收视率的妄想和不负责任。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

In this case, there are no locale convention errors in the translation provided. The translation adheres to Chinese locale conventions and does not violate any specific formatting or content requirements."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我的地下室有很多缝隙，这基本上意味着会有很多啮齿动物来避难。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/none] - None
[Major]: [locale_conventions/none] - None
[Minor]: [locale_conventions/none] - None
```

Explanation: The translation does not contain any locale convention errors related to address format, currency format, date/time format, measurement format, number format, or telephone format. The translation adheres to the locale-specific content and formatting requirements for Chinese."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种日常，把所有捕鼠器上的花生酱清理掉，并用强力胶把开心果粘在上面。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

In this case, there are no locale convention errors in the translation provided. The translation adheres to the locale-specific content and formatting requirements for Chinese."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",仅供参考，我几乎尝试了市场上所有“人道”的捕鼠器，但成功率很低。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

In this case, there are no locale convention errors in the translation. The Chinese translation correctly follows locale-specific conventions for the given content."
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府以亲商业的名义包装自己。,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

There are no locale convention errors in the translation provided. The translation adheres to Chinese locale-specific content and formatting requirements."
74,"They aren't, at least not in Alberta.",他们不是，至少在阿尔伯塔省不是。,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

In this case, there are no locale convention errors related to address, currency, date/time, measurement, number, or telephone formats in the translated text. The translation correctly reflects the source segment without any locale-specific formatting issues."
