index,original,zero_shot_translation,annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [mistranslation] - The phrase ""to pull off otherwise"" is translated as ""否则无法实现"" which means ""otherwise cannot be realized"". This translation slightly shifts the nuance of the original phrase, which implies difficulty rather than impossibility.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
14,Picking this up this weekend.,这个周末去拿。,"MQM annotations:
Accuracy Errors
[Critical]: omission - The source text ""this"" is repeated, indicating a specific emphasis or context that is not captured in the translation.
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: mistranslation - The phrase ""first car guy car"" is mistranslated. The translation does not convey the meaning of a ""car suitable for a car enthusiast"" or ""a car that appeals to someone who is into cars.""
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: punctuation - The semicolon in the source text is translated as a comma, which is a minor punctuation error.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: awkward - The translation of ""first car guy car"" is awkward and does not capture the intended nuance of the original phrase.
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None"
19,I know they're not fast compared,我知道它们相比之下不快。,"MQM annotations:
Accuracy Errors
[Critical]: mistranslation - The phrase ""compared"" is mistranslated or incorrectly included in the translation, leading to confusion.
[Major]: omission - The word ""compared"" is not accurately represented in the translation, causing a loss of meaning.
[Minor]: addition - The phrase ""相比之下"" (compared to) is added unnecessarily, which is not present in the source text.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,"MQM annotations:
Accuracy Errors
[Critical]: [mistranslation] - The phrase ""Venting into the Fediverse time"" is mistranslated. The word ""time"" is not correctly interpreted in the context, leading to a misunderstanding of the original meaning.
[Major]: [addition] - The translation adds the word ""中"" (in), which is not present in the source text and alters the intended meaning.
[Minor]: [omission] - None

Fluency Errors
[Critical]: [grammar] - None
[Major]: [awkward] - The translation is awkward and does not convey the intended meaning clearly.
[Minor]: [punctuation] - None

Locale Convention Errors
[Critical]: [name] - None
[Major]: [date] - None
[Minor]: [currency] - None

Style Errors
[Critical]: [awkward] - None
[Major]: [awkward] - The translation is awkward and does not flow naturally in Chinese.
[Minor]: [awkward] - None

Terminology Errors
[Critical]: [inappropriate for context] - None
[Major]: [inconsistent use] - None
[Minor]: [inappropriate for context] - None

Non-translation Errors
[Critical]: [non-translation] - None
[Major]: [non-translation] - None
[Minor]: [non-translation] - None

Other Errors
[Critical]: [other] - None
[Major]: [other] - None
[Minor]: [other] - None

No-error
[Critical]: None
[Major]: None
[Minor]: None"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: [mistranslation] - The term ""bub"" is mistranslated as ""香槟"" (champagne) instead of being accurately translated or left as is, depending on context.
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
25,And then we just... paid for our stuff.,然后我们就……付了钱。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [mistranslation] - The phrase ""FUCKING SUCKS AND I HATE IT"" is translated as ""真是太糟糕了，我讨厌这种感觉"" which tones down the intensity and explicitness of the original expression.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: [awkward] - The translation of the phrase ""但她一开始感到害怕真是太糟糕了，我讨厌这种感觉"" could be considered slightly awkward due to the repetition of ""感觉"" (feeling) which may not be necessary.

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
