index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,"```
MQM annotations:
Styles error:
Minor: UNNATURAL FLOW - The translation ""对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。"" is grammatically correct but reads slightly awkwardly. A more natural flow could be achieved by restructuring the sentence.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,"```
MQM annotations:
Styles error:
major: UNNATURAL FLOW - The phrase ""而这些实验本身只有在资本主义中才有可能"" could be rephrased for a smoother flow, such as ""这些实验只有在资本主义制度下才可能实现"".
minor: UNNATURAL FLOW - The phrase ""太多的资源、太多的组织、太多的强制"" could be rephrased to sound more natural, such as ""需要大量的资源、组织和强制手段"".
```"
14,Picking this up this weekend.,这个周末去拿。,"```
MQM annotations:
Styles error:
minor: unnatural flow - The translation ""这个周末去拿"" is grammatically correct but sounds slightly awkward and lacks natural flow. A more natural expression could be ""这个周末去取"" or ""这个周末去拿取"".
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The phrase ""好的第一辆车"" is a literal translation of ""good first car"" and sounds slightly awkward in Chinese. A more natural expression could be ""适合新手的车"".
[minor]: [UNNATURAL FLOW] - The phrase ""80年代的美学"" is a direct translation of ""80s aesthetic"" and may sound a bit awkward. A more natural expression could be ""80年代风格"".
```"
19,I know they're not fast compared,我知道它们相比之下不快。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The translation ""我知道它们相比之下不快。"" is grammatically correct but sounds slightly awkward. A more natural expression could be ""我知道它们速度不快"" or ""我知道它们不算快"" to improve the flow.
```"
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,"```
MQM annotations:
Styles error:
major: DO NOT TRANSLATE - ""Fediverse"" should not be translated as it is a specific term/name that should remain in English.
minor: UNNATURAL FLOW - The phrase ""发泄时间"" reads awkwardly and could be expressed more naturally in Chinese.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,"```
MQM annotations:
Styles error:
[major]: [REGISTER] - The term ""伴侣"" (partner) is more formal than ""Domestic Partner"" in the context, which is informal. A more casual term like ""对象"" could be used to match the informal tone.
[minor]: [UNNATURAL FLOW] - The phrase ""去酒铺买了一些啤酒和一瓶香槟"" could be rephrased for a more natural flow, such as ""去酒铺买啤酒和香槟"" to avoid redundancy and improve readability.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The phrase ""显然是一位跨性别女性"" could be more naturally expressed in Chinese as ""看起来是一位跨性别女性"" to improve the flow and readability.
```"
25,And then we just... paid for our stuff.,然后我们就……付了钱。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The ellipsis ""……"" in the Chinese translation is less commonly used in this context compared to the English ""..."" and may disrupt the natural flow of the sentence.
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,"```
MQM annotations:
Styles error:
Major: REGISTER - The use of ""真是太糟糕了，我讨厌这种感觉"" is too formal for the informal tone of ""FUCKING SUCKS AND I HATE IT"" in the source text. A more informal expression would better match the source's tone.
Minor: UNNATURAL FLOW - The phrase ""她脸上如释重负的微笑是一种很棒的感觉"" reads slightly awkwardly in Chinese. A more natural flow could be achieved by rephrasing it.
```"
29,This is the stupidest timeline and I hate it dot com.,这是最愚蠢的时间线，我讨厌它.com。,"```
MQM annotations:
Style Errors:
[Major]: [DO NOT TRANSLATE] - The "".com"" should not be translated and should remain in English as per client instructions.
[Minor]: [UNNATURAL FLOW] - The translation of ""timeline"" as ""时间线"" is accurate, but the phrase ""这是最愚蠢的时间线"" could be made more natural in Chinese by rephrasing it to better capture the informal and humorous tone of the original.
```"
32,But he can't pardon himself out of state prison.,但他无法通过赦免自己逃脱州监狱。,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The phrase ""通过赦免自己逃脱州监狱"" is awkward and does not flow naturally in Chinese. A more natural translation could be ""但他无法通过赦免来逃避州监狱的刑罚.""
```"
33,It takes the state's governor.,这需要州长。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The translation ""这需要州长。"" is grammatically correct but sounds slightly awkward and literal in Chinese. A more natural translation might be ""这需要州长的参与。"" to better capture the intended meaning and flow.
```"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境分布）的重要影响。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The phrase ""情境依赖的交流是一种多层次的现象"" reads awkwardly and could be more naturally expressed as ""情境依赖的交流是一种具有多层次特征的现象"".
```"
