index,original,translated,terminology_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是使用 Direct3D 对象创建视口，而不是 Direct3D3 对象。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Direct3D"" should be translated as ""Direct3D"" in Chinese, but it was not applied correctly.
Critical: TERM NOT APPLIED - The term ""Direct3D3"" should be translated as ""Direct3D3"" in Chinese, but it was not applied correctly.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能通过实验得出，而这些实验本身只有在资本主义中才有可能，因为它们需要太多的资源、太多的组织、太多的强制，否则无法实现。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""capitalism"" should be translated as ""资本主义"" in Chinese, but it is not highlighted as a glossary entry in the translation.
```"
14,Picking this up this weekend.,这个周末去拿。,"```
MQM annotations:
Terminology errors:
None
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在寻找一辆好的第一辆车，而且我真的很喜欢80年代的美学。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""car guy"" was not translated according to the glossary specification.
```"
19,I know they're not fast compared,我知道它们相比之下不快。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The glossary term ""fast"" is not applied in the translation.
```"
20,#Venting into the Fediverse time.,#在联邦宇宙中发泄时间。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Fediverse"" should have been translated according to the glossary, but it was translated as ""联邦宇宙,"" which does not match the specified term.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和伴侣今晚去酒铺买了一些啤酒和一瓶香槟。,"```
MQM annotations
Terminology errors:
major: TERM NOT APPLIED - The term ""bub"" should have been translated as ""香槟"" (champagne) in Chinese, but it wasn't highlighted as a glossary entry.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员显然是一位跨性别女性。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""trans woman"" should be translated as ""跨性别女性"" according to the glossary, which is correctly applied in the translation.
```"
25,And then we just... paid for our stuff.,然后我们就……付了钱。,"```
MQM annotations:
Terminology errors:
no-error
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上如释重负的微笑是一种很棒的感觉，但她一开始感到害怕真是太糟糕了，我讨厌这种感觉。,"```
MQM annotations:
Terminology errors:
no-error
```"
