index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different provinces of the country in recent times.,"MQM annotations:
minor: no-error
major: no-error
critical: no-error"
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I received an initial opportunity to try the new product, which is currently only available to a few testers in the US, here in Israel.","MQM annotations:
audience appropriateness error:
minor: culture-specific reference/geographic reference - Mentioning the US may be irrelevant and could be perceived as odd or confusing for an Israeli audience, as it doesn't directly relate to the availability of the product in Israel. While not a severe error, it adds unnecessary detail that could be omitted for better contextual relevance."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I realized how the Car Thing could easily become an integral part of many people's systems.","MQM annotations:
minor: style/awkward - ""playing around"" is a slightly informal way to describe using a device for two weeks. While not strictly inappropriate, a more formal term like ""experimenting with"" or ""testing"" might be preferable depending on the context."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime around 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, that would turn any old car stereo into a smart one.","MQM annotations:
minor: style/awkward - The phrase ""Sometime around 2018"" could be slightly more precise or natural depending on the context and target audience. A more formal tone might prefer ""In approximately 2018"" or ""Around the year 2018"". This is a minor stylistic issue."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all users of the app, as, like the application on a smartphone, it emphasizes album art and playlists.","MQM annotations:
no-error"
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","Through it, you can play songs, playlists, albums, and even search for podcasts.","MQM annotations:
minor: style/awkward - While grammatically correct, the sentence structure ""Through it, you can..."" feels slightly less natural and direct compared to alternatives like ""With it, you can..."" or ""You can use it to..."". This is a minor stylistic issue, as it doesn't impede understanding, but impacts the overall flow and user-friendliness of the English translation."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes stronger when considering that iPhones and Android devices are much more powerful than Spotify's [device/app], and in most cases will provide the user with much more functionality.","MQM annotations:
minor: style/awkward - ""Spotify's [device/app]"" is vague. While technically correct, it lacks specificity and may not be readily understood by all users, making the sentence slightly less accessible."
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - organizational sharing and readiness.,"MQM annotations:
minor: style/awkward - While not strictly an audience appropriateness error, the translation is a bit literal and could be phrased more naturally for an English-speaking audience in a business context."
105,הסקרנות מקדמת |,Curiosity advances.,"MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost due to the failure to close the coal-fired power plants by the date set in June 2022 is estimated at approximately one billion shekels for 2022, according to a report by the Knesset Research and Information Center.","MQM annotations:
minor: CULTURE-SPECIFIC REFERENCE/Unfamiliar Currency - While understandable, expressing the cost in the local currency (shekels) without any immediate point of reference or comparison might make the information less impactful for an international audience. Providing a rough USD equivalent, or contextualizing the amount, would enhance accessibility."
126,בכמה יתייקר התשלום על המשכנתא?,By how much will the mortgage payment increase?,"MQM annotations:
audience appropriateness error:
critical: no-error
major: no-error
minor: no-error"
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.",This is after the interest rate in the economy was close to zero for years.,"MQM annotations:
audience appropriateness error:
minor: style/awkward - The phrase ""This is after"" is grammatically correct but sounds a bit awkward in English. A more natural phrasing might be ""This follows"" or ""This comes after"". While not a major issue, it slightly detracts from the overall fluency for a native English speaker."
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,By how much has the average mortgage increased since the beginning of the year?,"MQM annotations:
minor: no-error
major: no-error
critical: no-error"
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,"The variable-rate, index-linked track (26.7% in this track) will result in an increase of about 120 shekels.","MQM annotations:
no-error"
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,Regarding apartment buyers from a contractor - Tzur recommends expediting payments to the contractor and taking out a mortgage now.,"MQM annotations:
minor: culture-specific reference/unfamiliar term - The name ""Tzur"" might not be recognizable or carry specific connotations for an English-speaking audience, though not necessarily inappropriate. Without further context, it's a potentially unfamiliar name."
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Furthermore, starting August 10th, an additional reduction of another half shekel will be determined, so that only from that date will the price of a liter of gasoline decrease by one shekel, and this is until November 15th, 2022.","MQM annotations:
minor: style/awkward - The phrase ""will be determined"" is unnecessarily formal and sounds awkward in this context. A more natural phrasing would be ""will be"". While not strictly an audience appropriateness issue, it affects the overall readability and flow, and therefore the audience experience."
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - because it affects both household expenses and business expenses, the prices of public transportation and flights, transportation costs, and more.","MQM annotations:
minor: style/awkward - The phrase ""and more"" at the end is somewhat redundant, as the previous examples already imply that the list is not exhaustive. While not strictly inappropriate, it adds little to the meaning and could be omitted for a slightly more polished feel."
