index,original,zero_shot_translation,improved_translation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different provinces in the country recently.,It was also noted that fewer than 20 cheetahs have been recorded in seven different provinces in the country recently.
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I got an initial opportunity to try the new product, which is currently only available to a few testers in the US, here in Israel.","A few weeks ago, I had an early opportunity to try the new product, which is currently available only to a few testers in the United States, but I got to try it here in Israel."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around with it, I realized how the Car Thing could easily become an integral part of many people's systems.","After two weeks of use, I realized how the car thing could easily become an integral part of many people's systems."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Somewhere around 2018, Spotify users began receiving an interesting offer in their email inboxes - the option to purchase a new device with voice control and 4G connectivity, that would turn any old car stereo into a smart one.","In 2018, Spotify users began receiving an interesting offer in their email inboxes: the option to purchase a new device with voice control and 4G connectivity that would turn any old car stereo into a smart one."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all users of the application, as, like the smartphone app, it emphasizes album artwork and playlists.","The home screen is familiar to all application users, as, similar to the smartphone app, it emphasizes album art and playlists."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","Using it, you can play songs, playlists, albums, and even search for podcasts.","With it, you can play songs, playlists, and albums, and even search for podcasts."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes stronger when considering that iPhones and Android devices are much more powerful than that of Spotify, and in most cases will buy the user much more functionality.","This question becomes more relevant when considering that iPhones and Android devices are much more powerful than Spotify itself, and in most cases offer the user much more functionality."
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - organizational cooperation and readiness.,It's no secret: the organization's cooperation and readiness.
105,הסקרנות מקדמת |,Curiosity promotes.,Curiosity promotes progress.
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost due to the failure to close the coal-fired power plants by the scheduled date in June 2022 is estimated at approximately one billion shekels for the year 2022, according to a report by the Knesset Research and Information Center.","According to a report by the Knesset Research and Information Center, the economic cost for not closing the coal-fired power plant by the scheduled date in June 2022 is estimated at approximately one billion Israeli shekels (NIS 1,000,000,000) for the year 2022."
126,בכמה יתייקר התשלום על המשכנתא?,By how much will the mortgage payment increase?,How much more will the mortgage increase?
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.","This is, after the interest rate in the economy was close to zero for years.",This comes after years of near-zero interest rates in the economy.
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,By how much has the average mortgage become more expensive since the beginning of the year?,By how much have average mortgage rates increased since the beginning of the year?
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,"The variable interest, index-linked track (26.7% in this track) will complete a price increase of about 120 shekels.","The variable rate, index-linked track (26.7% in this track) will increase by about 120 shekels."
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,Regarding apartment buyers from a contractor - Tzur recommends expediting payments to the contractor and taking out a mortgage now.,"For those buying apartments from a contractor, Tzur recommends making payments earlier and getting a mortgage now."
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Furthermore, starting August 10th, an additional reduction of another half shekel will be determined, so that only from this date will the price of a liter of gasoline decrease by one shekel, and this will be until November 15th, 2022.","Furthermore, starting August 10, an additional reduction of another half a shekel (₪0.5) will be, so that the price of a liter of gasoline will decrease by one shekel (₪1) only from this date until November 15, 2022."
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - because it affects both household expenses and business expenses, the prices of public transportation and flights, transportation costs, and more.","The price of fuel has a dramatic impact on the standard of living in the economy because it affects both household and business expenses, the prices of public transportation and flights, transportation costs, among other things."
178,אשדוד היא העיר הידידותית ביותר לעסקים קטנים ובינוניים.,Ashdod is the most business-friendly city for small and medium-sized businesses.,Ashdod is the most business-friendly city for small and medium enterprises.
181,"אחריהן ממוקמות לפי הסדר: אשקלון, ראשון לציון, תל אביב־יפו, חיפה, רמת גן, חולון, באר שבע, ירושלים, בת ים, נתניה ובני ברק.","Following them, in order, are: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Beersheba, Jerusalem, Bat Yam, Netanya, and Bnei Brak.","After them, the cities in order are: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Be'er Sheva, Jerusalem, Bat Yam, Netanya, and Bnei Brak."
182,הסוכנות עורכת את מדד הרשויות המקומיות.,The Agency conducts the Local Authorities Index.,The Jewish Agency publishes the Local Authorities Index.
198,"פיתוח העסקים הקטנים הוא אינטרס ציבורי של כולנו, אולם לרשות המקומית יש השפעה ישירה על העסקים שנמצאים בה.","Developing small businesses is in the public interest of us all, but the local authority has a direct impact on the businesses located within it.","Developing small businesses is in everyone's public interest, but the local authority has a direct impact on the businesses located within it."
199,"הקורונה הדגישה את חשיבותו של השלטון המקומי וראינו כי רשויות שפעלו ועודדו את קידום העסקים הקטנים ומצאו פתרונות יצירתיים עבורם, הפכו לממשק השלטוני הראשון עבורם"".","""The coronavirus highlighted the importance of local government, and we saw that authorities that acted and encouraged the promotion of small businesses and found creative solutions for them became the primary governmental interface for those businesses.""","""The coronavirus highlighted the importance of local government, and we saw that authorities that acted and encouraged the promotion of small businesses and found creative solutions for them became the first governmental interface for those businesses."""
200,"רן קויתי, מנהל הסוכנות לעסקים קטנים ובינוניים במשרד הכלכלה והתעשייה, מוסיף: ""לרשויות המקומיות חלק מרכזי ומהותי ביכולתם של עסקים בתחומן לשגשג ולפרוח.","Ran Kviti, Director of the Small and Medium Business Agency in the Ministry of Economy and Industry, adds: ""Local authorities have a central and significant role in the ability of businesses within their jurisdiction to flourish and thrive.""","Ran Kviti, Director of the Small and Medium Business Agency in the Ministry of Economy and Industry, adds: ""Municipalities play a key role in the ability of businesses within their jurisdiction to flourish and thrive."""
201,"בשנתיים האחרונות, שבהן אנו מתמודדים עם משבר הקורונה, לרשויות משקל גדול יותר בסיוע לעסקים לשרוד בתחומן ולשרוד בכלל"".","In the last two years, during which we have been dealing with the Coronavirus crisis, the authorities have a greater weight in helping businesses survive in their field and survive in general.","In the last two years, during which we have been dealing with the coronavirus crisis, the authorities play a more significant role in helping businesses survive in their field and survive in general."
217,"יותר חבילות הגיעו בדצמבר מבכל חודש אחר, ככל הנראה בעקבות חגי הקניות של נובמבר, דוגמת יום הרווקים הסיני, בלאק פריידי וסייבר מאנדיי.","More packages arrived in December than in any other month, likely due to November's shopping holidays, such as Singles' Day in China, Black Friday, and Cyber Monday.","More packages arrived in December than in any other month, likely because of the November shopping holidays, such as Singles day in China, Black Friday, and Cyber Monday."
220,"לשכירים רבים מגיע כסף מהמדינה, שיכול להגיע לעשרות אלפי שקלים •","Many employees are entitled to money from the state, which can amount to tens of thousands of shekels.","Many employees are entitled to government benefits from the state, potentially reaching tens of thousands of shekels."
221,שיניתם מקום עבודה?,Did you change jobs?,Have you changed jobs?
223,עברתם מהעיר ליישוב?,Did you move from the city to a settlement/community?,Did you move from the city to a settlement?
249,100% מהעוברים לישוב מזכה קיבלו החזר מס על שנת המעבר היות ואישור על תושבות בישוב מזכה ניתנת רק לאחר 12 חודשים מיום הפיכת התושב לתושב מזכה ובכך למעשה השנה הראשונה משולם מס מלא.,"100% of those moving to an eligible locality received a tax refund for the year of the move, since proof of residency in an eligible locality is only granted after 12 months from the day the resident became an eligible resident, and thus, in effect, full tax is paid for the first year.","100% of those moving to a locality entitled to tax benefits received a tax refund for the year of the move, since proof of residency in such a locality is granted only after 12 months from the day the person becomes a resident of a locality entitled to tax benefits; thus, full tax is paid for the first year."
253,שיעור ההחזר יכול להגיע לעשרות אלפי שקלים לאורך 6 שנים.,The rate of return can reach tens of thousands of shekels over 6 years.,The return rate can reach tens of thousands of shekels over six years.
255,"מנכ״ל tax:on, טל כרמון: ""משבר הקורונה גרם לכך שציבור השכירים בישראל הפך להרבה יותר אקטיבי.","tax:on CEO, Tal Carmon: ""The Coronavirus crisis has caused the salaried public in Israel to become much more active.""","tax:on CEO, Tal Carmon: ""The coronavirus crisis has led to salaried employees in Israel becoming more proactive."""
256,"הוא מתעניין, בודק ודורש את מה שמגיע לו בהחזרים ממס הכנסה.","He is interested, checks, and demands what he is owed in tax refunds.","He is interested, checks, and demands what is due to him in income tax refunds."
264,"לפי הדו""ח, מחפשי העבודה התעניינו בעיקר בתחומים רוויי משרות כמו אדמיניסטרציה ומכירות, שלגביהן נשלחו 1,738,485 קורות חיים.","According to the report, job seekers were mainly interested in job-saturated fields such as administration and sales, for which 1,738,485 resumes were sent.","According to the report, job seekers were mainly interested in highly competitive fields such as administration and sales, for which 1,738,485 resumes were sent."
268,"השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.","The average monthly salary in the software field was 17,915 shekels, and in information systems analysis it was 17,140 shekels.","The average monthly salary in the software field was 17,915 shekels, while in information systems analysis it was 17,140 shekels."
276,ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.,"The largest supply was for positions requiring no experience - and there were more than 58,000 of those on the site.","The highest number of job postings were for entry-level positions, with over 58,000 available on the site."
286,"במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.","In other words, this refers to 193,000 unemployed compared to 180,300.","In other words, this represents 193,000 unemployed compared to 180,300."
289,"מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.","Of those in the labor force, 95.5%, constituting 4,059,700, are employed, and the rest are unemployed.","95.  5% of the labor force, or 4,059,700 people, are employed, while the rest are unemployed."
295,"הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.","The survey allows for monitoring the development of the workforce, its size and characteristics, the extent of unemployment, and more.","The survey enables monitoring the development of the labor force, its size and characteristics, the extent of unemployment, and more."
301,הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.,Sanctification and tradition are a very deep root in my soul.,Kiddush and tradition are deeply rooted in my soul.
302,"ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).","Fridays at my house are dedicated to the kids, Or (10) and Yonatan (8).","I dedicate Fridays to my children, Or (10) and Yonatan (8)."
310,"כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.","When we arrive at my mother-in-law's, amazing smells from her apartment are already wafting up from the building's lobby.","When we arrive at my mother-in-law's, amazing smells from her apartment are already rising from the building's lobby."
316,כל פינה נידחת בארץ עשתה לו גאווה בלב.,Every remote corner of the country filled his heart with pride.,He felt proud of every remote corner of the country.
323,שבוע־שבועיים לפני יום העצמאות כבר הייתי מטפס על עצים וקושר לבית חוטים עם דגלי ישראל.,"A week or two before Independence Day, I would already be climbing trees and tying strings with Israeli flags to the house.","A week or two before Independence Day, I'd already be climbing trees and tying strings with Israeli flags to the house."
348,"""הייתי פותחת שולחן גדול ומזמינה את 'המתים שלי'.","I would set a big table and invite ""my dead.""","I would set a large table and invite ""my deceased loved ones."""
349,"לפעמים אני מדמיינת מה היה אילו אחי דניאל ז""ל היה בחיים, או אם אבא שלי, שניאור ז""ל, היה רואה את הילדים שלי: אוריאל (23) והתאומות תמרה ונעמה (16 וחצי).","Sometimes I imagine what it would be like if my brother Daniel, may his memory be a blessing, were alive, or if my father, Schneor, may his memory be a blessing, could see my children: Uriel (23) and the twins Tamara and Naama (16 and a half).","Sometimes I imagine what it would be like if my brother Daniel, of blessed memory, were alive, or if my father, Schneor, of blessed memory, could see my children: Uriel (23) and the twins Tamara and Naama (16 and a half)."
364,"ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.","Bibi will play the role of Noa, which was played by Dafna Armoni.","Bibi will play the role of Noa, originally portrayed by Dafna Armoni."
371,את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com,Lopez shared the joyous news yesterday evening (Friday) with her fans on her official website onthejlo.com.,"Lopez announced the happy news yesterday evening on her official website, onthejlo.com."
390,"עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית"".","Now we are more exposed, addressing the camera directly in a natural way, not just reality TV but an authentic documentary series.","Now we're more exposed, speaking directly to the camera naturally, not just a reality show but an authentic documentary series."
