index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different provinces of the country in recent times.,"locale conventions:

MQM annotations:
[Critical]: None
[Major]: None
[Minor]: None"
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I received an initial opportunity to try the new product, which is currently only available to a few testers in the US, here in Israel.","locale conventions:

MQM annotations:"
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I realized how the Car Thing could easily become an integral part of many people's systems.","locale conventions:

MQM annotations:
no errors"
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime around 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, that would turn any old car stereo into a smart one.","locale conventions:

MQM annotations:"
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all users of the app, as, like the application on a smartphone, it emphasizes album art and playlists.","locale conventions:

MQM annotations:"
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","Through it, you can play songs, playlists, albums, and even search for podcasts.","locale conventions:

MQM annotations:
None"
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes stronger when considering that iPhones and Android devices are much more powerful than Spotify's [device/app], and in most cases will provide the user with much more functionality.","locale conventions:

MQM annotations:"
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - organizational sharing and readiness.,"locale conventions:

MQM annotations:"
105,הסקרנות מקדמת |,Curiosity advances.,"locale conventions:

MQM annotations:"
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost due to the failure to close the coal-fired power plants by the date set in June 2022 is estimated at approximately one billion shekels for 2022, according to a report by the Knesset Research and Information Center.","locale conventions:

MQM annotations:
minor: NUMBER FORMAT - In English, the number ""one billion"" is commonly written out, while in Hebrew, it may be represented numerically with commas as separators. The translation is technically correct, but using ""1,000,000,000"" might be more aligned with English conventions for large numbers in this context. However, since ""one billion"" is explicitly used, there isn't an error."
126,בכמה יתייקר התשלום על המשכנתא?,By how much will the mortgage payment increase?,"locale conventions:

MQM annotations:"
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.",This is after the interest rate in the economy was close to zero for years.,"locale conventions:

MQM annotations:"
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,By how much has the average mortgage increased since the beginning of the year?,"locale conventions:

MQM annotations:"
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,"The variable-rate, index-linked track (26.7% in this track) will result in an increase of about 120 shekels.","locale conventions:

MQM annotations:"
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,Regarding apartment buyers from a contractor - Tzur recommends expediting payments to the contractor and taking out a mortgage now.,"locale conventions:

MQM annotations:"
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Furthermore, starting August 10th, an additional reduction of another half shekel will be determined, so that only from that date will the price of a liter of gasoline decrease by one shekel, and this is until November 15th, 2022.","locale conventions:

MQM annotations:"
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - because it affects both household expenses and business expenses, the prices of public transportation and flights, transportation costs, and more.","locale conventions:

MQM annotations:"
178,אשדוד היא העיר הידידותית ביותר לעסקים קטנים ובינוניים.,Ashdod is the most business-friendly city for small and medium-sized businesses.,"locale conventions:

MQM annotations:"
181,"אחריהן ממוקמות לפי הסדר: אשקלון, ראשון לציון, תל אביב־יפו, חיפה, רמת גן, חולון, באר שבע, ירושלים, בת ים, נתניה ובני ברק.","Following them, in order, are: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Be'er Sheva, Jerusalem, Bat Yam, Netanya, and Bnei Brak.","locale conventions:

MQM annotations:"
182,הסוכנות עורכת את מדד הרשויות המקומיות.,The Agency conducts the Local Authorities Index.,"locale conventions:

MQM annotations:"
