index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different provinces of the country in recent times.,"MQM annotations:
minor: style/Unnatural Flow - The phrase ""in recent times"" is redundant and sounds a bit unnatural in this context. A more concise phrasing would improve the flow."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I received an initial opportunity to try the new product, which is currently only available to a few testers in the US, here in Israel.","MQM annotations:
minor: unnatural flow - The phrase ""initial opportunity"" sounds slightly awkward. ""First opportunity"" would be more natural.
minor: unnatural flow - ""currently only available to a few testers in the US, here in Israel"" is a bit clunky. Rephrasing to something like ""currently only available to a limited number of testers in the US, but I had the opportunity to test it here in Israel"" would flow better."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I realized how the Car Thing could easily become an integral part of many people's systems.","MQM annotations:
minor: style/unnatural flow - ""playing around"" sounds slightly awkward in this context; a more natural phrasing might be ""experimenting"" or ""using""."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime around 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, that would turn any old car stereo into a smart one.","MQM annotations:
minor: style/unnatural flow - The phrase ""Sometime around 2018"" feels a bit awkward. ""Around 2018"" or ""In 2018"" would be more natural."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all users of the app, as, like the application on a smartphone, it emphasizes album art and playlists.","MQM annotations:
minor: style/Unnatural Flow - ""as, like the application on a smartphone,"" is somewhat redundant and could be phrased more concisely."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","Through it, you can play songs, playlists, albums, and even search for podcasts.","MQM annotations:
minor: style/unnatural flow - ""Through it"" sounds slightly awkward. A more natural phrasing might be ""With it"" or ""Using it."""
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes stronger when considering that iPhones and Android devices are much more powerful than Spotify's [device/app], and in most cases will provide the user with much more functionality.","MQM annotations:
minor: unnatural flow - The phrase ""This question becomes stronger"" sounds awkward and could be rephrased for better flow.
minor: unspecified - ""[device/app]"" The original text does not specify ""device/app"" and this addition makes the target text feel unnatural"
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - organizational sharing and readiness.,"MQM annotations:
minor: Style/Unnatural Flow - ""organizational sharing and readiness"" sounds a bit unnatural. A more natural phrasing might be ""organizational readiness and willingness to share""."
105,הסקרנות מקדמת |,Curiosity advances.,"MQM annotations:
minor: style/unnatural flow - The translation is grammatically correct but sounds a bit too literal and could be more naturally expressed."
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost due to the failure to close the coal-fired power plants by the date set in June 2022 is estimated at approximately one billion shekels for 2022, according to a report by the Knesset Research and Information Center.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""due to the failure to close"" sounds a bit awkward. A more natural phrasing might be ""because the coal-fired power plants were not closed"".
minor: register - ""approximately one billion shekels"" could be more formal, like ""an estimated one billion shekels""."
