index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different provinces of the country in recent times.,"```
MQM annotations:
```"
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I received an initial opportunity to try the new product, which is currently only available to a few testers in the US, here in Israel.","MQM annotations:
Terminology errors:
minor: WRONG TERM - ""in the US"" should be ""in the USA"" to adhere to correct abbreviation style."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I realized how the Car Thing could easily become an integral part of many people's systems.","MQM annotations:
Terminology errors:
minor: WRONG TERM/ Wrong capitalization - ""Car Thing"" should be ""Car Thing"".
```"
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime around 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, that would turn any old car stereo into a smart one.","MQM annotations:
Terminology errors:
minor: WRONG TERM/wrong term - ""4G connectivity"" is a valid translation for ""דור רביעי"" but in this context, it should be ""4G connection""."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all users of the app, as, like the application on a smartphone, it emphasizes album art and playlists.","```
MQM annotations:
```"
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","Through it, you can play songs, playlists, albums, and even search for podcasts.","```
MQM annotations:
```"
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes stronger when considering that iPhones and Android devices are much more powerful than Spotify's [device/app], and in most cases will provide the user with much more functionality.","MQM annotations:
Terminology errors:
minor: WRONG TERM - The translation of ""Spotify's [device/app]"" is too vague. It should be something more specific based on context."
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - organizational sharing and readiness.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""organizational sharing"" should be ""organizational cooperation"". ""Sharing"" implies a less formal or structured exchange than ""cooperation"" in a business context.
```"
105,הסקרנות מקדמת |,Curiosity advances.,"```
MQM annotations:
```"
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost due to the failure to close the coal-fired power plants by the date set in June 2022 is estimated at approximately one billion shekels for 2022, according to a report by the Knesset Research and Information Center.","MQM annotations:
Terminology errors:
minor: WRONG TERM - ""coal-fired power plants"" should be in singular form ""coal-fired power plant"" to match the singular Hebrew term."
126,בכמה יתייקר התשלום על המשכנתא?,By how much will the mortgage payment increase?,"```
MQM annotations:
```"
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.",This is after the interest rate in the economy was close to zero for years.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""interest rate"" should be in plural form as the source uses ""ריבית"" which is plural.
```"
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,By how much has the average mortgage increased since the beginning of the year?,"MQM annotations:
Terminology errors:
minor: WRONG TERM/capitalization - ""By how much has the average mortgage increased since the beginning of the year?"" Mortgage should not be capitalized here."
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,"The variable-rate, index-linked track (26.7% in this track) will result in an increase of about 120 shekels.","MQM annotations:
Terminology errors:
minor: WRONG TERM - ""variable-rate, index-linked track"" should be ""variable interest rate track, index-linked"". The current translation is understandable, but less precise and slightly awkward.
```"
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,Regarding apartment buyers from a contractor - Tzur recommends expediting payments to the contractor and taking out a mortgage now.,"MQM annotations:
Terminology errors:
minor: WRONG TERM/Wrong Term - ""Tzur"" should be transliterated more accurately to reflect Hebrew pronunciation; potentially ""Tzur"" should be tagged as a named entity instead of a glossary term."
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Furthermore, starting August 10th, an additional reduction of another half shekel will be determined, so that only from that date will the price of a liter of gasoline decrease by one shekel, and this is until November 15th, 2022.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""half shekel"" should be ""half a shekel"" for better readability.
```"
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - because it affects both household expenses and business expenses, the prices of public transportation and flights, transportation costs, and more.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""cost of living"" should be more specific and contextualized, perhaps ""standard of living"" or ""expenses"". Though 'cost of living' is understandable, it is a general term that may not fully capture the intended nuance in this economic context.
```"
178,אשדוד היא העיר הידידותית ביותר לעסקים קטנים ובינוניים.,Ashdod is the most business-friendly city for small and medium-sized businesses.,"MQM annotations
Terminology errors:
minor: WRONG TERM - ""small and medium-sized businesses"" should be ""small and medium enterprises"". The correct translation of ""עסקים קטנים ובינוניים"" is small and medium enterprises, not small and medium-sized businesses
```"
