index,original,zero_shot_translation,reference_translation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different provinces of the country in recent times.,It was also noted that less than 20 cheetahs were recorded in the last period in seven different districts of the country.
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I received an initial opportunity to try the new product, which is currently only available to a few testers in the US, here in Israel.","A few weeks ago, I got an preliminary opportunity to try out the new product here in Israel, which is currently only available to individual testers in the US."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I realized how the Car Thing could easily become an integral part of many people's systems.","After two weeks of trying it, I came to understand how Car Thing could easily become an integral part of many people’s systems."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime around 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, that would turn any old car stereo into a smart one.","Somewhere in 2018, Spotify users began to receive an interesting offer in their email inbox—an opportunity to purchase a new device with voice control and 4th generation connectivity, which will make any old car system smart."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all users of the app, as, like the application on a smartphone, it emphasizes album art and playlists.","The home screen is familiar to all users of the application, since like the smartphone application, it emphasizes the album images and playlists."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","Through it, you can play songs, playlists, albums, and even search for podcasts.","Using it, you can play songs, playlists, albums and even search for podcasts."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes stronger when considering that iPhones and Android devices are much more powerful than Spotify's [device/app], and in most cases will provide the user with much more functionality.","This question gets crucial when considering that iPhone and Android devices are much more powerful than Spotify’s device, and in most cases will supply the user with much more functionality."
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - organizational sharing and readiness.,It’s not a secret—sharing and organization’s readiness |
105,הסקרנות מקדמת |,Curiosity advances.,Curiosity promotes |
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost due to the failure to close the coal-fired power plants by the date set in June 2022 is estimated at approximately one billion shekels for 2022, according to a report by the Knesset Research and Information Center.","The economic cost of not closing the coal-based power stations by the date set in June 2022 is estimated at about one billion NIS for the year 2022, according to a report by the Knesset’s Research and Information Center."
126,בכמה יתייקר התשלום על המשכנתא?,By how much will the mortgage payment increase?,How much more expensive will the mortgage payment be?
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.",This is after the interest rate in the economy was close to zero for years.,"This rise, after the interest rate in the economy has been registered as close to zero for years."
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,By how much has the average mortgage increased since the beginning of the year?,By how much has the average mortgage become more expensive since the beginning of this year?
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,"The variable-rate, index-linked track (26.7% in this track) will result in an increase of about 120 shekels.",The index-linked variable interest rate (26.7% on this rate) will add up to a price increase of about 120 NIS.
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,Regarding apartment buyers from a contractor - Tzur recommends expediting payments to the contractor and taking out a mortgage now.,Regarding apartment purchasers from a contractor—Zror recommends to make early payments to the contractor in advance and to take out a mortgage now.
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Furthermore, starting August 10th, an additional reduction of another half shekel will be determined, so that only from that date will the price of a liter of gasoline decrease by one shekel, and this is until November 15th, 2022.","Also, starting on August 10, another reduction of 0.5 NIS will be implemented, so that from this date the gasoline price per liter will be reduced by 1.0 NIS until November 15, 2022."
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - because it affects both household expenses and business expenses, the prices of public transportation and flights, transportation costs, and more.","The price of fuel has a dramatic effect on the cost of living in the economy—because it affects both household expenses and business expenses, as well as public transportation and flights prices, transport costs, and more."
178,אשדוד היא העיר הידידותית ביותר לעסקים קטנים ובינוניים.,Ashdod is the most business-friendly city for small and medium-sized businesses.,Ashdod is the friendliest city for small and medium businesses.
181,"אחריהן ממוקמות לפי הסדר: אשקלון, ראשון לציון, תל אביב־יפו, חיפה, רמת גן, חולון, באר שבע, ירושלים, בת ים, נתניה ובני ברק.","Following them, in order, are: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Be'er Sheva, Jerusalem, Bat Yam, Netanya, and Bnei Brak.","After these cities, ranked by order are: Ashkelon, Rishon Lezion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Beer Sheva, Jerusalem, Bat Yam, Netanya and Bnei Brak."
182,הסוכנות עורכת את מדד הרשויות המקומיות.,The Agency conducts the Local Authorities Index.,The agency compiles the index of local authorities.
198,"פיתוח העסקים הקטנים הוא אינטרס ציבורי של כולנו, אולם לרשות המקומית יש השפעה ישירה על העסקים שנמצאים בה.","Developing small businesses is in everyone's public interest, but the local authority has a direct impact on the businesses located within it.","The development of small businesses is the public interest for us all, but the local authority has a direct impact on the businesses located within local authority jurisdiction."
199,"הקורונה הדגישה את חשיבותו של השלטון המקומי וראינו כי רשויות שפעלו ועודדו את קידום העסקים הקטנים ומצאו פתרונות יצירתיים עבורם, הפכו לממשק השלטוני הראשון עבורם"".","The coronavirus highlighted the importance of local government, and we saw that authorities that acted and encouraged the promotion of small businesses and found creative solutions for them, became the first governmental interface for them.","The Corona Virus emphasized the importance of local government and we saw that authorities that acted and encouraged promotion of small businesses and suggested creative solutions for them, became their primary governmental interface."""
200,"רן קויתי, מנהל הסוכנות לעסקים קטנים ובינוניים במשרד הכלכלה והתעשייה, מוסיף: ""לרשויות המקומיות חלק מרכזי ומהותי ביכולתם של עסקים בתחומן לשגשג ולפרוח.","Ran Kviti, Director of the Small and Medium Business Agency in the Ministry of Economy and Industry, adds: ""Local authorities have a central and essential role in the ability of businesses within their boundaries to thrive and flourish.""","Ran Kivity, director of the Small and Medium Business Agency at the Ministry of Economy and Industry, adds: ""Local authorities play a central and essential part in the ability of businesses to thrive and succeed."
201,"בשנתיים האחרונות, שבהן אנו מתמודדים עם משבר הקורונה, לרשויות משקל גדול יותר בסיוע לעסקים לשרוד בתחומן ולשרוד בכלל"".","In the last two years, during which we have been dealing with the Corona crisis, the authorities have had a greater weight in helping businesses survive in their field and survive in general.","In the previous two years, while coping with the Corona Virus crisis, the authorities have a greater influence in helping businesses to survive within their field and in general""."
217,"יותר חבילות הגיעו בדצמבר מבכל חודש אחר, ככל הנראה בעקבות חגי הקניות של נובמבר, דוגמת יום הרווקים הסיני, בלאק פריידי וסייבר מאנדיי.","More packages arrived in December than in any other month, most likely due to the November shopping holidays, such as Singles' Day in China, Black Friday, and Cyber Monday.","More packages arrived on December than any other month, probably following the November shopping holidays, such as Chinese Singles Day, Black Friday and Cyber Monday."
220,"לשכירים רבים מגיע כסף מהמדינה, שיכול להגיע לעשרות אלפי שקלים •","Many salaried employees are entitled to money from the state, which can amount to tens of thousands of shekels.","Many employees are entitled to receive funds from the state, that can reach tens of thousands of NIS •"
221,שיניתם מקום עבודה?,Did you change jobs?,Have you changed place of work?
223,עברתם מהעיר ליישוב?,Did you move from the city to a settlement/community?,Did you move from the city to a settlement?
249,100% מהעוברים לישוב מזכה קיבלו החזר מס על שנת המעבר היות ואישור על תושבות בישוב מזכה ניתנת רק לאחר 12 חודשים מיום הפיכת התושב לתושב מזכה ובכך למעשה השנה הראשונה משולם מס מלא.,"100% of those moving to an eligible locality received a tax refund for the year of the move, since proof of residency in an eligible locality is only given after 12 months from the day the resident becomes an eligible resident, and thus in effect, the first year is taxed in full.","100% of those who move to a qualifying settlement received a tax refund for the year of the move since confirmation of residency in a qualifying settlement is given only after 12 months from the day the resident became a qualified resident, therefor effectively the first year full tax is paid."
253,שיעור ההחזר יכול להגיע לעשרות אלפי שקלים לאורך 6 שנים.,The return rate can reach tens of thousands of shekels over 6 years.,The refund can amount as high as tens of thousands of NIS over 6 years.
255,"מנכ״ל tax:on, טל כרמון: ""משבר הקורונה גרם לכך שציבור השכירים בישראל הפך להרבה יותר אקטיבי.","tax:on CEO, Tal Carmon: ""The Corona crisis caused the salaried public in Israel to become much more active.""","CEO of Tax:On, Tal Carmon: ""The Corona Virus crisis has meant that the employed in Israel have become much more active."
256,"הוא מתעניין, בודק ודורש את מה שמגיע לו בהחזרים ממס הכנסה.","He's interested, checks, and demands what he's owed in tax refunds.","They show interest, check and demand the refunds they deserve from the income tax."
264,"לפי הדו""ח, מחפשי העבודה התעניינו בעיקר בתחומים רוויי משרות כמו אדמיניסטרציה ומכירות, שלגביהן נשלחו 1,738,485 קורות חיים.","According to the report, job seekers were mainly interested in saturated fields like administration and sales, for which 1,738,485 resumes were sent.","According to the report, the job seekers were mainly interested in areas saturated with jobs such as administration and sales, for which 1,738,485 CVs were sent."
268,"השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.","The average monthly salary in software was 17,915 shekels, and in information systems analysis it was 17,140 shekels.","The average monthly salary in the software field was 17,915 NIS, and in information systems analysis it was 17,140 NIS."
276,ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.,"The largest supply was for entry-level positions - and there were more than 58,000 of them on the site.",The largest offer was for jobs without experience—more than 58 thousand of them were on the site.
286,"במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.","In other words, we're talking about 193,000 unemployed compared to 180,300.","In other words, 193,000 unemployed in comparison to 180,300."
289,"מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.","Of the workforce, 95.5%, constituting 4,059,700, are employed, and the rest are unemployed.","Of the labor force, 95.5%, which is 4,059,700, are employed and the rest are unemployed."
295,"הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.","The survey allows for tracking the development of the workforce, its size and characteristics, the scope of unemployment, and more.","The survey enables monitoring the development of the labor force, its size and characteristics, the extent of unemployment and more."
301,הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.,Sanctity and tradition are a very deep root in my soul.,Saturday’s sanctification and tradition are deeply rooted in my soul.
302,"ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).","Fridays for me are dedicated to the children, Or (10) and Yonatan (8).","My Fridays are dedicated to the children, Orr (10) and Jonathan (8)."
310,"כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.","When we arrive at my mother-in-law's, even from the building lobby, amazing smells rise from her apartment.","When we arrive at my mother-in-law’s, from the lobby of the building, you can already smell the amazing aromas coming from her apartment."
316,כל פינה נידחת בארץ עשתה לו גאווה בלב.,Every remote corner of the land filled his heart with pride.,Every remote location of the country made his heart proud.
323,שבוע־שבועיים לפני יום העצמאות כבר הייתי מטפס על עצים וקושר לבית חוטים עם דגלי ישראל.,"A week or two before Independence Day, I would already be climbing trees and tying wires with Israeli flags to the house.",A week or two before Independence Day I already climbed trees and attached strings with Israeli flags to the house.
348,"""הייתי פותחת שולחן גדול ומזמינה את 'המתים שלי'.",I would set a large table and invite 'my dead ones.',"""I would set a big table and invite 'my dearly departed'."
349,"לפעמים אני מדמיינת מה היה אילו אחי דניאל ז""ל היה בחיים, או אם אבא שלי, שניאור ז""ל, היה רואה את הילדים שלי: אוריאל (23) והתאומות תמרה ונעמה (16 וחצי).","Sometimes I imagine what it would be like if my brother Daniel, may his memory be a blessing, was alive, or if my father, Schneur, may his memory be a blessing, could see my children: Uriel (23) and the twins Tamara and Naama (16 and a half).","Sometimes I imagine what would have happened if my brother, Daniel, God rest his soul, was alive, or if my father, the late Shneor, had seen my children: Uriel (23) and the twins, Tamara and Naama (16.5)."
364,"ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.","Bibi will play the role of Noa, which was played by Dafna Armoni.","Ms. Bibi will play the role of Noa, played by Dafna Armoni"
371,את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com,Lopez shared the joyous news yesterday evening (Friday) with her fans on her official website onthejlo.com.,Lopez shared the happy news with her fans yesterday evening (Friday) on her official website onthejlo.com
390,"עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית"".","""Now we are more exposed, addressing the camera directly in a natural way, not just reality TV but an authentic documentary series.""","Now we are more exposed, facing the camera directly, naturally, not just a reality show but an authentic documentary series""."
402,אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז,IndieNegev with an international flavor: Afghan Whigs join Avitar Banai and Noga Erez.,InDNegev with an international flavor: The Afghan Whigs joining Eviatar Banai and Noga Erez
407,"אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.","IndieNegev began its journey in 2007 as a small, niche event that brought together the hottest names in the Israeli indie scene.","InDNegev began in 2007 as a small niche event, which brought together the hot names in the Israeli Indie scene."
409,אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות,Aviv Geffen and Sarit Hadad: The Jerusalem Arts and Crafts Fair with new surprises.,Aviv Geffen and Sarit Hadad: The Hutzot Hayotzer festival in Jerusalem with new surprises
410,"הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים","The international festival in the capital, which has become a tradition and will take place in several locations, will present musical performances by leading local artists and incorporate circus performances and innovative and surprising artistic displays.","The international festival in the capital, which has become a tradition and will be held in several centers, will present musical performances by leading local artists, and will combine circus shows and innovative and surprising artistic performances"
417,"SPARKS הוא מופע קרקס, תנועה וריחוף אווירי של קרקס Y, תערוכת צילום אינסטגרמית בהשראת יצירות אמנות מפורסמות.","SPARKS is a circus, movement, and aerial levitation show by Circus Y, an Instagrammable photography exhibition inspired by famous works of art.","SPARKS is a circus, a movement and an aerial levitation performance by Circus Y, an Instagram photo exhibition inspired by famous works of art."
