index,original,translated,accuracy_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,"According to the report, fewer than 20 cheetahs were documented in the last period in seven different districts in the country.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""cheetahs"" does not accurately reflect the meaning of the source text, which refers to ""ברדלסים"" (bardalsim), a type of animal that is not the same as cheetahs.
[Minor]: accuracy/omission - The translation does not mention that the animals were ""documented"" in the last period, which is present in the source text."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I had an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""A few weeks ago, I had an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel"" does not fully reflect the meaning of the source text, which states that the new product is currently available only to a few testers in the US, but the translation indicates that it is available in Israel as well."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately conveys the meaning of the source Hebrew text. There are no accuracy errors identified."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email inbox - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""turn any old system into a smart car"" does not accurately reflect the meaning of the source text, which is about turning any old system into a smart system with voice control and 4G connectivity.
[Minor]: accuracy/addition - The translation ""in their email inbox"" adds unnecessary detail that is not present in the source text."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is available to all users of the app, as like the mobile app, it emphasizes album photos and playlists.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""available to all users"" does not fully capture the meaning of the source text ""מסך הבית מוכר לכל המשתמשים"", which implies that the home screen is familiar or known to all users, rather than just being available to them.
[Minor]: accuracy/addition - The phrase ""as like the mobile app"" is not present in the source text and does not significantly improve the translation."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","You can use it to play songs, playlists, albums, and even search for podcasts.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""You can use it to play songs, playlists, albums, and even search for podcasts"" does not fully capture the meaning of the source text ""באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים."" The source text suggests that the ""it"" refers to a specific device or platform that can be used to perform those actions, while the translation does not convey this context.
[Minor]: none"
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","The question is strengthened by the fact that iPhone and Android devices are much stronger than Spotify, and in most cases will provide the user with much more functionality.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""iPhone and Android devices are much stronger than Spotify"" does not accurately reflect the meaning of the source text, which states that these devices are ""much stronger"" in terms of functionality compared to Spotify.
[Minor]: accuracy/addition - The phrase ""in most cases will provide the user with much more functionality"" is not present in the source text and is an addition by the translator."
96,זה לא סוד - שיתוף ומוכנות הארגון |,This is no secret - the organization's sharing and readiness.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""the organization's sharing and readiness"" does not fully capture the meaning of the source text ""שיתוף ומוכנות הארגון"", which is more accurately translated as ""the organization's cooperation and preparedness"".
[Minor]: none"
105,הסקרנות מקדמת |,Curiosity promotes.,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""Curiosity promotes"" does not fully capture the meaning of the source text ""הסקרנות מקדמת"", which could be more accurately translated as ""Curiosity advances"" or ""Curiosity furthers"".
[Minor]: none"
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at around one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","MQM annotations:
Accuracy Errors
[Minor]: [accuracy/addition] - The translation adds the phrase ""around one billion shekels"" which is not present in the source text.
[Minor]: [accuracy/mistranslation] - The translation uses ""coal-fired power stations"" instead of the more precise ""coal power stations"" used in the source text.
[Minor]: [accuracy/mistranslation] - The translation uses ""the date set in June 2022"" instead of the more precise ""the date set in June 2022"" used in the source text."
