index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,"According to the report, fewer than 20 cheetahs were documented in the last period in seven different districts in the country.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""cheetahs"" may not be a familiar concept for the target audience, and a more common term for the local wildlife may be more appropriate."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I had an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""here in Israel"" may not be immediately clear to all readers outside of Israel, as it assumes a certain level of familiarity with the geographic context."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""Car Thing"" may not be familiar or intuitive for the target audience, as it is a product-specific reference that may not be widely recognized."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email inbox - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""smart car"" may not be a familiar concept for the target audience, as it is a technology-related term that may not be widely used or understood in the local context."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is available to all users of the app, as like the mobile app, it emphasizes album photos and playlists.","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""home screen"" may not be a familiar concept for all users, and a more culturally appropriate term could be used.
[Minor]: [WRONG LANGUAGE VARIETY] - The phrase ""as like the mobile app"" may sound unnatural or awkward in the target language context."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","You can use it to play songs, playlists, albums, and even search for podcasts.","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""playlists"" may not be a familiar concept for some target audiences, and a more culturally appropriate term could be used."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","The question is strengthened by the fact that iPhone and Android devices are much stronger than Spotify, and in most cases will provide the user with much more functionality.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The comparison of the strength of iPhone/Android devices to Spotify may not be culturally relevant or understandable for all target audiences, as the popularity and usage of these technologies can vary across different regions and demographics."
96,זה לא סוד - שיתוף ומוכנות הארגון |,This is no secret - the organization's sharing and readiness.,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""the organization's sharing and readiness"" may not be a common or natural way to express the concept in the target English audience. It sounds more formal or technical than how a native English speaker would typically describe this idea.
[Minor]: WRONG LANGUAGE VARIETY - The translation uses a more formal or academic style that may not be appropriate for a general audience. A more conversational or plain language style would be more suitable."
105,הסקרנות מקדמת |,Curiosity promotes.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""promotes"" may not be a natural or idiomatic way to express the intended meaning in the target language and cultural context."
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at around one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""shekels"" may not be familiar to all English-speaking audiences and could be replaced with a more universal currency term like ""dollars"" or ""pounds""."
