index,original,zero_shot_translation,improved_translation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,"According to the report, fewer than 20 cheetahs were documented in the last period in seven different districts in the country.","According to the report, fewer than 20 Bardalsim (a type of wild feline) were documented in the last period across seven different districts in the country."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I received an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel.","The new product is currently available only to a select few beta users in the US, and I recently had the chance to try it out here in Israel."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system.","After two weeks of experimenting with it, I realized how the Car Thing could easily become an integral part of many people's lives."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email inbox - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car.","Somewhere in 2018, Spotify users began receiving an interesting offer to purchase a new product with voice control and 4G connectivity, which will turn any old car system into a smart vehicle."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is available to all users of the app, as like the mobile app, it emphasizes album photos and playlists.","The home screen is familiar to all users of the app, as like the mobile app, it emphasizes the album photos and playlists."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","You can use it to play songs, playlists, albums, and even search for podcasts.","With the help of the provided annotations, here is an improved translation:

You can use this application to play tracks, music collections, albums, and even search for podcasts."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","The question is strengthened by the fact that iPhone and Android devices are much stronger than Spotify, and in most cases will provide the user with much more functionality.","The strength of smartphones like iPhone and Android often surpasses that of music streaming services like Spotify, providing users with greater functionality in most cases."
96,זה לא סוד - שיתוף ומוכנות הארגון |,This is no secret - the organization's sharing and readiness.,This organization's collaboration and preparedness is no secret.
105,הסקרנות מקדמת |,Curiosity promotes.,Curiosity furthers progress.
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at around one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","The economic cost of not closing the coal-fired power plants by the June 2022 deadline is estimated at around 1 billion shekels for 2022, according to a report by the Knesset Research and Information Center."
