index,original,translated,linguistic_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,"According to the report, fewer than 20 cheetahs were documented in the last period in seven different districts in the country.","MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Missing period at the end of the sentence."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I had an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""Israel"" should be capitalized."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""Car Thing"" should be capitalized consistently as ""Car Thing"" or ""car thing"".
[Minor]: [punctuation] - The period at the end of the sentence is missing."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email inbox - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The word ""Spotify"" should be capitalized.
[Minor]: punctuation - The comma after ""2018"" should be removed.
[Minor]: word order - The phrase ""an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car"" could be rearranged to improve the flow of the sentence."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is available to all users of the app, as like the mobile app, it emphasizes album photos and playlists.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""The"" in ""The home screen"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","You can use it to play songs, playlists, albums, and even search for podcasts.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of ""playlists"" should be capitalized to follow standard English capitalization rules.
[Minor]: [Punctuation] - The comma after ""albums"" should be replaced with ""and"" to properly connect the list items."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","The question is strengthened by the fact that iPhone and Android devices are much stronger than Spotify, and in most cases will provide the user with much more functionality.","MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is not natural and does not match the flow of the source text. The sentence structure should be rearranged to better reflect the original phrasing."
96,זה לא סוד - שיתוף ומוכנות הארגון |,This is no secret - the organization's sharing and readiness.,"MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The translation is missing a period at the end of the sentence."
105,הסקרנות מקדמת |,Curiosity promotes.,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation ""Curiosity promotes."" does not match the source text ""הסקרנות מקדמת |""."
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at around one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","MQM annotations:
linguistic conventions errors:
[minor]: punctuation - The translation is missing a period at the end of the sentence."
126,בכמה יתייקר התשלום על המשכנתא?,The payment on the mortgage will increase by how much?,"MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation ""The payment on the mortgage will increase by how much?"" does not match the natural flow of the source text ""בכמה יתייקר התשלום על המשכנתא?""."
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.","This, after for years the interest rate in the economy was close to zero.","MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - Missing period at the end of the sentence."
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,The average mortgage has increased by how much since the beginning of the year?,"MQM annotations:
linguistic conventions errors:
[Minor]: [grammar] - The translation uses the present perfect tense (""has increased"") instead of the past tense, which would be more natural in this context."
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,The variable interest rate track linked to the index (26.7% in this track) will complete an increase of approximately 120 shekels.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The translation is missing a period at the end of the sentence."
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,Regarding apartment buyers from a contractor - it is recommended to make advance payments to the contractor and take a mortgage now.,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The recommended order of the sentence should be ""Regarding apartment buyers from a contractor, it is recommended to take a mortgage now and make advance payments to the contractor."""
