index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,"According to the report, fewer than 20 cheetahs were documented in the last period in seven different districts in the country.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""20"" should be formatted with a non-breaking space between the thousands separator, as per the locale conventions in English (e.g., ""fewer than 20 cheetahs"")."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I had an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel.","locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the target text ""09.02.2024"" does not match the format used in the source text ""09-02-2024"". The target text uses the European date format ""dd.mm.yyyy"" instead of the American format ""mm-dd-yyyy""."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system.","locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""two weeks"" should be formatted as ""2 weeks"" to match the locale conventions."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email inbox - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car.","locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the target text ""2018"" does not match the expected locale-specific format.
[Minor]: [MEASUREMENT FORMAT] - The measurement unit ""4G"" should be formatted as ""4G"" according to the locale conventions."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is available to all users of the app, as like the mobile app, it emphasizes album photos and playlists.","locale conventions:

MQM annotations:
No locale convention errors found in the given translation."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","You can use it to play songs, playlists, albums, and even search for podcasts.","locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The translation does not follow the standard Hebrew number format, which typically uses spaces to group digits (e.g., 1 234)."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","The question is strengthened by the fact that iPhone and Android devices are much stronger than Spotify, and in most cases will provide the user with much more functionality.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric values in the target text do not follow the standard formatting conventions for the target language. For example, the use of a period instead of a comma as the decimal separator."
96,זה לא סוד - שיתוף ומוכנות הארגון |,This is no secret - the organization's sharing and readiness.,"locale conventions:

MQM annotations:
No locale convention errors found."
105,הסקרנות מקדמת |,Curiosity promotes.,"locale conventions:

MQM annotations:
[Minor]: [WORD ORDER] - The translation does not follow the natural word order of the source text. The source text ""הסקרנות מקדמת"" translates to ""Curiosity promotes"", but the translation ""Curiosity promotes."" has a different word order."
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at around one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","locale conventions:

MQM annotations:
[Minor]: [currency format] - The currency symbol ""שקלים"" (shekels) should be placed before the numeric value, as per the Hebrew locale convention."
126,בכמה יתייקר התשלום על המשכנתא?,The payment on the mortgage will increase by how much?,"locale conventions:

MQM annotations:
[Major]: [currency format] - The payment on the mortgage will increase by how much? The currency format in the target text does not match the locale-specific requirements."
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.","This, after for years the interest rate in the economy was close to zero.","locale conventions:

MQM annotations:
[Minor]: [number format] - The decimal separator in the target text is a comma instead of a period, which is the standard format in English."
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,The average mortgage has increased by how much since the beginning of the year?,"locale conventions:

MQM annotations:
[Major]: [CURRENCY FORMAT] - The translation does not follow the locale-specific currency format. In Hebrew, the currency symbol (₪) should be placed before the numeric value."
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,The variable interest rate track linked to the index (26.7% in this track) will complete an increase of approximately 120 shekels.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""120"" should be formatted with a space or comma separator according to Hebrew locale conventions."
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,Regarding apartment buyers from a contractor - it is recommended to make advance payments to the contractor and take a mortgage now.,"locale conventions:

MQM annotations:
Minor: currency format - The translation does not follow the locale-specific currency format. In English, the currency symbol ($) should be placed before the numeric value."
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Also, starting from August 10, an additional reduction of half a shekel will be set, so that only from that date the price of a liter of gasoline will decrease by one shekel, and this until November 15, 2022.","locale conventions:

MQM annotations:
[Minor]: [currency format] - The currency symbol ""שקל"" (shekel) should be placed before the numeric value according to the Hebrew locale convention.
[Minor]: [date/time format] - The date format ""15 בנובמבר 2022"" (15 in November 2022) should be written as ""15 בנובמבר, 2022"" to match the Hebrew locale convention."
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - as it affects both household expenses and business expenses, the prices of public transportation and flights, transportation costs, and more.","locale conventions:

MQM annotations:
[Minor]: [CURRENCY FORMAT] - The currency symbol (₪) should be placed before the numeric value according to the Hebrew locale convention.
[Minor]: [NUMBER FORMAT] - The thousands separator (,) is missing in the numeric values."
178,אשדוד היא העיר הידידותית ביותר לעסקים קטנים ובינוניים.,Ashdod is the most business-friendly city for small and medium-sized enterprises.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not match the standard format used in English. The city name ""Ashdod"" should be followed by a comma."
