index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,"According to the report, fewer than 20 cheetahs were documented in the last period in seven different districts in the country.","MQM annotations:
Style Errors:
[minor]: [unnatural flow] - The translation reads a bit awkwardly and lacks the natural flow expected in English. A more idiomatic phrasing could be used.

The translation is generally accurate and reads well, with only a minor style issue related to the flow of the text. The overall meaning is clear and conveys the key information from the source."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I had an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel.","MQM annotations:
Style Errors:
[minor]: [unnatural flow] - The translation reads a bit too literally and lacks the natural flow expected in the target language. For example, the phrase ""זמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל"" could be translated more naturally as ""currently available only to a few testers in the US, and now here in Israel""."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system.","MQM annotations:
Style Errors:
[major]: [unnatural flow] - The translation ""After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system"" sounds a bit awkward and unnatural compared to the source text. A more natural-sounding translation would be preferable."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email inbox - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car.","MQM annotations:
Style Errors:
[major]: UNNATURAL FLOW - The translation ""an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car"" sounds too literal and lacks the natural flow expected in English. A more natural expression would be something like ""an option to purchase a new voice-controlled, 4G-connected device that can turn any old system into a smart car.""
[minor]: REGISTER - The use of the phrase ""began receiving an interesting offer"" is slightly more formal than the source text, which uses the more casual ""החלו לקבל"". A more natural register would be ""started receiving an interesting offer."""
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is available to all users of the app, as like the mobile app, it emphasizes album photos and playlists.","MQM annotations:
Style Errors
[minor]: [unnatural flow] - The translation reads a bit too literally, lacking the natural flow expected in English. For example, ""the home screen is available to all users of the app"" could be phrased more naturally as ""the home screen is accessible to all app users"".
[minor]: [register] - The translation uses a slightly formal register (""available to all users"") when a more casual tone may be more appropriate for this type of app description."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","You can use it to play songs, playlists, albums, and even search for podcasts.","MQM annotations:
Style Errors:
minor: unnatural flow - The translation reads a bit awkwardly, lacking the natural flow expected in English. For example, ""באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים."" could be translated more naturally as ""You can use it to play songs, playlists, albums, and even search for podcasts."""
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","The question is strengthened by the fact that iPhone and Android devices are much stronger than Spotify, and in most cases will provide the user with much more functionality.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, ""iPhone and Android devices are much stronger than Spotify"" could be expressed in a more natural way.
[minor]: [REGISTER] - The overall tone of the translation is slightly more formal than the source text, which has a more conversational style."
96,זה לא סוד - שיתוף ומוכנות הארגון |,This is no secret - the organization's sharing and readiness.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
105,הסקרנות מקדמת |,Curiosity promotes.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""Curiosity promotes"" reads too literally and lacks the natural flow expected in English. A more idiomatic translation would be ""Curiosity promotes [something]"" or ""Curiosity is a driving force."""
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at around one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation reads a bit too literally, lacking the natural flow expected in the target language."
