index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,"According to the report, fewer than 20 cheetahs were documented in the last period in seven different districts in the country.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""ברדלסים"" (cheetahs) in the source text is not correctly translated as ""cheetahs"" in the target text. The target text uses the term ""ברדלסים"" instead."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I had an initial opportunity to try the new product, which is currently available only to a few testers in the US, here in Israel.","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""נסיינים"" (testers) in the source text is not accurately translated as ""testers"" in the target text.
major: wrong term - The term ""המוצר החדש"" (the new product) is translated as ""the new product"" instead of using a more natural English equivalent term."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of playing around, I understood how the Car Thing can easily become an integral part of many people's system.","MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""Car Thing"" should be translated into the target language instead of using the English term."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Somewhere in 2018, Spotify users began receiving an interesting offer in their email inbox - an option to purchase a new device with voice control and 4G connectivity, which will turn any old system into a smart car.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""ספוטיפיי"" (Spotify) should have been translated as ""Spotify"" instead of ""ספוטיפיי"".
[major]: [TERM NOT APPLIED] - The term ""דור רביעי"" (4G) should have been translated as ""4G"" instead of ""דור רביעי"".
[minor]: [WRONG TERM] - The term ""רכב"" (vehicle) should have been translated as ""car"" instead of ""system""."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is available to all users of the app, as like the mobile app, it emphasizes album photos and playlists.","MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The term ""מסך הבית"" (home screen) is not translated accurately as ""the home screen"" in the target text.
[minor]: [TERM NOT APPLIED] - The term ""אפליקציה"" (app) is not translated accurately as ""the app"" in the target text."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","You can use it to play songs, playlists, albums, and even search for podcasts.","MQM annotations:
Terminology Errors:
[minor]: [term not applied] - The term ""songs"" should be translated as ""שירים"" in the source language.
[minor]: [term not applied] - The term ""playlists"" should be translated as ""פלייליסטים"" in the source language.
[minor]: [term not applied] - The term ""albums"" should be translated as ""אלבומים"" in the source language.
[minor]: [term not applied] - The term ""podcasts"" should be translated as ""פודקאסטים"" in the source language."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","The question is strengthened by the fact that iPhone and Android devices are much stronger than Spotify, and in most cases will provide the user with much more functionality.","MQM annotations:
Terminology Errors:
major: WRONG TERM - The glossary term ""iPhone and Android devices"" does not fit the context, as it should be translated as ""מכשירי אייפון ואנדרואיד"" (iPhone and Android devices) in Hebrew.
major: WRONG TERM - The glossary term ""Spotify"" does not fit the context, as it should be translated as ""ספוטיפיי"" (Spotify) in Hebrew."
96,זה לא סוד - שיתוף ומוכנות הארגון |,This is no secret - the organization's sharing and readiness.,"MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The glossary term ""organization's"" is not applied in the translation. The translation should use a term that better reflects the meaning of the source text."
105,הסקרנות מקדמת |,Curiosity promotes.,"MQM annotations:
Terminology Errors:
major: term not applied - The glossary term ""promotes"" is not correctly applied in the translation. The translation ""Curiosity promotes"" does not accurately convey the meaning of the source text ""הסקרנות מקדמת""."
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal-fired power stations by the date set in June 2022 is estimated at around one billion shekels for the year 2022, as revealed in a report by the Knesset Research and Information Center.","MQM annotations:
Terminology Errors:
minor: term not applied - The term ""coal-fired power stations"" should have been translated as ""תחנות הכוח הפחמיות"" instead of ""התחנות הפחמיות"".
minor: wrong term - The term ""שקלים"" should have been translated as ""shekels"" instead of ""shekels""."
