index,original,translated,accuracy_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different districts in the country in recent times.,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/mistranslation - The translation of ""ברדלסים"" as ""cheetahs"" is incorrect. The correct translation should be ""Asiatic cheetahs"" to accurately reflect the specific type of cheetah being referred to in the source text.
```"
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I got an initial opportunity to try the new product, which is currently available only to a few testers in the U.S., here in Israel.","```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The phrase ""here in Israel"" is incorrect as it implies the product is available in Israel, whereas the source text indicates the product is only available to testers in the U.S.
[Major]: accuracy/omission - The translation omits the context that the opportunity to try the product was received in Israel, which is crucial to understanding the sentence.
[Minor]: accuracy/addition - None
```"
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of experimenting, I realized how the Car Thing can easily become an integral part of many people's systems.","```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The phrase ""השתעשעות"" is mistranslated as ""experimenting"" instead of ""playing around"" or ""amusement,"" which changes the nuance of the activity described.
[Major]: accuracy/mistranslation - None
[Minor]: accuracy/addition - The word ""people's"" is an addition. The source text refers to ""the system of many,"" not specifically ""people's systems.""
```"
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The source text mentions ""לרכב"" (to a car), which is omitted in the translation. The translation should specify that the device is intended for car systems.
[Minor]: [accuracy/error_subcategory] - None
```"
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all app users, as like the smartphone application, it emphasizes album images and playlists.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""כמו היישום בסמארטפון"" is mistranslated as ""like the smartphone application,"" which should be ""as in the smartphone application"" to accurately convey the comparison intended in the source text.
[Minor]: [accuracy/error_subcategory] - None
```"
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","With it, you can play songs, playlists, albums, and even search for podcasts.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The source text ""באמצעותה"" (With it) is not fully captured in the translation, as the translation does not specify what ""it"" refers to, potentially leading to confusion.
[Minor]: [accuracy/error_subcategory] - None
```"
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time will offer the user much more functionality.","```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - ""Spotify's"" is mistranslated. The source text refers to the devices of Spotify, not Spotify itself.
[Major]: accuracy/mistranslation - The phrase ""most of the time will offer the user much more functionality"" does not fully capture the comparative nature implied in the source text, which suggests that iPhone and Android devices provide more functionality than Spotify's devices.
[Minor]: accuracy/addition - The phrase ""This question becomes more significant"" adds an emphasis not explicitly present in the source text, which simply states ""this question becomes stronger.""
```"
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - the organization's sharing and readiness.,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The translation ""the organization's sharing and readiness"" does not accurately convey the meaning of the source text ""שיתוף ומוכנות הארגון"". The correct translation should be ""the organization's collaboration and readiness.""
[Major]: accuracy/mistranslation - ""שיתוף"" is mistranslated as ""sharing"" instead of ""collaboration.""
[Minor]: accuracy/mistranslation - None
```"
105,הסקרנות מקדמת |,Curiosity advances |,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - ""advances"" does not fully capture the meaning of ""מקדמת,"" which can also mean ""promotes"" or ""encourages.""
[Minor]: [accuracy/error_subcategory] - None
```"
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated at about one billion shekels for the year 2022, as revealed by a report from the Knesset Research and Information Center.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - ""deadline set in June 2022"" should be ""deadline set for June 2022"" to accurately reflect the timing intended in the source text.
[Minor]: [accuracy/error_subcategory] - None
```"
