index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different districts in the country in recent times.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```

The translation provided does not contain any audience appropriateness errors. The content is culturally neutral and does not include any culture-specific references or inappropriate language variety that would be confusing or inappropriate for the intended English-speaking audience."
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I got an initial opportunity to try the new product, which is currently available only to a few testers in the U.S., here in Israel.","```
MQM annotations:
audience appropriateness error:
Major: Culture-specific Reference - The phrase ""here in Israel"" in the translation is confusing because it implies that the product is available in Israel, which contradicts the earlier statement that it is only available to testers in the U.S. This could lead to misunderstanding for an audience in Israel.
```"
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of experimenting, I realized how the Car Thing can easily become an integral part of many people's systems.","```
MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```

The translation provided does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for the intended English-speaking audience."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","```
MQM annotations:
audience appropriateness error:
Critical: None
Major: None
Minor: None
```

The translation provided does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for the intended target audience, and there are no unusual or inappropriate references that could cause confusion or a sense of non-belonging."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all app users, as like the smartphone application, it emphasizes album images and playlists.","```
MQM annotations:
audience appropriateness error:
[Critical]: None
[Major]: None
[Minor]: None
```"
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","With it, you can play songs, playlists, albums, and even search for podcasts.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time will offer the user much more functionality.","```
MQM annotations:
audience appropriateness error:
[Major]: [Culture-specific Reference] - The translation refers to ""Spotify's"" devices, which may confuse the target audience as Spotify is a software platform, not a hardware device. This disrupts the intended cultural tone and may confuse the target audience.
```"
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - the organization's sharing and readiness.,"```
MQM annotations:
audience appropriateness error:
[Minor]: [culture-specific reference] - The phrase ""It's no secret"" may not resonate culturally with all English-speaking audiences as it does in Hebrew, where it may imply a more specific cultural context or understanding.
```"
105,הסקרנות מקדמת |,Curiosity advances |,"```
MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""Curiosity advances"" might be interpreted differently in various cultural contexts. In some cultures, the concept of curiosity driving advancement may not be as commonly recognized or valued, potentially leading to a subtle disconnect with the audience.
```"
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated at about one billion shekels for the year 2022, as revealed by a report from the Knesset Research and Information Center.","```
MQM annotations:
audience appropriateness error:
[Critical]: None
[Major]: None
[Minor]: None
```

The translation provided does not contain any audience appropriateness errors. The translation effectively communicates the intended message without introducing any cultural or linguistic issues that would be inappropriate or confusing for the target audience."
126,בכמה יתייקר התשלום על המשכנתא?,How much will the mortgage payment increase?,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.","This, after years during which the interest rate in the economy was close to zero.","```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The phrase ""the interest rate in the economy"" might be more commonly expressed as ""interest rates"" in English, as the singular form can sound slightly awkward or less idiomatic to an English-speaking audience.
```"
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,"""By how much has the average mortgage increased since the beginning of the year?""","```
MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```

The translation ""By how much has the average mortgage increased since the beginning of the year?"" is appropriate for the target audience and does not contain any culture-specific references or wrong language variety issues."
