index,original,zero_shot_translation,improved_translation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been recorded in the last period across seven different provinces in the country.,It was also noted that fewer than 20 cheetahs have been recorded recently across seven different provinces in the country.
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I received an initial opportunity to try the new product, which is currently available only to a few testers in the USA, here in Israel.","A few weeks ago, I received an initial opportunity to try the new product, which is currently available only to a few testers in the USA."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of experimenting, I realized how the Car Thing could easily become an integral part of many people's systems.",After two weeks of playing around I realized how the Car Thing could easily become an integral part of many people's lives.
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inboxes - the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","In 2018, Spotify users began receiving an interesting offer in their email inboxes: the option to purchase a new device with voice control and 4G connectivity that would turn any old car system into a smart one."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all app users, as it, like the smartphone application, emphasizes album images and playlists.","The home screen is familiar to all app users as, like the smartphone application, it emphasizes album images and playlists."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","With it, you can play songs, playlists, albums, and even search for podcasts.","By using it, you can play songs, playlists, albums and even search for podcasts."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time will offer the user much more functionality.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's app, and will often offer the user much more functionality."
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - organizational sharing and readiness |,It's well-known: sharing and preparedness within the organization.
105,הסקרנות מקדמת |,Curiosity advances |,Curiosity promotes progress.
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated to be around one billion shekels for the year 2022, according to a report by the Knesset's Research and Information Center.","The economic cost of not closing the coal stations by the June 2022 deadline is estimated to be around ₪1 billion for the year 2022, according to a report by the Knesset's Research and Information Center."
126,בכמה יתייקר התשלום על המשכנתא?,"""By how much will the mortgage payment increase?""","""How much more expensive will the mortgage payment become?"""
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.","This, after interest rates in the economy were close to zero for years.",This follows years during which interest rates in the economy were close to zero.
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,By how much has the average mortgage increased since the beginning of the year?,How much has the average mortgage become more expensive since the beginning of the year?
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,The variable interest rate track linked to the index (26.7% in this track) will result in an increase of approximately 120 shekels.,The variable interest rate track linked to the consumer price index (26.7% in this track) will complete an increase of about ₪120.
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,"Regarding homebuyers purchasing from a contractor, Tzror recommends advancing payments to the contractor and taking out a mortgage now.","Regarding homebuyers purchasing from a contractor, Tzror recommends making payments to the contractor in advance and taking out a mortgage now."
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Additionally, starting from August 10, there will be a further reduction of half a shekel, so that only from this date will the price of a liter of gasoline decrease by one shekel, and this will last until November 15, 2022.","Additionally, starting from 10 August, there will be a further reduction of half a shekel, so that the price of a liter of gasoline will decrease by one shekel from this date, and this will last until 15 November 2022."
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - because it affects both household expenses and business expenses, public transportation and flight prices, transportation costs, and more.","The price of fuel has a dramatic impact on the cost of living in the economic system, because it affects both household expenses and business expenses, public transportation and flight prices, and transportation costs."
178,אשדוד היא העיר הידידותית ביותר לעסקים קטנים ובינוניים.,Ashdod is the most business-friendly city for small and medium-sized enterprises.,Ashdod is the friendliest city for small and medium-sized businesses.
181,"אחריהן ממוקמות לפי הסדר: אשקלון, ראשון לציון, תל אביב־יפו, חיפה, רמת גן, חולון, באר שבע, ירושלים, בת ים, נתניה ובני ברק.","After them, in order, are: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Be'er Sheva, Jerusalem, Bat Yam, Netanya, and Bnei Brak.","Following them in order are: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Be'er Sheva, Jerusalem, Bat Yam, Netanya and Bnei Brak."
182,הסוכנות עורכת את מדד הרשויות המקומיות.,The agency compiles the local authorities index.,The agency conducts an index of local authorities.
