index,original,translated,linguistic_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different districts in the country in recent times.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""country"" is missing, which would improve the readability of the sentence.
```"
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I got an initial opportunity to try the new product, which is currently available only to a few testers in the U.S., here in Israel.","```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma before ""here in Israel"" is unnecessary and disrupts the flow of the sentence.
```"
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of experimenting, I realized how the Car Thing can easily become an integral part of many people's systems.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""experimenting"" is unnecessary and disrupts the flow of the sentence.
```"
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The hyphen in ""4G connectivity"" should be replaced with a space for consistency with standard English usage.
```"
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all app users, as like the smartphone application, it emphasizes album images and playlists.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""app users"" is unnecessary and disrupts the flow of the sentence.
```"
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","With it, you can play songs, playlists, albums, and even search for podcasts.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""and even search for podcasts"" is not necessary in English and can be removed for better flow.
```"
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time will offer the user much more functionality.","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The comma before ""and most of the time"" is unnecessary and disrupts the flow of the sentence.
```"
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - the organization's sharing and readiness.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The hyphen should be replaced with an em dash for proper punctuation in English.
```"
105,הסקרנות מקדמת |,Curiosity advances |,"```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The translation is missing a period at the end of the sentence.
```"
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated at about one billion shekels for the year 2022, as revealed by a report from the Knesset Research and Information Center.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""2022"" is unnecessary and disrupts the flow of the sentence.
```"
126,בכמה יתייקר התשלום על המשכנתא?,How much will the mortgage payment increase?,"```
MQM annotations:
linguistic conventions errors:
Minor: Punctuation - The sentence is missing a question mark at the end, which is necessary for a question.
```"
132,"זאת, לאחר שבמשך שנים הריבית במשק היתה קרובה לאפס.","This, after years during which the interest rate in the economy was close to zero.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence should end with a period for proper punctuation.
```"
137,בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?,"""By how much has the average mortgage increased since the beginning of the year?""","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence should end with a question mark instead of a period to match the interrogative nature of the source text.
```"
142,מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.,The variable interest rate track linked to the index (26.7% in this track) will complete an increase of approximately 120 shekels.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""approximately 120 shekels"" is missing, which would improve readability and flow.
```"
150,לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.,Regarding apartment buyers from a contractor - Tzor recommends advancing payments to the contractor and taking a mortgage now.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - Missing comma after ""contractor"" for better readability.
```"
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Additionally, starting from August 10, there will be a further reduction of another half shekel, so that only from this date the price of a liter of gasoline will decrease by one shekel, and this will be until November 15, 2022.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""and this will be until November 15, 2022"" is unnecessary and disrupts the flow of the sentence.
```"
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - because it affects both household and business expenses, public transportation and flight prices, transportation costs, and more.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The use of a hyphen instead of a comma after ""economy"" is incorrect. A comma would be more appropriate to separate the clauses.
```"
178,אשדוד היא העיר הידידותית ביותר לעסקים קטנים ובינוניים.,Ashdod is the most business-friendly city for small and medium-sized enterprises.,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence is missing a period at the end.
```"
181,"אחריהן ממוקמות לפי הסדר: אשקלון, ראשון לציון, תל אביב־יפו, חיפה, רמת גן, חולון, באר שבע, ירושלים, בת ים, נתניה ובני ברק.","After them, in order: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Be'er Sheva, Jerusalem, Bat Yam, Netanya, and Bnei Brak.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The use of the en dash in ""Tel Aviv-Yafo"" is incorrect; it should be a hyphen.
```"
182,הסוכנות עורכת את מדד הרשויות המקומיות.,The agency compiles the local authorities index.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""agency"" should be capitalized as it appears to be a proper noun in this context.
```"
198,"פיתוח העסקים הקטנים הוא אינטרס ציבורי של כולנו, אולם לרשות המקומית יש השפעה ישירה על העסקים שנמצאים בה.","The development of small businesses is a public interest for all of us, but the local authority has a direct impact on the businesses located within it.","```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma before ""but"" is unnecessary in English grammar.
```"
199,"הקורונה הדגישה את חשיבותו של השלטון המקומי וראינו כי רשויות שפעלו ועודדו את קידום העסקים הקטנים ומצאו פתרונות יצירתיים עבורם, הפכו לממשק השלטוני הראשון עבורם"".","The coronavirus emphasized the importance of local government, and we saw that authorities that acted and encouraged the promotion of small businesses and found creative solutions for them became the primary governmental interface for them.","```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma after ""small businesses"" is unnecessary and disrupts the flow of the sentence.
```"
