index,original,translated,locale_convention_annotation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different districts in the country in recent times.,"```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""in recent times"" could be more naturally expressed as ""recently"" for better flow.
```"
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I got an initial opportunity to try the new product, which is currently available only to a few testers in the U.S., here in Israel.","```
MQM annotations:
Style Errors:
minor: unnatural_flow - The phrase ""here in Israel"" at the end of the sentence creates an awkward flow. It would be more natural to say ""A few weeks ago, here in Israel, I got an initial opportunity to try the new product, which is currently available only to a few testers in the U.S.""
```"
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of experimenting, I realized how the Car Thing can easily become an integral part of many people's systems.","```
MQM annotations:
Styles error:
Minor: UNNATURAL FLOW - The phrase ""become an integral part of many people's systems"" reads awkwardly and could be more naturally expressed as ""become an integral part of the systems of many people.""
```"
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","```
MQM annotations:
Style Errors
minor: unnatural_flow - The phrase ""Sometime in 2018"" could be more naturally expressed as ""In 2018"" or ""Around 2018"" for better flow.
```"
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all app users, as like the smartphone application, it emphasizes album images and playlists.","```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""as like the smartphone application"" is awkward and could be more naturally expressed as ""similar to the smartphone application.""
```"
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","With it, you can play songs, playlists, albums, and even search for podcasts.","```
MQM annotations:
Styles error:
[minor]: [unnatural_flow] - The phrase ""With it, you can play songs, playlists, albums, and even search for podcasts"" could be more naturally expressed in English as ""You can use it to play songs, playlists, albums, and even search for podcasts.""
```"
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time will offer the user much more functionality.","```
MQM annotations:
Styles error:
[minor]: [unnatural_flow] - The phrase ""most of the time will offer the user much more functionality"" is awkward and could be rephrased for better flow, such as ""and most of the time, they offer users much more functionality.""
```"
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - the organization's sharing and readiness.,"```
MQM annotations:
Styles error:
Minor: UNNATURAL FLOW - The phrase ""the organization's sharing and readiness"" reads awkwardly and could be rephrased for better flow, such as ""the organization's readiness and willingness to share.""
```"
105,הסקרנות מקדמת |,Curiosity advances |,"```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""Curiosity advances"" sounds slightly awkward and could be more naturally expressed as ""Curiosity drives progress"" or ""Curiosity leads the way.""
```"
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated at about one billion shekels for the year 2022, as revealed by a report from the Knesset Research and Information Center.","```
MQM annotations:
Style Errors:
[minor]: [unnatural_flow] - The phrase ""as revealed by a report"" could be more naturally expressed as ""according to a report"" for better flow.
```"
