index,original,zero_shot_translation,reference_translation
8,עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.,It was also noted that fewer than 20 cheetahs have been documented in seven different districts in the country in recent times.,It was also noted that less than 20 cheetahs were recorded in the last period in seven different districts of the country.
21,"לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה""ב, כאן בישראל.","A few weeks ago, I got an initial opportunity to try the new product, which is currently available only to a few testers in the U.S., here in Israel.","A few weeks ago, I got an preliminary opportunity to try out the new product here in Israel, which is currently only available to individual testers in the US."
23,"אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.","After two weeks of experimenting, I realized how the Car Thing can easily become an integral part of many people's systems.","After two weeks of trying it, I came to understand how Car Thing could easily become an integral part of many people’s systems."
26,"אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.","Sometime in 2018, Spotify users began receiving an interesting offer in their email inbox - the option to purchase a new device with voice control and 4G connectivity, which would turn any old car system into a smart one.","Somewhere in 2018, Spotify users began to receive an interesting offer in their email inbox—an opportunity to purchase a new device with voice control and 4th generation connectivity, which will make any old car system smart."
56,"מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.","The home screen is familiar to all app users, as like the smartphone application, it emphasizes album images and playlists.","The home screen is familiar to all users of the application, since like the smartphone application, it emphasizes the album images and playlists."
60,"באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.","With it, you can play songs, playlists, albums, and even search for podcasts.","Using it, you can play songs, playlists, albums and even search for podcasts."
72,"השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.","This question becomes more significant when considering that iPhone and Android devices are much more powerful than Spotify's, and most of the time will offer the user much more functionality.","This question gets crucial when considering that iPhone and Android devices are much more powerful than Spotify’s device, and in most cases will supply the user with much more functionality."
96,זה לא סוד - שיתוף ומוכנות הארגון |,It's no secret - the organization's sharing and readiness.,It’s not a secret—sharing and organization’s readiness |
105,הסקרנות מקדמת |,Curiosity advances |,Curiosity promotes |
114,"העלות הכלכלית בגין אי־סגירת התחנות הפחמיות במועד שנקבע ביוני 2022 מוערכת בכמיליארד שקלים עבור שנת 2022, כך חושף דו""ח של מרכז המחקר והמידע של הכנסת.","The economic cost of not closing the coal stations by the deadline set in June 2022 is estimated at about one billion shekels for the year 2022, as revealed by a report from the Knesset Research and Information Center.","The economic cost of not closing the coal-based power stations by the date set in June 2022 is estimated at about one billion NIS for the year 2022, according to a report by the Knesset’s Research and Information Center."
