index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Club Tourism for subsidized tours and prefectural resident discount travel!,"MQM annotations:
minor: culture-specific reference/unexplained term - ""Prefectural resident discount travel"" might need more context or explanation for non-Japanese audiences to understand its significance and availability. While not a critical error, it could benefit from clarification."
2,各都道府県毎の助成を活用したツアーをご紹介。,Introducing tours that utilize subsidies from each prefecture.,"MQM annotations:
minor: culture-specific reference/unclear reference - The concept of ""subsidies from each prefecture"" may not be universally understood or relevant without additional context about the Japanese administrative and tourism system. While not critically misleading, it could be made more accessible to a broader audience."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,Pharmacist Job Change Sites Comparison Table - Recommended Introduction with a List Comparison Table,"MQM annotations:
minor: style/awkward - The phrase ""List Comparison Table"" is redundant as ""Comparison Table"" already implies a list."
7,《2022年最新版》薬剤師転職サイトランキング。,(2022 Latest Edition) Pharmacist Job Change/転職 Site Ranking.,"MQM annotations:
minor: style/readability - ""Job Change/転職 Site Ranking"" is somewhat awkward and could be improved for better flow in English. While ""転職"" is a Japanese word, it's directly transliterated and not inherently inappropriate, but the mix of English and Japanese is stylistically not ideal. A more natural phrase would be simply ""Job Site Ranking""."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing taxes, which can be anxieties for first-time freelancers.","MQM annotations:
audience appropriateness error: no-error"
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix hair removal salon introduction site - Top 5 in booking ranking,"MQM annotations:
audience appropriateness error:
minor: style/awkward - While technically accurate, the translation ""Lumix hair removal salon introduction site"" sounds slightly awkward in English. A more natural phrasing might be ""Site introducing Lumix hair removal salons"". This is a very minor issue of stylistic preference."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"LUMIX hair removal salon reservation site using the fast, short-term, painless, and not-hot SHR method.","MQM annotations:
minor: style/awkward - The phrase ""not-hot"" sounds unnatural and could be rephrased for better audience reception."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics from ¥1,760 per month - [Official] Wismile Orthodontics","MQM annotations:
minor: culture-specific reference/unfamiliar unit - While the translation accurately conveys the cost of orthodontics per month, the average English-speaking audience may not be familiar with the Japanese Yen (¥) symbol. While not incorrect, it might be beneficial to include ""JPY"" or ""Yen"" for clarity, especially if targeting a global audience."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,Starting from ¥1760 - Wismile Orthodontics if you're looking to start at a low price.,"MQM annotations:
minor: culture-specific reference/unfamiliar units - While the translation is accurate, it assumes the target audience is familiar with the Japanese Yen (¥). It might be more appropriate to include a currency conversion or a more general term like ""a low price"" without the specific amount, depending on the target audience."
23,1650円のお試しコース受付中。,Trial course available for 1650 yen.,"MQM annotations:
critical: no-error
major: no-error
minor: no-error"
