index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Club Tourism for subsidized tours and prefectural resident discount travel!,"MQM annotations:
Minor: Unnatural Flow - The phrase ""prefectural resident discount travel"" sounds a bit unnatural in English. A more common phrasing might be ""travel discounts for residents of the prefecture."""
2,各都道府県毎の助成を活用したツアーをご紹介。,Introducing tours that utilize subsidies from each prefecture.,"MQM annotations:
minor: style/Unnatural Flow - The phrase ""Introducing tours that utilize subsidies from each prefecture"" is grammatically correct but sounds slightly unnatural. A more fluent phrasing might be ""Introducing tours using subsidies from prefectures"" or ""Discover tours benefiting from prefectural subsidies."""
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,Pharmacist Job Change Sites Comparison Table - Recommended Introduction with a List Comparison Table,"MQM annotations:
minor: style/Unnatural Flow - The phrase ""Recommended Introduction with a List Comparison Table"" sounds slightly unnatural and could be rephrased for better flow."
7,《2022年最新版》薬剤師転職サイトランキング。,(2022 Latest Edition) Pharmacist Job Change/転職 Site Ranking.,"```
MQM annotations:
Minor: Style/Unnatural Flow - The phrase ""Job Change/転職 Site Ranking"" sounds slightly awkward and unnatural in English. A more natural phrasing might be ""Job Search Site Ranking"" or ""Career Site Ranking"".

```"
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing taxes, which can be anxieties for first-time freelancers.","MQM annotations:
minor: style/unnatural flow - The phrase ""which can be anxieties"" sounds a bit awkward and could be rephrased for a more natural flow. A more direct phrasing might improve the sentence."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix hair removal salon introduction site - Top 5 in booking ranking,"MQM annotations:
minor: style/unnatural flow - ""Lumix hair removal salon introduction site"" sounds a bit awkward. A more natural phrasing might be ""Website for Lumix hair removal salons"" or similar."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"LUMIX hair removal salon reservation site using the fast, short-term, painless, and not-hot SHR method.","MQM annotations:
Style Errors:
minor: Unnatural Flow - The phrasing ""fast, short-term, painless, and not-hot"" is a bit awkward in English and could be rephrased for better flow. For example: ""fast, painless, and gentle SHR method""."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics from ¥1,760 per month - [Official] Wismile Orthodontics","MQM annotations:
Minor: Style/Unnatural Flow - ""Orthodontics from ¥1,760 per month"" sounds a bit awkward. A more natural phrasing might be ""Orthodontic treatment from just ¥1,760 per month"" or ""Affordable orthodontics: From ¥1,760 per month""."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,Starting from ¥1760 - Wismile Orthodontics if you're looking to start at a low price.,"MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""Wismile Orthodontics if you're looking to start at a low price"" is grammatically correct but sounds slightly unnatural. A more fluent phrasing might be better."
23,1650円のお試しコース受付中。,Trial course available for 1650 yen.,"```
MQM annotations:
Minor: style/Unnatural Flow - The phrase ""Trial course available"" is grammatically correct but sounds slightly unnatural. A more natural phrasing might be ""Try our course for 1650 yen"" or ""We're offering a trial course for 1650 yen.""

```"
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,24-hour online booking available. Affordable aligner treatment. No adjustment fees.,"MQM annotations:
Minor: Style/Unnatural Flow - While the translation is accurate, the phrase ""Affordable aligner treatment"" sounds slightly awkward. A more natural phrasing could be ""Affordable clear aligners"" or ""Inexpensive aligner treatment"" depending on the exact nuance intended.
```"
29,不動産のことなら連合隊 - 北見不動産連合隊,"For real estate matters, it's Rengoutai - Kitami Real Estate Rengoutai.","MQM annotations:
minor: style/unnatural flow - The phrase ""For real estate matters, it's Rengoutai"" is somewhat awkward and could be more naturally phrased. A smoother flow would be ""If you're looking for real estate, Rengoutai is the place to go"".
minor: style/repetition - The repetition of ""Rengoutai"" (""Kitami Real Estate Rengoutai"") makes it sound slightly redundant, and could be more concise."
31,賃貸アパート、マンション、一戸建て。,"Rental apartments, condominiums, and detached houses.","```
MQM annotations:
```"
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,Locally focused - Up to 30 photos - Free property valuation available.,"MQM annotations:
minor: style/Unnatural Flow - The phrase ""Locally focused"" could be phrased more naturally, e.g., ""Local experts"" or ""We focus on the local area"".
minor: style/Unnatural Flow - ""Up to 30 photos"" is grammatically correct but sounds a bit clunky. A more natural phrase might be ""See up to 30 photos"" or ""With up to 30 photos"".
```"
36,お急ぎ便が使い放題。,Unlimited access to express delivery.,"```
MQM annotations:
Style Errors:
minor: style/unnatural flow - While accurate, ""Unlimited access to express delivery"" sounds slightly unnatural. A more common phrasing might be ""Free express delivery"" or ""Unlimited free express delivery.""
```"
