index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Club Tourism for subsidized tours and prefectural resident discount travel!,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""prefectural resident discount"" should be ""prefectural resident discount program"" to align with the glossary entry.
```"
2,各都道府県毎の助成を活用したツアーをご紹介。,Introducing tours that utilize subsidies from each prefecture.,"```
MQM annotations
Terminology errors:
minor: WRONG TERM - The term ""prefecture"" should be plural, as in ""prefectures"".
```"
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,Pharmacist Job Change Sites Comparison Table - Recommended Introduction with a List Comparison Table,"```
MQM annotations
Terminology errors:
minor: WRONG TERM - ""Pharmacist Job Change Sites"" should be ""Pharmacist Job Search Sites"" to align with the glossary entry.
```"
7,《2022年最新版》薬剤師転職サイトランキング。,(2022 Latest Edition) Pharmacist Job Change/転職 Site Ranking.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Job Change"" should be ""job-change""."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing taxes, which can be anxieties for first-time freelancers.","MQM annotations:
Terminology errors:
minor: WRONG TERM - ""attracting clients"" is a possible translation of 集客, but ""client acquisition"" would be a more appropriate and professional term in this context.
minor: WRONG TERM - While ""filing taxes"" is understandable, ""tax filing"" is the more standard term.
```"
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix hair removal salon introduction site - Top 5 in booking ranking,"MQM annotations
Terminology errors:
minor: WRONG TERM/ Wrong Term - ""hair removal"" is acceptable, but ""hair removal salon"" is slightly awkward in this context. A more natural phrasing would be ""hair removal clinic"". However, since the original doesn't specify clinic, and salon is acceptable.
```"
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"LUMIX hair removal salon reservation site using the fast, short-term, painless, and not-hot SHR method.","```
MQM annotations
Terminology errors:
minor: WRONG TERM - ""hair removal"" should be ""hair removal"". The term is not correctly capitalized.
```"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics from ¥1,760 per month - [Official] Wismile Orthodontics","MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Orthodontics"" is a broader term. While not strictly incorrect, ""dental alignment"" or ""teeth straightening"" might be more accurate in this context, especially considering the casual tone of the advertisement.
```"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,Starting from ¥1760 - Wismile Orthodontics if you're looking to start at a low price.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - The capitalization of ""Wismile Orthodontics"" may not be correct in this context. It should be ""Wismile orthodontics"" since it is used in a sentence.
```"
23,1650円のお試しコース受付中。,Trial course available for 1650 yen.,"```
MQM annotations:
```"
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,24-hour online booking available. Affordable aligner treatment. No adjustment fees.,"```
MQM annotations:
```"
29,不動産のことなら連合隊 - 北見不動産連合隊,"For real estate matters, it's Rengoutai - Kitami Real Estate Rengoutai.","MQM annotations:
Terminology errors:
minor: WRONG TERM/capitalization - ""Kitami Real Estate Rengoutai"" should likely be ""Kitami Real Estate Rengoutai"" to be consistent. While ""Rengoutai"" is capitalized, the context suggests it might be part of the proper name, and the whole expression should have the same style, so consistency would require it to be capitalized as well."
31,賃貸アパート、マンション、一戸建て。,"Rental apartments, condominiums, and detached houses.","```
MQM annotations:
```"
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,Locally focused - Up to 30 photos - Free property valuation available.,"```
MQM annotations
Terminology errors:
minor: WRONG TERM/ Wrong Term - ""property valuation"" is a valid translation of ""物件査定"", but ""property valuation"" sounds more natural and is used more often than ""property assessment"" in this context.
```"
36,お急ぎ便が使い放題。,Unlimited access to express delivery.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""express delivery"" is a valid translation of ""お急ぎ便"", but ""使い放題"" means ""unlimited use"" or ""all you can use."" The term should be ""unlimited use of express delivery"" or similar to reflect ""使い放題""."
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Earn points, has a smartphone app, and offers hundreds of millions of products.","```
MQM annotations:
```"
45,あの人気漫画を今こそ一気読み。,Now is the perfect time to binge-read that popular manga.,"```
MQM annotations:
```"
46,全作品試し読みアリ・買うよりお得。,Try before you buy with full previews - more value than buying!,"```
MQM annotations:
```"
50,クチコミ情報も満載です。,It's packed with word-of-mouth information.,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""word-of-mouth information"" should be ""word of mouth"" or ""word-of-mouth"" but not ""word-of-mouth information."" It is a bit redundant."
51,タイムセールや限定プランも。,"Also, time-limited sales and exclusive plans.","```
MQM annotations:
```"
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy booking from home, extensive selection of business hotels, wide variety of plans, earn points with membership registration.","```
MQM annotations:
```"
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal blocks (feed-through) available for purchase at this price on MonotaRO online store.,"```
MQM annotations
Terminology errors:
minor: WRONG TERM - ""Terminal blocks (feed-through)"" should be ""Feed-through terminal blocks"" to be in line with the glossary.
```"
56,端子台 貫通の通販。,"Terminal block, feed-through type, online shopping.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""feed-through type"" should be more specific like ""through terminal block"" or ""feed-through terminal block"".
```"
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Budget Hotels near Kii-Gobo Station - [Jalan] Official Website,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Budget Hotels"" is a reasonable translation of ""格安ホテル"", but ""格安"" often implies something beyond just budget, such as a bargain or cheap, so a more precise translation might be ""Cheap Hotels"" or ""Discount Hotels"".
```"
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"If you're booking a hotel or ryokan near Kii-Gobo Station, use Jalan.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM/ Wrong Term - ""Jalan"" should be ""Jalan.net"" as specified in the glossary.
```"
63,じゃらん限定・格安プランも充実。,Jalan exclusive - Plenty of affordable plans available!,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Jalan"" is a proper noun and should not be translated.
```"
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Earn points with membership registration, many hotels offer same-day booking, and special coupons are available.","```
MQM annotations:
```"
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"Easy Input, Free Appraisal Request in 60 Seconds - If you want to check route values and land price market rates.","```
MQM annotations:
```"
66,マンション・土地・一戸建ての無料売却査定が可能。,"Free appraisal for selling your apartment, land, or detached house is available.","```
MQM annotations:
```"
67,エリアから価格相場の把握ができます。,You can get an idea of price ranges from the area.,"```
MQM annotations:
```"
68,不動産売却のお悩みはプロが解決！,Real estate sale troubles? Let a pro solve them!,"```
MQM annotations:
```"
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Sale of apartments, appraisal, proposal of optimal sales plan, and reliable support for sellers.","MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Sale of apartments"" should be ""Apartment sales"" for better flow and conciseness. The current translation is grammatically correct, but less idiomatic.
minor: WRONG TERM - ""reliable support"" should be ""worry-free support"". While ""reliable support"" is not incorrect, ""worry-free"" better captures the sense of ""安心サポート"" in the context of real estate transactions."
75,ダイキン エアコン お客様 センター見つけましょう。,Let's find the Daikin air conditioner customer center.,"```
MQM annotations:
```"
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Visiting Reservation Campaign in Progress - Urban Compact 3-Story Model House,"```
MQM annotations:
```"
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,"By fully utilizing IT tools, we reduce operational costs and achieve service provision at reasonable prices.","MQM annotations:
Terminology errors:
minor: WRONG TERM - ""operational costs"" is a valid translation of 業務コスト, but ""業務"" leans towards ""business/administrative"" rather than ""operational"" in this context. It's not incorrect, but potentially less precise.
```"
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,I desperately need money right now - [Carefully Selected Top 3] Same-day Cash Loans,"```
MQM annotations
Terminology errors:
minor: WRONG TERM/ Wrong Term - ""Same-day Cash Loans"" is too literal. A better translation would be ""Instant Cash Loans"" or ""Fast Cash Loans"" which are more common and natural in English.
```"
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"If you're booking a restaurant, use Ikkyu.com. They also have restaurant reviews.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""Ikkyu.com"" should be used as is, not translated as ""use Ikkyu.com"".
```"
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,Packed with information to make your dream wedding a reality / Wedding preparations? Zexy.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Wedding preparations?"" should be ""Wedding preparation"". The source phrase ""結婚式準備は"" is singular.
```"
107,ゴールドカードはメリットばかり！,Gold cards are nothing but benefits!,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM/wrong term - ""nothing but"" is too strong a translation of ""ばかり"" which means ""only"" or ""just"". It's not wrong, but less accurate.
```"
110,自宅用のホームルーターをお探しの方必見！,A must-read for those looking for a home router for home use!,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""home router"" should be ""Wi-Fi router"" according to the glossary."
112,置くだけで使えるWiFiも！,Ready-to-use WiFi that you just set down!,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""WiFi"" should be ""Wi-Fi"" according to the glossary.
```"
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - Tripadvisor,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Tripadvisor"" should be ""Trip Advisor"" with a space between ""Trip"" and ""Advisor"".
```"
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"Even if you're worried about whether short hair will suit you, we'll provide thorough counseling and work together to find a style that suits you.","```
MQM annotations:
```"
124,ロハコ限定、くらしになじむデザインが多数。,"LOHACO exclusive, with many designs that blend into your everyday life.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""LOHACO"" is not a standard English term and should ideally be explained or translated depending on the context. While technically correct as a proper noun, it lacks clarity for an English-speaking audience unfamiliar with the brand.
```"
125,最短翌日お届け、PayPay決済対応。,"Delivered as early as the next day, supports PayPay payment.","```
MQM annotations:
```"
