index,original,translated,accuracy_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Subsidy tour, prefectural discount travel"" does not fully capture the meaning of the source text ""助成金ツアー・県民割旅行"", which refers to a specific type of tour or travel package that involves government subsidies or discounts for local residents.
[Minor]: none"
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Here is the translation from Japanese to English: We introduce tour packages that utilize subsidies from each prefecture"" does not fully capture the meaning of the source text ""各都道府県毎の助成を活用したツアーをご紹介。"", which is more accurately translated as ""We introduce tour packages that utilize subsidies from each prefecture.""

[Minor]: none"
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""Recommended Introduction with Comparison Table"" does not fully capture the meaning of the source text ""Comparison Table - Recommended Introduction with Comparison Table"".
[Minor]: [accuracy/addition] - The addition of ""Job Posting Sites"" is not present in the source text."
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately conveys the meaning of the source Japanese text. There are no significant accuracy errors."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""We offer support for anxious freelancers with client acquisition and tax filing for the first time"" does not fully reflect the meaning of the source text ""初めてのフリーランスで不安な集客や確定申告サポートもご用意しています."" The translation focuses on ""anxious freelancers"" and ""client acquisition and tax filing,"" while the source text is more general about providing support for first-time freelancers.
[Minor]: no-error"
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Lumix Hair Removal Salon Introduction Site"" does not fully capture the meaning of the source text ""ルミクス脱毛のサロン紹介サイト"", which refers to a website introducing Lumix hair removal salons.
[Minor]: accuracy/mistranslation - The translation ""Top 5 Reservation Ranking"" does not precisely reflect the meaning of the source text ""予約数ランキングTOP5"", which refers to the top 5 ranking of reservation numbers."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""Quick, short-term, painless, non-heating"" does not fully capture the meaning of ""早い 短期間 痛くない 熱くない"" which suggests the hair removal process is fast, short-term, painless, and non-heating.
[Minor]: accuracy/addition - ""SHR method"" is added, which is not present in the source text.
[Minor]: accuracy/addition - ""Lumix hair removal salon"" is added, which is not present in the source text."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Orthodontic treatment starting from 1,760 yen per month"" does not fully reflect the meaning of the source text, which states that the orthodontic treatment is ""from 1,760 yen per month"".

[Minor]: no-error"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Orthodontic treatment with Wismile starts at a low price of 1,760 yen"" does not fully reflect the meaning of the source text, which states that Wismile orthodontic treatment starts at a low price of 1,760 yen.
[Minor]: none"
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"MQM annotations:
Accuracy Errors
[Minor]: accuracy/mistranslation - The translation ""$16.50"" does not precisely reflect the meaning of the source text ""1650円"", which is 1,650 Japanese yen, not $16.50."
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,"24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""affordable mouthpiece orthodontics"" does not fully capture the meaning of the source text ""格安マウスピース矯正"" which refers to affordable orthodontic treatment using a mouthpiece device.
[Minor]: [accuracy/omission] - The translation omits the information about the ""24-hour online reservation available"" which is present in the source text."
29,不動産のことなら連合隊 - 北見不動産連合隊,Unified real estate team - Kitami real estate unified team.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Unified real estate team - Kitami real estate unified team"" does not fully capture the meaning of the source text ""不動産のことなら連合隊 - 北見不動産連合隊"", which seems to be referring to a specific real estate organization or team called ""Kitami real estate unified team"".
[Minor]: none"
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","MQM annotations:
Accuracy Errors
[Minor]: None
[Major]: None
[Critical]: None

The English translation accurately conveys the meaning of the Japanese source text. There are no accuracy errors identified."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"Local area-focused, up to 30 photos, and free property appraisals are currently available.","MQM annotations:
Accuracy Errors
[Major]: accuracy/omission - The translation does not mention that ""free property appraisals are currently available"", which is present in the source text."
36,お急ぎ便が使い放題。,Same-day delivery is available unlimited.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Same-day delivery is available unlimited"" does not accurately convey the meaning of the source text ""お急ぎ便が使い放題。"", which suggests that the same-day delivery service is available without any usage limits.

[Minor]: none"
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Point accumulation, smartphone app available, over hundreds of millions of product selection.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Point accumulation, smartphone app available, over hundreds of millions of product selection"" does not fully capture the meaning of the source text ""ポイントが貯まる・スマホアプリあり・数億種の品揃え."" The translation does not convey the nuance that the product selection is in the millions, rather than hundreds of millions.
[Minor]: no-error"
45,あの人気漫画を今こそ一気読み。,"That popular manga, now is the time to read it all at once.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""now is the time to read it all at once"" does not fully capture the meaning of the source text ""あの人気漫画を今こそ一気読み"", which suggests that the reader should read the popular manga all at once, rather than implying that ""now is the time"" to do so."
46,全作品試し読みアリ・買うよりお得。,"All works available for sample reading, more affordable than buying.","MQM annotations:
Accuracy Errors
[Major]: accuracy/addition - The translation includes the phrase ""more affordable than buying"", which is not present in the source text.
[Minor]: no-error"
50,クチコミ情報も満載です。,Word-of-mouth information is also full.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Word-of-mouth information is also full"" does not accurately reflect the meaning of the source text ""クチコミ情報も満載です"", which conveys that the information includes a lot of word-of-mouth reviews."
51,タイムセールや限定プランも。,Time sale and limited plans.,"MQM annotations:
Accuracy Errors
[Minor]: [accuracy/addition] - The translation adds ""Time sale and limited plans"" which is not present in the source text ""タイムセールや限定プランも。""."
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy reservation at home, well-equipped business hotels, abundant plans, and accumulate points with membership registration.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Easy reservation at home, well-equipped business hotels, abundant plans, and accumulate points with membership registration"" does not fully capture the nuance of the source text, which emphasizes the convenience of making reservations at home, the abundance of business hotel options, the variety of plans, and the ability to earn points through membership registration.
[Minor]: none"
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal block through-hole can be purchased at the online store Monotaro at this price.,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""Terminal block through-hole can be purchased at the online store Monotaro at this price"" does not fully capture the meaning of the source text, which is that the terminal block with through-hole can be purchased at the online store Monotaro at this price.
[Minor]: [accuracy/addition] - The translation adds the word ""online"" which is not present in the source text."
56,端子台 貫通の通販。,Terminal block through-type online shopping.,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""Terminal block through-type online shopping"" does not accurately reflect the meaning of the source text ""端子台 貫通の通販。"", which refers to the online shopping of terminal blocks with through-type design.
[Minor]: [accuracy/omission] - The translation omits the specific details about the ""through-type"" design of the terminal blocks, which is an important part of the source text."
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Affordable hotels near Kii-Gobo Station - Official site of [Jalan],"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""Affordable hotels near Kii-Gobo Station"" does not fully reflect the meaning of the source text ""紀伊御坊駅の格安ホテル"", which is more specifically about affordable hotels near Kii-Gobo Station.
[Minor]: accuracy/addition - The addition of ""[Jalan]"" in the translation is not present in the source text."
