index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""Club Tourism!"" may not be a familiar or common concept for the target English-speaking audience, as it is a specific Japanese tourism industry term.
[Minor]: WRONG LANGUAGE VARIETY - The phrase ""Subsidy tour, prefectural discount travel"" uses a more formal or technical language style that may not be the most appropriate for a general consumer-facing translation."
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""tour packages"" may not be a common or natural way to refer to this type of offering in the target culture."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,"MQM annotations:
Audience Appropriateness Errors
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""comparison table"" may not be a common or intuitive concept for some target audiences, and a more culturally appropriate term could be used.
[Minor]: [WRONG LANGUAGE VARIETY] - The phrase ""recommended introduction"" may sound more formal or academic than necessary for a general audience looking for job posting sites."
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,"MQM annotations:
Audience Appropriateness Errors
[Minor]: [culture-specific reference] - The term ""ranking"" may not be a common or intuitive concept for some target audiences when referring to job search websites."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""client acquisition"" may not be a common concept for the intended target audience, who may be unfamiliar with the specific challenges faced by freelancers.
[Minor]: WRONG LANGUAGE VARIETY - The phrase ""tax filing"" may not be the most natural or idiomatic way to express the concept of ""確定申告"" (tax return filing) in the target language and cultural context."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,"MQM annotations:
Audience Appropriateness Errors
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""Top 5 Reservation Ranking"" may not be a familiar concept for the intended English-speaking audience, as reservation rankings are more commonly associated with hotel or restaurant bookings rather than hair removal services.
[Minor]: WRONG LANGUAGE VARIETY - The use of the term ""Salon"" in the title may not be the most appropriate term for the target audience, as ""Clinic"" or ""Center"" may be more commonly used for hair removal services in English-speaking countries."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","MQM annotations:
Audience Appropriateness Errors
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""Lumix"" may not be familiar to the target audience, as it is a brand name that originated in Japan and may not be widely recognized in other cultural contexts.
[Minor]: WRONG LANGUAGE VARIETY - The term ""salon"" is commonly used in English, but it may not be the most natural or appropriate term in some target language contexts, where a more localized equivalent may be preferred."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","MQM annotations:
Audience Appropriateness Errors
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""yen"" may not be familiar or relevant to an English-speaking audience, who are more accustomed to seeing prices in their local currency.
[Minor]: WRONG LANGUAGE VARIETY - The use of the term ""orthodontic"" instead of the more common ""braces"" or ""orthodontics"" may sound overly formal or technical for the target audience."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","MQM annotations:
Audience Appropriateness Errors
[Minor]: [culture-specific reference] - The term ""yen"" may not be familiar to some English-speaking audiences who are more accustomed to using dollars or other currencies."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The use of ""$16.50"" may not be the most culturally appropriate way to express the price in the Japanese context, where the yen is the standard currency."
