index,original,zero_shot_translation,improved_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.",Travel Club! Subsidized tours and regional discount travel.
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.",We present tour packages that take advantage of subsidies offered by each prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,Recommended Pharmacist Job Sites - Comparison Table
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,2022 Ranking of Top Pharmacist Job Search Websites
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"We provide support for first-time freelancers, including assistance with client outreach and tax return filing."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,Top 5 Most Booked ルミクス Hair Removal Salons
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.",ルミクスの短期間・無痛・低温SHR脱毛サロンの予約サイト
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","Orthodontic treatment starting from ¥1,760 per month - [Official] ウィスマイル Orthodontics"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","Wismile orthodontic treatment starts at just ¥1,760."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"1,650円のお試しコースを受け付けております。"
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,"24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","Available for 24-hour online booking, cost-effective orthodontic appliance, free adjustments."
29,不動産のことなら連合隊 - 北見不動産連合隊,Unified real estate team - Kitami real estate unified team.,The Kitami Real Estate Unified Team
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.",賃貸アパート、マンション、一戸建て。
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"Local area-focused, up to 30 photos, and free property appraisals are currently available.","Focused on the local area, with up to 30 photos and free real estate appraisals currently available."
36,お急ぎ便が使い放題。,Same-day delivery is available unlimited.,Same-day delivery (お急ぎ便) is available without limit.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Point accumulation, smartphone app available, over hundreds of millions of product selection.","Earn points, mobile app available, vast product selection."
45,あの人気漫画を今こそ一気読み。,"That popular manga, now is the time to read it all at once.",Now is the time to read that popular manga all at once.
46,全作品試し読みアリ・買うよりお得。,"All works available for sample reading, more affordable than buying.","All works available for free previews, more cost-effective than purchasing."
50,クチコミ情報も満載です。,Word-of-mouth information is also full.,The website provides comprehensive word-of-mouth reviews.
51,タイムセールや限定プランも。,Time sale and limited plans.,タイムセールや限定プランもあります。
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy reservation at home, well-equipped business hotels, abundant plans, and accumulate points with membership registration.","Easily book business hotel stays from home, with a wide selection of plans and the ability to earn points through membership registration."
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal block through-hole can be purchased at the online store Monotaro at this price.,You can purchase a terminal block with through-hole at the online store Monotaro for this price.
56,端子台 貫通の通販。,Terminal block through-type online shopping.,Through-type terminal blocks available for online purchase.
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Affordable hotels near Kii-Gobo Station - Official site of [Jalan],Affordable hotels near Kii-Gobo Station - From the official Jalan website
