index,original,translated,linguistic_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The phrase ""Club Tourism!"" should not be capitalized as it is not a proper noun.
[Minor]: punctuation - The exclamation mark at the end of the translation is unnecessary."
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of ""ご紹介"" should be capitalized in the translation."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The title ""【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介"" should be capitalized according to English conventions.
[Minor]: [Punctuation] - The use of ""【"" and ""】"" in the title is not a standard punctuation convention in English.
[Minor]: [Whitespace] - The whitespace between ""Pharmacist"" and ""Job"" should be removed."
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The title ""The latest 2022 ranking of pharmacist job search websites"" should have the first letter of each word capitalized, except for prepositions and conjunctions."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - Missing comma after ""freelancers"".
[Minor]: grammar - Awkward phrasing ""anxious freelancers with client acquisition""."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The title ""Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking"" should have the first letter of each word capitalized, except for prepositions and conjunctions, according to English capitalization conventions.
[Minor]: punctuation - The title should have a colon "":"" instead of a hyphen ""-"" between ""Site"" and ""Top 5 Reservation Ranking""."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""SHR"" should be capitalized.
[Minor]: spelling - The word ""Lumix"" should be spelled correctly as ""Lumics""."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of ""Orthodontics"" should be capitalized.
[Minor]: [Punctuation] - The hyphen in ""1,760 yen"" should be an en-dash."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Orthodontic"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation ""trial course"" should be capitalized as ""Trial Course"" to match the capitalization conventions in English."
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,"24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - Missing period at the end of the sentence."
29,不動産のことなら連合隊 - 北見不動産連合隊,Unified real estate team - Kitami real estate unified team.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The translation uses a mix of capitalization styles, with ""Unified real estate team"" and ""Kitami real estate unified team"" not following a consistent capitalization convention."
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of ""Rental"" should be lowercase to match the capitalization of the other items in the list.
[Minor]: [Punctuation] - The period at the end of the list is unnecessary."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"Local area-focused, up to 30 photos, and free property appraisals are currently available.","MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - Missing comma after ""写真は最大30枚"".
[Minor]: whitespace - No space between ""無料の"" and ""物件査定""."
36,お急ぎ便が使い放題。,Same-day delivery is available unlimited.,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation ""Same-day delivery is available unlimited"" is incorrect. The correct order should be ""Same-day delivery is unlimited available."""
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Point accumulation, smartphone app available, over hundreds of millions of product selection.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Smartphone"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
45,あの人気漫画を今こそ一気読み。,"That popular manga, now is the time to read it all at once.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""That"" should be lowercase to match the style of the source text.
[Minor]: punctuation - The period at the end of the sentence is missing."
46,全作品試し読みアリ・買うよりお得。,"All works available for sample reading, more affordable than buying.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""All"" should be lowercase to match the capitalization style of the rest of the sentence.
[Minor]: punctuation - The period at the end of the sentence is missing."
50,クチコミ情報も満載です。,Word-of-mouth information is also full.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The translated text is missing a period at the end of the sentence."
51,タイムセールや限定プランも。,Time sale and limited plans.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Whitespace] - There is no space between ""Time"" and ""sale"" in the translation."
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy reservation at home, well-equipped business hotels, abundant plans, and accumulate points with membership registration.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Easy"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal block through-hole can be purchased at the online store Monotaro at this price.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of ""Monotaro"" should be capitalized.
[Minor]: [Punctuation] - The period at the end of the sentence is missing."
56,端子台 貫通の通販。,Terminal block through-type online shopping.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""Terminal"" should be lowercase.
[Minor]: [punctuation] - The period at the end of the sentence is missing."
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Affordable hotels near Kii-Gobo Station - Official site of [Jalan],"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The translation uses ""【じゃらん】"" instead of capitalizing it as ""Jalan"" according to English conventions.
[Minor]: punctuation - The translation uses a hyphen ""-"" instead of an en dash ""–"" between ""Kii-Gobo Station"" and ""Official site of [Jalan]""."
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"Here is the translation:

Book hotels and inns near Kii-Gobo Station on Jalan.","MQM annotations:
linguistic conventions errors:
[minor]: capitalization - The translation uses ""Jalan"" instead of the expected capitalization ""jalan""."
63,じゃらん限定・格安プランも充実。,Abundant discounted plans exclusive to Jalan.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation uses ""Jalan"" which should be capitalized as ""jalan"" to match the source text."
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Many accommodations where you can accumulate points by registering as a member, accept same-day reservations, and distribute discount coupons.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Many"" should be lowercase to match the conventions of the target language.
[Minor]: punctuation - The period at the end of the sentence is missing."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"Easy input, free appraisal request in 60 seconds - If you want to check the market price and land price.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Easy input, free appraisal request in 60 seconds"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
66,マンション・土地・一戸建ての無料売却査定が可能。,"Possible free real estate appraisal for condominiums, land, and detached houses.","MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The translation is missing a period at the end of the sentence."
67,エリアから価格相場の把握ができます。,You can grasp the price range from the area.,"MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation ""You can grasp the price range from the area"" is slightly different from the source ""エリアから価格相場の把握ができます"", where the subject ""you"" is placed at the beginning of the sentence in the translation."
68,不動産売却のお悩みはプロが解決！,Real estate sale worries are solved by professionals!,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""Real estate"" should be capitalized.
[Minor]: [punctuation] - The exclamation mark at the end of the sentence is unnecessary."
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Proposal of the optimal sales plan, assessment, and sale of the condominium. Providing peace of mind support to the seller.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Proposal"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
75,ダイキン エアコン お客様 センター見つけましょう。,Daikin air conditioning customer center.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation should capitalize ""Daikin"" as it is a proper noun.
[Minor]: [punctuation] - The translation should include a period at the end of the sentence."
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Come and visit campaign in progress - Urban compact 3-story model home.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The phrase ""Come and visit campaign in progress"" should have the first letter of each word capitalized, as per English conventions.
[Minor]: punctuation - The hyphen in ""3-story"" should be an en-dash (–) to match the standard for numerical ranges in English."
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,Utilizing IT tools to reduce business costs and realize the provision of services at reasonable prices.,"MQM annotations:
linguistic conventions errors:
[Minor]: grammar - The sentence structure could be more natural and idiomatic in English, e.g., ""Utilizing IT tools to reduce business costs and provide services at reasonable prices."""
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,I need money urgently right now.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The title ""【厳選3社】即日キャッシング"" should be capitalized consistently, either all in uppercase or title case.
[Minor]: punctuation - The title ""【厳選3社】即日キャッシング"" should have a period at the end."
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"Restaurant reservations can be made on Ikyu.com, which also features reviews of the establishments.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Ikyu.com"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,"""Information-packed for realizing a happy wedding / Prepare for your wedding with Zexy.""","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Zexy"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
107,ゴールドカードはメリットばかり！,Gold card is all benefits!,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Gold"" should be lowercase to follow standard English capitalization rules."
110,自宅用のホームルーターをお探しの方必見！,Home router for home use must-see!,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Home"" should be capitalized to follow standard English capitalization rules."
112,置くだけで使えるWiFiも！,Plug-and-play WiFi too!,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""WiFi"" should be capitalized to follow standard English capitalization conventions."
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - TripAdvisor,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The translation ""Kamata Inn Social"" should be capitalized as ""Kamata Inn Social"" to follow English capitalization conventions.
[Minor]: punctuation - The translation uses a hyphen ""-"" instead of an en dash ""–"" between ""Kamata Inn"" and ""Social"" which is the more appropriate punctuation convention for this context."
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"A person who is unsure if a short hairstyle would suit them can receive thorough counseling, and we will consider together what style would be most suitable.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""ショートが"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
124,ロハコ限定、くらしになじむデザインが多数。,"Rohaco limited, many designs that fit into your lifestyle.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The phrase ""Rohaco limited"" should be capitalized as ""ROHACO limited"" to follow standard capitalization conventions.
[Minor]: word order - The phrase ""many designs that fit into your lifestyle"" would be more natural in English as ""many designs that fit your lifestyle""."
125,最短翌日お届け、PayPay決済対応。,"Next-day delivery, PayPay payment accepted.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""PayPay"" should be capitalized."
127,都心へのマルチアクセスを叶えるタワーレジデンス。,A tower residence that provides multi-access to the city center.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first word ""A"" should be lowercase to match the conventions of the target language.
[Minor]: word order - The order of the words ""that provides multi-access to the city center"" could be more natural in English."
128,4路線利用できる‘目黒’駅に誕生。,"Meguro Station, where you can use 4 train lines, has been born.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The translation should capitalize ""Meguro"" as it is a proper noun.
[Minor]: grammar - The phrase ""has been born"" is not idiomatic English for describing the opening of a new station. A more natural phrasing would be ""has opened"" or ""has been established""."
129,野村不動産グループ×JR東日本グループ開発エリア【MEGURO MARC】の32階建タワー。,"Meguro Marc, a 32-story tower developed by the Nomura Real Estate Group and the JR East Japan Group.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""MEGURO"" should not be capitalized in the translation."
132,続くから変われる、人生を変える英会話の力をあなたへ。,"Your life can change through the power of English conversation, because it continues to evolve.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""English"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
136,クラウド電話を1内線200円から - 【公式】サテライトオフィス,Cloud phone from 200 yen per extension.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Cloud phone"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
145,glovesdepoを探すなら、日本最大級通販ショップ楽天市場。,"Rakuten Ichiba, Japan's largest online shopping mall, is where you can find glovesdepot.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - ""glovesdepot"" should be capitalized as ""glovesDepot""."
148,目黒 恵比寿 五反田エリアで顧問弁護士をお探しなら目黒国際法律事務所。,"Meguro, Ebisu, and Gotanda area, if you are looking for a legal counsel, Meguro International Law Office.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Ebisu"" and ""Gotanda"" should be capitalized.
[Minor]: punctuation - The period at the end of the sentence is missing."
151,若手弁護士がフットワーク軽く迅速に対応します。,The young lawyer will respond quickly and nimbly.,"MQM annotations:
linguistic conventions errors:
[Minor]: word order - The word order in the translation ""The young lawyer will respond quickly and nimbly"" is slightly different from the source text ""The young lawyer will respond quickly and nimbly."""
152,20代～シニアまで申込める保険 - 【生命保険】はなさく生命,Life insurance for ages 20s to seniors - Hanasaku Life.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The translation should capitalize ""Life"" in ""Hanasaku Life"" to match the capitalization conventions of the English language."
161,素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。,Skincare products born from FOOD.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The phrase ""FOOD(食べもの)"" should be capitalized consistently, either all uppercase or all lowercase."
