index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.","locale conventions:

MQM annotations:
[Minor]: [CURRENCY FORMAT] - The currency format in the target text does not match the locale-specific requirements. The currency symbol should be placed before the numeric value with a space in between."
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.","locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The translation does not follow the standard address format in English, which typically places the city and state/province before the postal code."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,"Locale conventions:

MQM annotations:
[Minor]: [address format] - The placement of ""【"" and ""】"" around the title is not a standard locale convention in English.
[Minor]: [number format] - The use of ""【"" and ""】"" around the numbers is not a standard number format in English."
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the English translation ""2022"" does not match the Japanese date format conventions."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"Locale conventions:

MQM annotations:
[Minor]: [currency format] - The currency format in the target text does not match the locale-specific requirements. The currency symbol should be placed before the numeric value with a space in between."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""TOP5"" in the translation should be formatted as ""Top 5"" to match the source text."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not follow the standard Japanese address format.
[Minor]: [number format] - The numeric values in the target text are not formatted according to Japanese conventions."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","locale conventions:

MQM annotations:
[Minor]: [currency format] - The currency format ""1760円"" does not match the expected format for English, which would be ""1,760 yen""."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","locale conventions:

MQM annotations:
[Major]: [currency format] - The currency format ""1,760 yen"" does not match the expected format in English, which would be ""¥1,760"" or ""1,760 JPY""."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"locale conventions:

MQM annotations:
[Minor]: [CURRENCY FORMAT] - The currency symbol ""$"" should be placed before the numeric value according to English locale conventions."
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,"24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","locale conventions:

MQM annotations:
[Minor]: [currency format] - The currency symbol ""¥"" should be placed before the numeric value according to Japanese convention."
29,不動産のことなら連合隊 - 北見不動産連合隊,Unified real estate team - Kitami real estate unified team.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The translation ""Kitami real estate unified team"" does not follow the standard Japanese address format, which typically places the location (e.g., Kitami) before the organization name."
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","Locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not match the standard Japanese format."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"Local area-focused, up to 30 photos, and free property appraisals are currently available.","locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not match the Japanese locale convention. The address should be presented in the order: city, prefecture, country."
36,お急ぎ便が使い放題。,Same-day delivery is available unlimited.,"locale conventions:

MQM annotations:
[Major]: [CURRENCY FORMAT] - The currency format ""使い放題"" does not follow the Japanese locale convention, which typically uses the yen symbol (¥) before the numeric value."
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Point accumulation, smartphone app available, over hundreds of millions of product selection.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""hundreds of millions"" is not formatted according to the English locale convention, which typically uses commas to separate thousands (e.g., ""over 200,000,000 product selection"")."
45,あの人気漫画を今こそ一気読み。,"That popular manga, now is the time to read it all at once.","locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format ""今こそ"" does not follow the Japanese convention, which typically uses the year-month-day format (e.g., 2023年4月1日)."
46,全作品試し読みアリ・買うよりお得。,"All works available for sample reading, more affordable than buying.","locale conventions:

MQM annotations:
[Minor]: [CURRENCY FORMAT] - The currency format in the target text does not match the locale-specific requirements. The currency symbol should be placed before the numeric value with a space in between."
50,クチコミ情報も満載です。,Word-of-mouth information is also full.,"locale conventions:

MQM annotations:
[Minor]: [WORD-OF-MOUTH FORMAT] - The translation ""Word-of-mouth information is also full"" does not accurately convey the meaning of the source text ""クチコミ情報も満載です"", which suggests that the website provides a lot of word-of-mouth information. The translation could be improved to better reflect the original meaning."
