index,original,zero_shot_translation,annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.","MQM annotations:
Accuracy Errors
[Minor]: Mistranslation - The translation does not fully capture the meaning of the source text. The source text refers to a ""subsidy tour"" and ""prefectural discount travel"", but the translation simply states ""Subsidy tour, prefectural discount travel"" without clearly conveying the meaning.

Fluency Errors
[Minor]: Awkward - The translation sounds a bit unnatural and could be phrased more idiomatically in English.

Terminology Errors
[Minor]: Inconsistent use - The term ""Club Tourism"" is used in the translation, but it is not clear what this refers to in the context of the source text.

Overall, the translation conveys the main idea of the source text, but could be improved in terms of accuracy, fluency, and terminology to make it more natural and clear in English."
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the word ""毎"" (each) from the source text.

Fluency Errors
[Minor]: [grammar] - The translation uses the phrase ""utilize subsidies from each prefecture"" which is grammatically correct but could be more natural-sounding.

Terminology Errors
[Minor]: [inappropriate for context] - The word ""ツアー"" (tour) is translated as ""tour packages"" which is a bit more formal than the source text.

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the meaning or readability of the text."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation ""Pharmacist Job Posting Sites"" does not fully capture the meaning of the source text, which is a comparison table of pharmacist job posting sites.

Fluency Errors
[Minor]: [Grammar] - The translation ""Recommended Introduction with Comparison Table"" is grammatically correct but could be improved to ""Recommended Comparison Table"".

Locale Convention Errors
[No Error]

Style Errors
[Minor]: [Awkward] - The translation is a bit awkward and could be improved to be more natural-sounding English.

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation is generally accurate and understandable, with a few minor errors in fluency and style that could be improved."
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The Japanese source text ""《2022年最新版》"" is translated as ""The latest 2022"" in the English translation, which is a minor mistranslation as the original Japanese text indicates that this is the ""latest 2022 version"" of the ranking.

Fluency Errors
[Minor]: [Punctuation] - The English translation lacks a period at the end of the sentence.

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only minor errors related to mistranslation and punctuation. The translation conveys the main meaning of the source text effectively."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"MQM annotations:
Accuracy Errors
[Minor]: Mistranslation - The source text mentions ""support for anxious freelancers"", but the translation does not accurately convey the meaning of ""anxious"" and instead uses ""for the first time"".

Fluency Errors
[Minor]: Grammar - The translation uses ""client acquisition"" instead of the more natural ""finding clients"" or ""acquiring clients"".

Terminology Errors
[Minor]: Inappropriate for context - The term ""tax filing"" is used, but a more natural term in this context would be ""filing taxes"" or ""completing tax returns"".

Overall, the translation conveys the main meaning of the source text, but there are some minor errors in accuracy, fluency, and terminology that could be improved."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The source text refers to ""ルミクス脱毛"" which is a specific brand or type of hair removal, but the translation uses the generic term ""Hair Removal"" instead.
[Minor]: [omission] - The source text includes ""サロン紹介サイト"" (Salon Introduction Site) which is not fully captured in the translation.

Fluency Errors
[Minor]: [grammar] - The translation could be improved by using a more natural English structure, e.g., ""Top 5 Ranking of Reservation Numbers"" or ""Top 5 Reservation Ranking"".

Locale Convention Errors
[No errors]

Style Errors
[Minor]: [awkward] - The translation sounds a bit awkward and could be phrased more naturally in English.

Terminology Errors
[No errors]

Non-translation Errors
[No errors]

Other Errors
[No errors]

Overall, the translation is generally understandable, but there are some minor issues related to accuracy, fluency, and style that could be improved."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site"" does not accurately convey the meaning of the source text, which is describing the features of the SHR method and the Lumix hair removal salon.

Fluency Errors
[Minor]: [grammar] - The translation lacks proper grammatical structure, such as subject-verb agreement.

Terminology Errors
[Minor]: [inappropriate for context] - The term ""Lumix"" is used in the translation, but it is not clear if this refers to a specific brand or product name.

Overall, the translation is generally understandable, but there are some minor errors that could be improved to better convey the meaning of the source text."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The source text mentions ""monthly"" cost of 1,760 yen, while the translation says ""starting from 1,760 yen per month"", which is a slightly different nuance.

Fluency Errors
[Minor]: [Spelling] - The translation uses ""Wismile"" which appears to be a misspelling of the company name ""Wissmile"".

Locale Convention Errors
[No Error]

Style Errors
[No Error] 

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation is generally accurate and fluent, with only minor issues related to nuance and spelling. The translation conveys the key information from the source text effectively."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The source text mentions ""1,760 yen"" as the starting price for Wismile orthodontic treatment, but the translation renders this as ""a low price of 1,760 yen"", which is a slight mistranslation.

Fluency Errors
[Minor]: [grammar] - The translation uses the phrase ""starts at a low price of 1,760 yen"", which is grammatically correct but could be phrased more naturally as ""starts at 1,760 yen"".

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation is generally accurate and fluent, with only minor issues related to the phrasing of the price information. The translation conveys the key message effectively."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The source text mentions a ""1650 yen"" trial course, but the translation renders this as ""$16.50"", which is not an accurate conversion.
Fluency Errors
[No Error]
Locale Convention Errors
[No Error]
Style Errors
[No Error]
Terminology Errors
[No Error]
Non-Translation Errors
[No Error]
Other Errors
[No Error]"
