index,original,single_agent_translation,single_agent_improved_translation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.",Club Tourism offers subsidized tours and discounted prefectural travel packages.
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.",We introduce tours that utilize subsidies from each prefecture.
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,[Comparison Table] Recommended Comparison of Pharmacist Job Posting Sites
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,The latest 2022 version of the pharmacist job search website ranking.
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,We offer support for new freelancers who are anxious about finding clients and filing their taxes.
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,Lumix Hair Removal Salon Introduction Site - Top 5 Ranking of Reservation Numbers
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","The Lumix hair removal salon offers a quick, short-term, painless, and non-heating SHR method for hair removal."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","Orthodontic treatment available from 1,760 yen per month - [Official] Wissmile Orthodontics"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","Wismile orthodontic treatment starts at 1,760 yen."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"A 1,650 yen trial course is now available."
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,"24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","24-hour online reservations available, affordable orthodontic mouthpiece treatment, adjustment fee free."
29,不動産のことなら連合隊 - 北見不動産連合隊,Unified real estate team - Kitami real estate unified team.,Kitami Real Estate Unified Team
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","Rental apartments, condominiums, and detached houses."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"Local area-focused, up to 30 photos, and free property appraisals are currently available.",The local area-focused service offers up to 30 photos and free property appraisals currently available.
36,お急ぎ便が使い放題。,Same-day delivery is available unlimited.,Unlimited use of the expedited delivery service is available.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Point accumulation, smartphone app available, over hundreds of millions of product selection.","The service offers a large selection of millions of products, a smartphone app, and the ability to accumulate points."
45,あの人気漫画を今こそ一気読み。,"That popular manga, now is the time to read it all at once.",Now is the perfect time to read that popular comic book all at once.
46,全作品試し読みアリ・買うよりお得。,"All works available for sample reading, more affordable than buying.","All works available for sample reading, more affordable than purchasing."
50,クチコミ情報も満載です。,Word-of-mouth information is also full.,The site also has plenty of customer reviews.
51,タイムセールや限定プランも。,Time sale and limited plans.,Time sales and limited plans are also available.
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy reservation at home, well-equipped business hotels, abundant plans, and accumulate points with membership registration.","Easily reserve from home, with well-equipped and abundant business-oriented hotels, comprehensive plans, and the ability to accumulate points through membership registration."
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal block through-hole can be purchased at the online store Monotaro at this price.,You can purchase a terminal block with a through-hole at the online store Monotaro at this price.
56,端子台 貫通の通販。,Terminal block through-type online shopping.,Terminal block for through-wiring available for online purchase.
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Affordable hotels near Kii-Gobo Station - Official site of [Jalan],Affordable hotels near Kii-Gobo Station - Official website of Jalan
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"Here is the translation:

Book hotels and inns near Kii-Gobo Station on Jalan.",Book hotels and inns at Kii-Gōbō Station on Jalan.
63,じゃらん限定・格安プランも充実。,Abundant discounted plans exclusive to Jalan.,Jalan offers a wide range of exclusive discounted plans.
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Many accommodations where you can accumulate points by registering as a member, accept same-day reservations, and distribute discount coupons.","Members can earn points, many accommodations accept same-day reservations, and discount coupons are currently being distributed."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"Easy input, free appraisal request in 60 seconds - If you want to check the market price and land price.","To check the market price and land price, request a free appraisal in just 60 seconds."
66,マンション・土地・一戸建ての無料売却査定が可能。,"Possible free real estate appraisal for condominiums, land, and detached houses.","Free real estate appraisals are available for condominiums, land, and detached houses."
67,エリアから価格相場の把握ができます。,You can grasp the price range from the area.,You can understand the price range in the area.
68,不動産売却のお悩みはプロが解決！,Real estate sale worries are solved by professionals!,Real estate sale concerns are resolved by experts.
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Proposal of the optimal sales plan, assessment, and sale of the condominium. Providing peace of mind support to the seller.","We propose the optimal sales plan, assessment, and sale of your apartment. We also provide peace of mind support to you as the seller."
