index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the English language. A more natural expression could be used."
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""We introduce tour packages that utilize subsidies from each prefecture"" reads a bit awkwardly and lacks the natural flow expected in English. A more natural phrasing could be ""We present tour packages that take advantage of subsidies offered by each prefecture."""
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used.
[Minor]: [REGISTER] - The translation uses a more formal register than the source text, which has a more casual tone."
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,"MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation reads a bit too literally and could be more natural and fluent in English."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking"" reads a bit awkwardly and lacks the natural flow expected in English. A more natural phrasing could be ""Top 5 Most Booked Lumix Hair Removal Salons"".
[minor]: [REGISTER] - The use of ""Salon"" in the translation is a bit formal. A more casual term like ""Studio"" or ""Parlor"" may be more appropriate for the context."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, ""Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site"" could be rephrased in a more natural way.
[minor]: [REGISTER] - The overall tone of the translation is a bit too formal compared to the source text. A more conversational register would be more appropriate.
[minor]: [COMPANY STYLE] - The translation does not follow any specific company style guidelines, such as preferred terminology or formatting conventions."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","MQM annotations:
Style Errors
[minor]: [company_style] - The translation does not match the company's style guidelines, which may require specific formatting or terminology.
[minor]: [unnatural_flow] - The translation, while grammatically correct, reads too literally and lacks the natural flow expected in the target language."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""Orthodontic treatment with Wismile starts at a low price of 1,760 yen"" sounds a bit unnatural and could be phrased more naturally in English.
[minor]: [REGISTER] - The use of ""starts at a low price of 1,760 yen"" has a slightly formal tone that may not match the more casual nature of the source text."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"MQM annotations:
Style Errors:
[minor]: [company_style] - The translation uses ""$"" instead of the Japanese currency symbol ""円"" which is the standard for this context."
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,"24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, ""24-hour online reservation available"" could be expressed more naturally as ""Available for 24-hour online booking"".
[minor]: [REGISTER] - The use of ""affordable"" may be too informal for the context of a professional service offering. A more formal term like ""cost-effective"" or ""economical"" would be more appropriate.
[minor]: [COMPANY STYLE] - The client may have specific style guidelines regarding the formatting or wording of service offerings, which the translation does not follow."
29,不動産のことなら連合隊 - 北見不動産連合隊,Unified real estate team - Kitami real estate unified team.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""Unified real estate team - Kitami real estate unified team"" reads too literally and lacks the natural flow expected in English.
[minor]: [REGISTER] - The use of ""team"" in the translation may not match the appropriate level of formality or informality compared to the source text."
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation reads a bit awkwardly and lacks the natural flow expected in English."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"Local area-focused, up to 30 photos, and free property appraisals are currently available.","MQM annotations:
Style Errors:
[major]: [unnatural flow] - The translation ""Local area-focused, up to 30 photos, and free property appraisals are currently available"" sounds a bit awkward and lacks the natural flow expected in English. A more natural phrasing could be ""Focused on the local area, with up to 30 photos and free property appraisals currently available."""
