index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,"Club Tourism! Subsidy tour, prefectural discount travel.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Club Tourism"" should have been translated as a more appropriate term in English, such as ""Travel Club"" or ""Tourism Club"".
[minor]: [WRONG TERM] - The term ""prefectural discount travel"" should have been translated more accurately, such as ""regional/local discount travel"" or ""prefecture-level discount travel""."
2,各都道府県毎の助成を活用したツアーをご紹介。,"Here is the translation from Japanese to English:

We introduce tour packages that utilize subsidies from each prefecture.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""ツアー"" (tour) should have been translated as ""tour packages"" instead of just ""tour""."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Posting Sites - Recommended Introduction with Comparison Table,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Job Posting Sites"" should have been translated as ""サイト"" instead of ""サイト - 一覧比較表でおすすめ紹介"".
[minor]: [WRONG TERM] - The term ""Pharmacist"" should have been capitalized as ""薬剤師"" to match the glossary entry."
7,《2022年最新版》薬剤師転職サイトランキング。,The latest 2022 ranking of pharmacist job search websites.,"MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The term ""薬剤師"" (pharmacist) is not translated correctly in the English version."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,We offer support for anxious freelancers with client acquisition and tax filing for the first time.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""client acquisition"" should have been translated as ""集客"" or a similar term in Japanese to match the glossary.
[minor]: [WRONG TERM] - The term ""tax filing"" should have been translated as ""確定申告"" or a similar term in Japanese to match the glossary."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 Reservation Ranking,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Lumix"" should be translated as ""ルミクス"" to match the source text.
[minor]: [WRONG TERM] - The term ""Hair Removal"" should be translated as ""脱毛"" to match the source text.
[minor]: [WRONG TERM] - The term ""Salon"" should be translated as ""サロン"" to match the source text."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"Quick, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Lumix"" in the target text does not match the correct term ""ルミクス"" in the source text.
[minor]: [WRONG TERM] - The term ""SHR"" in the target text should be translated as ""SHR方式"" to match the source text."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontic treatment starting from 1,760 yen per month - [Official] Wismile Orthodontics","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""orthodontic treatment"" should have been translated as ""矯正治療"" instead of ""歯科矯正"".
[minor]: [WRONG TERM] - The term ""Wismile Orthodontics"" should be capitalized as ""ウィスマイル矯正"" to match the source text."
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"Orthodontic treatment with Wismile starts at a low price of 1,760 yen.","MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The term ""矯正"" (orthodontic treatment) is not accurately translated as ""Orthodontic treatment"" in the target text."
23,1650円のお試しコース受付中。,$16.50 trial course now available.,"MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""trial course"" should have been translated as ""お試しコース"" in Japanese."
