index,original,translated,accuracy_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - The translation ""Subsidy tours and prefectural discount trips"" does not fully capture the meaning of ""助成金ツアー・県民割旅行,"" which implies tours and trips specifically offered by Club Tourism with subsidies and prefectural discounts.
[Minor]: none
```"
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits ""毎の"" which indicates ""each"" or ""every,"" emphasizing that the subsidies are specific to each prefecture.
[Major]: [accuracy/mistranslation] - The phrase ""助成を活用した"" is translated as ""utilize subsidies,"" which is not incorrect but could be more accurately rendered as ""tours that make use of subsidies,"" to better reflect the source's nuance.
[Minor]: [accuracy/addition] - None
```"
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - ""Pharmacist Job Transfer Sites"" should be ""Pharmacist Job Change Sites"" as 転職 refers to changing jobs rather than transferring.
[Minor]: [accuracy/error_subcategory] - None
```"
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The translation ""Pharmacist Job Change Site Rankings"" does not fully capture the meaning of ""薬剤師転職サイトランキング,"" which more accurately translates to ""Pharmacist Job Transfer Site Rankings.""
[Minor]: [accuracy/error_subcategory] - None
```"
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/addition] - The phrase ""addressing any concerns you may have"" is an addition not present in the source text.
[Minor]: [accuracy/error_subcategory] - None
```"
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: accuracy/mistranslation - The translation of ""ルミクス脱毛"" as ""Lumix Hair Removal"" may not fully capture the specific branding or meaning of ""ルミクス"" if it refers to a specific product or brand name, rather than a general term.
```"
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: accuracy/mistranslation - ""Lumix"" should be ""LUMIX"" as it is a brand name and should be capitalized to match the source text.
[Minor]: None
```"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The translation of ""ウィスマイル矯正"" as ""WeSmile Orthodontics"" is incorrect. The correct translation should be ""Wismile Orthodontics"" to accurately reflect the name.
[Minor]: [accuracy/error_subcategory] - None
```"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/addition] - The phrase ""choose WisSmile orthodontics"" is added in the translation and is not present in the source text.
[Minor]: [accuracy/error_subcategory] - None
```"
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/addition] - ""applications"" is added in the translation, which is not present in the source text.
[Minor]: [accuracy/error_subcategory] - None
```"
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The translation omits ""・調整料0円"" (with a 0 yen adjustment fee), which is an important detail about the cost.
[Minor]: [accuracy/mistranslation] - The phrase ""WEBから"" is translated as ""online,"" which is generally correct, but it specifically refers to ""from the web"" or ""via the web,"" which could be more precise.
```"
29,不動産のことなら連合隊 - 北見不動産連合隊,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation of ""連合隊"" as ""Allied Force"" is incorrect; it should be ""Union"" or ""Alliance"" as it refers to a group or association related to real estate, not a military force.
[Major]: [accuracy/mistranslation] - The translation of ""北見不動産連合隊"" as ""Kitami Real Estate Allied Force"" is incorrect; it should be ""Kitami Real Estate Union"" or ""Kitami Real Estate Alliance"" to accurately reflect the nature of the organization.
[Minor]: [accuracy/addition] - None
```"
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/omission - The source text includes ""一戸建て"" (detached house), which is omitted in the translation.
[Major]: accuracy/mistranslation - ""マンション"" is translated as ""condominium,"" which can be misleading as ""マンション"" in Japanese often refers to an apartment building, not necessarily a condominium.
[Minor]: accuracy/addition - None
```"
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"""Closely connected to the local area; up to 30 photos; free property assessments also available.""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The phrase ""無料の物件査定も実施中"" is omitted, which means ""free property assessments are also being conducted,"" indicating an ongoing action.
[Major]: [accuracy/mistranslation] - ""写真は最大30枚"" is mistranslated as ""up to 30 photos,"" which misses the context that it refers to ""photos can be up to 30,"" implying a limit on the number of photos.
[Minor]: [accuracy/mistranslation] - The phrase ""地元に密着"" is translated as ""Closely connected to the local area,"" which is slightly misleading as it implies an ongoing relationship rather than a focus or emphasis on the local area.
```"
36,お急ぎ便が使い放題。,Unlimited use of express delivery.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits the nuance of ""使い放題"" which means ""unlimited use"" or ""all-you-can-use"" in the context of a service being available without restriction.
[Major]: [accuracy/mistranslation] - The translation ""Unlimited use of express delivery"" is slightly misleading as it does not fully capture the promotional context implied by ""お急ぎ便が使い放題"", which suggests a special offer or feature of a service.
[Minor]: [accuracy/addition] - None
```"
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Points can be accumulated, a smartphone app is available, and there is a selection of hundreds of millions of products.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""数億種の品揃え"" translates to ""a selection of billions of products,"" not ""hundreds of millions of products.""
[Minor]: [accuracy/error_subcategory] - None
```"
