index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,"```
MQM annotations:
audience appropriateness error:
[Major]: [culture-specific reference] - The term ""prefectural discount trips"" may not be easily understood by an English-speaking audience unfamiliar with Japan's administrative divisions. It could be better explained or adapted for clarity.
```"
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,"```
MQM annotations:
audience appropriateness error:
[Minor]: [Culture-specific Reference] - The translation uses ""prefecture,"" which may not be a familiar administrative division term for all English-speaking audiences. A brief explanation or alternative term might enhance understanding.
```"
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,"```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""Pharmacist Job Transfer Sites"" may not be culturally appropriate or familiar to an English-speaking audience. In English-speaking contexts, ""job transfer"" typically refers to moving within the same company rather than changing jobs or employers, which is more accurately described as ""job change"" or ""job switch.""
```"
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""Job Change Site"" may not be familiar or culturally appropriate for English-speaking audiences, who might be more accustomed to terms like ""Job Portal"" or ""Job Board.""
```"
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.","```
MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""filing tax returns"" may not fully capture the cultural context of ""確定申告"" in Japan, which is a specific process with unique cultural and procedural nuances.
```"
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,"```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""Lumix"" may not be immediately recognizable to an English-speaking audience as a brand associated with hair removal salons. Providing additional context or explanation could help avoid confusion.
```"
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""SHR method"" might not be familiar to the general English-speaking audience without additional context or explanation, as it is a specific term related to hair removal technology.
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The brand name ""Lumix"" may not be recognized by the target audience as it could be specific to a particular region or market, leading to potential confusion without further context.
```"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","```
MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The translation uses ""WeSmile Orthodontics"" as the name of the service, which may not be immediately recognizable or culturally relevant to an English-speaking audience. It would be more appropriate to use a name that resonates with the target audience or provide additional context.
```"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","```
MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The translation uses ""yen,"" which is a Japanese currency and may not be familiar to all English-speaking audiences. It could be beneficial to provide a brief context or conversion for clarity.
```"
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","```
MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The price ""1,650 yen"" may not be immediately relatable or meaningful to an audience unfamiliar with Japanese currency. Providing a conversion to a more familiar currency could enhance cultural appropriateness.
```"
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,"```
MQM annotations:
audience appropriateness error:
[Minor]: [Culture-specific Reference] - The term ""0 yen"" might not be immediately understood by an audience unfamiliar with Japanese currency, and could be better adapted to the target audience by providing a brief explanation or conversion.
```"
29,不動産のことなら連合隊 - 北見不動産連合隊,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""","```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""Allied Force"" may not be culturally appropriate or understandable for an English-speaking audience in the context of real estate. It could be interpreted as a military reference, which might confuse the audience.
```"
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","```
MQM annotations:
Accuracy Errors
[Critical]: [audience_appropriateness/error_subcategory] - None
[Major]: [audience_appropriateness/error_subcategory] - None
[Minor]: [audience_appropriateness/culture-specific reference] - The term ""condominium"" might not be as commonly used or understood in all English-speaking regions compared to ""apartment"" or ""flat,"" which could lead to minor cultural misunderstanding.
```"
