index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this translation task, there are no design and markup errors present. The translation does not contain any markup tags, malformed HTML characters, or changes in emoji formats that would require annotation."
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this translation, there are no design and markup errors related to incorrect markup tags, malformed HTML characters, or changes in emoji formats. The translation is free from such issues."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

There are no design and markup errors in the translation provided. The source text uses brackets for the comparison table title, and the translation correctly reflects this without any malformed markup or changes in emoji formats."
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

There are no design and markup errors in the provided translation. The translation does not contain any malformed HTML characters, incorrect emoji formats, or other markup issues."
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this translation task, there are no design and markup errors present in the target text. The translation accurately reflects the source text without any issues related to markup tags, malformed HTML characters, or emoji format changes."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
``` 

Explanation: There are no design and markup errors in the translation provided. The translation correctly conveys the title without any markup issues or changes in emoji formats."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this translation task, there are no design and markup errors related to incorrect or malformed markup tags, malformed HTML characters, or changes in emoji formats. The source and target texts do not contain any markup elements that would require annotation under the specified guidelines."
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: markup tag - The brackets around ""Official"" in the target text do not match the source text's format, which uses Japanese brackets 【】.
```"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation provided. The source and target texts do not contain any markup tags, HTML characters, or emojis that could lead to design and markup errors."
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```

There are no design and markup errors in the translation provided. The source and target texts do not contain any markup tags, malformed HTML characters, or emoji formats that differ from each other."
