index,original,translated,linguistic_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""Tourism"" should not be capitalized as it is not a proper noun in this context.
```"
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""We"" should not be capitalized as it is not starting a new sentence.
```"
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""Introductions"" should not be capitalized as it is not a proper noun or the beginning of a sentence.
```"
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","```
MQM annotations:
linguistic conventions errors:
[Major]: [capitalization] - ""Job Change Site Rankings"" should be ""job change site rankings"" as it is not a title or proper noun.
```"
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The comma after ""returns"" is unnecessary and disrupts the flow of the sentence.
```"
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""Reservation"" should not be capitalized as it is not a proper noun or the start of a sentence.
```"
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - Missing comma after ""non-heating"" in the list for better readability.
[Minor]: capitalization - ""Lumix"" should be ""LUMIX"" as it is a brand name and typically stylized in all caps.
```"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","```
MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - ""WeSmile"" should be ""WeSmile"" as it is a proper noun and should be capitalized correctly.
```"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The colon after ""1,760 yen"" should be followed by a space for proper punctuation.
```"
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence should end with a period for proper punctuation.
```"
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The period at the end of the first sentence should be replaced with a comma for better flow.
```"
29,不動産のことなら連合隊 - 北見不動産連合隊,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""","```
MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - ""Allied Force"" should be ""allied force"" as it is not a proper noun.
[Minor]: [Punctuation] - The hyphen between ""Allied Force"" and ""Kitami Real Estate Allied Force"" should be replaced with a colon or comma for better readability.
```"
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The use of commas in the list ""Rental apartment, condominium, detached house."" is inconsistent with English conventions for listing items. It should be ""Rental apartment, condominium, and detached house.""
```"
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"""Closely connected to the local area; up to 30 photos; free property assessments also available.""","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The semicolon should be replaced with a comma for better flow in the sentence.
```"
36,お急ぎ便が使い放題。,Unlimited use of express delivery.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The sentence lacks a period at the end.
```"
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Points can be accumulated, a smartphone app is available, and there is a selection of hundreds of millions of products.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The use of commas in the list ""Points can be accumulated, a smartphone app is available, and there is a selection of hundreds of millions of products"" is inconsistent with English conventions for listing items. It would be more conventional to use a serial comma before ""and"" in a list of three or more items.
```"
45,あの人気漫画を今こそ一気読み。,Now is the time to binge-read that popular manga.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence could benefit from a period at the end for proper punctuation.
```"
46,全作品試し読みアリ・買うよりお得。,"""All works available for trial reading - more economical than buying.""","```
MQM annotations:
linguistic conventions errors:
[Major]: punctuation - The hyphen used in ""trial reading - more economical"" should be replaced with a dash (e.g., an em dash) for correct punctuation.
```"
50,クチコミ情報も満載です。,"The translation of the Japanese sentence ""クチコミ情報も満載です。"" to English is: ""It is also full of reviews.""","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The sentence should end with a period, but the translation ends with a period. This is not an error, so no punctuation error exists.
```"
51,タイムセールや限定プランも。,"""Time sales and exclusive plans, too.""","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""too"" is unnecessary and affects the punctuation convention.
```"
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,Easily book from home - Business hotels are well-equipped - Comprehensive plans - Earn points by registering as a member.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The use of hyphens between phrases is unconventional and affects the readability. Consider using commas or semicolons instead.
```"
54,端子台 貫通をこの価格で買える通販モノタロウ。,"""MonotaRO, an online store where you can buy terminal blocks with through-holes at this price.""","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""price"" is missing, which would improve the readability of the sentence.
```"
56,端子台 貫通の通販。,Terminal block through-hole online shopping.,"```
MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The phrase ""through-hole"" should be reordered to ""through hole"" for better clarity and flow.
[Minor]: [punctuation] - The sentence is missing a period at the end.
```"
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Budget Hotels Near Kii-Gobo Station - [Jalan] Official Website,"```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The hyphen in ""Budget Hotels Near Kii-Gobo Station"" should be replaced with an en dash for correct punctuation.
```"
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"If you're looking to book hotels or inns near Kii-Gobo Station, try Jalan.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - ""Jalan"" should be capitalized as ""jalan"" to match the brand's stylization.
```"
63,じゃらん限定・格安プランも充実。,Exclusive to Jalan: Affordable plans are also available.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The colon after ""Exclusive to Jalan"" is unnecessary and disrupts the flow of the sentence. A comma or no punctuation would be more appropriate.
```"
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Earn points with membership registration, many accommodations available for same-day booking, and great coupons currently being distributed.","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The comma before ""and great coupons currently being distributed"" is unnecessary and disrupts the flow of the sentence.
```"
