index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,"```
locale conventions:

MQM annotations:
Critical: locale_conventions/none - None
Major: locale_conventions/none - None
Minor: locale_conventions/none - None
```

Explanation: The translation ""Subsidy tours and prefectural discount trips with Club Tourism!"" does not contain any locale convention errors related to address format, currency format, date/time format, measurement format, number format, or telephone format. The translation is a straightforward conversion of the Japanese text into English without any locale-specific formatting issues."
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,"```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/none] - None
[Major]: [locale_conventions/none] - None
[Minor]: [locale_conventions/none] - None
```"
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,"```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```"
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/DATE/TIME FORMAT] - The year ""2022"" should be formatted according to the locale-specific convention, which typically includes a comma or other separator in English titles, e.g., ""2022, Latest Edition.""
[Minor]: [locale_conventions/error_subcategory] - None
```"
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.","```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

There are no locale convention errors in the provided translation. The text adheres to English locale conventions for the context provided."
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,"```
locale conventions:

MQM annotations:
Critical: locale_conventions/none - None
Major: locale_conventions/none - None
Minor: locale_conventions/none - None
```

In this translation, there are no locale convention errors related to address format, currency format, date/time format, measurement format, number format, or telephone format. The translation accurately reflects the source text without violating any locale-specific conventions."
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/measurement_format] - The term ""SHR method"" should be localized to ""SHR Method"" as it is a specific technical term and should follow English capitalization conventions.
```"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","```
locale conventions:

MQM annotations:
[Minor]: [locale_conventions/currency format] - The currency symbol ""yen"" should be placed after the numeric value in English locale conventions, i.e., ""1,760 yen"" instead of ""yen 1,760"".
```"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/currency_format] - The currency format in the translation does not follow English locale conventions, which typically place the currency symbol before the numeric value (e.g., ""$1,760"").
[Minor]: [locale_conventions/error_subcategory] - None
```"
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/currency_format] - The currency symbol ""yen"" should be placed after the numeric value according to Japanese locale conventions.
[Minor]: [locale_conventions/error_subcategory] - None
```"
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,"```
locale conventions:

MQM annotations:
[Minor]: [CURRENCY FORMAT] - In English, the currency symbol should be placed before the numeric value without a space, i.e., ""$0"" instead of ""0 yen.""
```"
29,不動産のことなら連合隊 - 北見不動産連合隊,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""","```
MQM annotations:
Accuracy Errors
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/NUMBER FORMAT] - The translation uses a hyphen in ""Allied Force - Kitami Real Estate Allied Force,"" which is not a standard practice in English for separating a title from a subtitle. A colon or em dash would be more appropriate.
```"
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","```
locale conventions:

MQM annotations:
[Critical]: [locale_conventions/error_subcategory] - None
[Major]: [locale_conventions/error_subcategory] - None
[Minor]: [locale_conventions/error_subcategory] - None
```

Explanation: The translation ""Rental apartment, condominium, detached house."" does not contain any locale convention errors related to address format, currency format, date/time format, measurement format, number format, or telephone format. The translation is straightforward and does not involve any locale-specific formatting requirements."
