index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The phrase ""Subsidy tours and prefectural discount trips with Club Tourism!"" is grammatically correct but sounds awkward and lacks natural flow in English. A more natural expression could be ""Join Club Tourism for subsidy tours and prefectural discount trips!""
```"
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,"```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""We introduce tours that utilize subsidies from each prefecture"" reads awkwardly and could be expressed more naturally in English, such as ""We present tours that make use of subsidies from each prefecture.""
```"
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,"```
MQM annotations:
major: style/unnatural flow - The phrase ""Pharmacist Job Transfer Sites"" is awkward and could be more naturally expressed as ""Pharmacist Job Sites"" or ""Pharmacist Career Sites.""
minor: style/unnatural flow - ""Recommended Introductions in a List Comparison Table"" is awkward and could be rephrased for better readability, such as ""Recommended Sites Compared in a Table.""
```"
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","```
MQM annotations:
Styles error:
Minor: UNNATURAL FLOW - The phrase ""Pharmacist Job Change Site Rankings"" reads awkwardly and could be more naturally expressed as ""Pharmacist Job Site Rankings for 2022"" or ""2022 Pharmacist Job Site Rankings.""
```"
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.","```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The phrase ""addressing any concerns you may have"" sounds awkward and overly complex for the context. A more natural expression could be ""to help with any concerns you may have.""
```"
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The phrase ""Top 5 in Reservation Rankings"" sounds slightly awkward and could be more naturally expressed as ""Top 5 Reservation Rankings.""
```"
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","```
MQM annotations:
Styles error:
Minor: UNNATURAL FLOW - The phrase ""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site"" reads awkwardly and lacks natural flow. A more natural translation might be ""Book your appointment at the Lumix hair removal salon using the fast, short-term, painless, and non-heating SHR method.""
```"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","```
MQM annotations:
Style Errors:
Minor: UNNATURAL FLOW - The phrase ""Orthodontics starting at 1,760 yen per month"" could be rephrased for more natural flow, such as ""Orthodontic treatment available from 1,760 yen per month.""
```"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The phrase ""If you're looking for an affordable option"" could be more naturally expressed as ""For an affordable option"" to improve flow.
```"
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","```
MQM annotations:
Style Errors
Minor: UNNATURAL FLOW - The phrase ""Now accepting applications for"" could be more naturally expressed as ""Applications are now open for"" or ""You can now sign up for"" to improve the flow and readability.
```"
