index,original,translated,locale_convention_annotation
1,助成金ツアー・県民割旅行ならクラブツーリズム！,Subsidy tours and prefectural discount trips with Club Tourism!,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""県民割旅行"" should be translated as ""prefectural discount travel"" instead of ""prefectural discount trips"" to align with the glossary specification.
```"
2,各都道府県毎の助成を活用したツアーをご紹介。,We introduce tours that utilize subsidies from each prefecture.,"```
MQM annotations:
Terminology errors:
None
```

In this translation, there are no terminology errors related to glossary entries. The translation correctly uses the term ""prefecture"" for ""都道府県"" and ""subsidies"" for ""助成,"" which are consistent with the context and do not exhibit any issues such as typos, capitalization errors, or incorrect inflections."
6,【比較表】薬剤師転職サイト - 一覧比較表でおすすめ紹介,[Comparison Table] Pharmacist Job Transfer Sites - Recommended Introductions in a List Comparison Table,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Job Transfer"" should be translated as ""転職"" in Japanese, which means ""career change"" or ""job change,"" rather than ""Job Transfer.""
```"
7,《2022年最新版》薬剤師転職サイトランキング。,"""2022 Latest Edition: Pharmacist Job Change Site Rankings.""","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Job Change"" should be translated as ""転職"" according to the glossary, but it is not highlighted or applied correctly in the translation.
```"
14,初めてのフリーランスで不安な集客や確定申告サポートもご用意しています。,"We offer support for attracting clients and filing tax returns, addressing any concerns you may have as a first-time freelancer.","```
MQM annotations:
Terminology errors:
None
```"
16,ルミクス脱毛のサロン紹介サイト - 予約数ランキングTOP5,Lumix Hair Removal Salon Introduction Site - Top 5 in Reservation Rankings,"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The term ""Lumix"" should be capitalized as ""LUMIX"" to match the brand's official styling.
```"
18,早い 短期間 痛くない 熱くないSHR方式のルミクス脱毛サロン予約サイト,"""Fast, short-term, painless, non-heating SHR method Lumix hair removal salon reservation site""","```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - ""Lumix"" should be ""LUMIX"" as per the glossary specification.
```"
19,月々1760円からできる歯科矯正 - 【公式】ウィスマイル矯正,"Orthodontics starting at 1,760 yen per month - [Official] WeSmile Orthodontics","```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The capitalization of ""WeSmile"" should be consistent with the brand's official styling, which may not necessarily be ""WeSmile"" if the official brand name uses a different capitalization.
```"
20,【1760円から】低価格ではじめるならウィスマイル矯正。,"""Starting from 1,760 yen: If you're looking for an affordable option, choose WisSmile orthodontics.""","```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - ""WisSmile"" should be ""Wissmile"" as per the glossary specification.
```"
23,1650円のお試しコース受付中。,"Now accepting applications for the 1,650 yen trial course.","```
MQM annotations:
Terminology errors:
no-error
```"
25,WEBから24時間予約受付中・格安マウスピース矯正・調整料0円。,Accepting reservations 24 hours a day online. Affordable mouthpiece orthodontics with a 0 yen adjustment fee.,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation. The terms used in the translation are appropriate and fit the context provided by the source text."
29,不動産のことなら連合隊 - 北見不動産連合隊,"""If it's about real estate, then the Allied Force - Kitami Real Estate Allied Force""","```
MQM annotations:
Terminology errors:
Major: WRONG TERM - The term ""Allied Force"" is not appropriate for ""連合隊"" in this context, as it refers to a group or association related to real estate, not a military alliance.
```"
31,賃貸アパート、マンション、一戸建て。,"Rental apartment, condominium, detached house.","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""condominium"" should be translated as ""apartment"" to match the glossary specification.
```"
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"""Closely connected to the local area; up to 30 photos; free property assessments also available.""","```
MQM annotations:
Terminology errors:
no-error
```"
36,お急ぎ便が使い放題。,Unlimited use of express delivery.,"```
MQM annotations:
Terminology errors:
no-error
```"
