index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competition is individual with a team classification, and features athletes from teams of the constituent entities of the Russian Federation, in one age group – men, women.","MQM annotations:
minor: culture-specific reference - The phrase ""constituent entities of the Russian Federation"" is technically accurate but might be less familiar or require more processing for a general English-speaking audience. A more accessible phrase like ""regions of Russia"" could improve readability and cultural appropriateness."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","Rescoring of results for athletes who did not participate in the competition is not carried out, and points are not awarded to the team standings.","MQM annotations:
no-error"
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can only compete for a team representing one territory.","MQM annotations:
minor: no-error
major: no-error
critical: no-error"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14th from 4:00 PM to 7:00 PM. On competition days — outside of competition times.,"MQM annotations:
audience appropriateness error:
None"
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,"Sai Coote will be located after the second turn, next to the shot put sector.","MQM annotations:
audience appropriateness error:
[critical]: no-error
[major]: no-error
[minor]: no-error"
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants are prohibited from leaving the competition venue without the referee's permission.,"MQM annotations:
no-error"
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m sprint and 60m hurdles, competitions are held in 3 rounds, and advancement to the next round will be determined after the entry deadline.","MQM annotations:
no-error"
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, there are qualifying rounds (if there are more than 16 athletes entered) and final competitions, for participation in which it is necessary to qualify.","MQM annotations:
no-error"
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The GSC technical meeting with official team representatives will be held on February 14th at 18:00 in the conference hall of the CSKA LFK arena.,"MQM annotations:
minor: culture-specific reference - ""CSKA LFK arena"" might not be readily understood by a general English-speaking audience without prior knowledge of Russian sports organizations. While technically accurate, providing a slightly more descriptive term (e.g., ""CSKA sports complex arena"") might improve understanding for some readers."
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and it's, of course, very sad: to proofread pages when your soul is yearning for Chabrol.","MQM annotations:
minor: culture-specific reference/unfamiliar reference - The reference to ""Chabrol"" might not be immediately understood by all English-speaking audiences, especially those unfamiliar with French New Wave cinema. Although not a major error, it could be a subtle point of exclusion."
