index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competition is individual with a team classification, and features athletes from teams of the constituent entities of the Russian Federation, in one age group – men, women.","locale conventions:

MQM annotations:"
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","Rescoring of results for athletes who did not participate in the competition is not carried out, and points are not awarded to the team standings.","locale conventions:

MQM annotations:"
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can only compete for a team representing one territory.","locale conventions:

MQM annotations:
minor: no-error"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14th from 4:00 PM to 7:00 PM. On competition days — outside of competition times.,"locale conventions:

MQM annotations:
There are no locale convention errors in this translation."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,"Sai Coote will be located after the second turn, next to the shot put sector.","locale conventions:

MQM annotations:"
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants are prohibited from leaving the competition venue without the referee's permission.,"locale conventions:

MQM annotations:"
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m sprint and 60m hurdles, competitions are held in 3 rounds, and advancement to the next round will be determined after the entry deadline.","locale conventions:

MQM annotations:"
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, there are qualifying rounds (if there are more than 16 athletes entered) and final competitions, for participation in which it is necessary to qualify.","locale conventions:

MQM annotations:
no error"
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The GSC technical meeting with official team representatives will be held on February 14th at 18:00 in the conference hall of the CSKA LFK arena.,"locale conventions:

MQM annotations:
minor: DATE/TIME FORMAT - While not strictly incorrect, ""18:00"" could be written as ""6:00 PM"" or ""6 PM"" for better readability in some English locales. However, ""18:00"" is perfectly acceptable and understandable, especially in more formal contexts. Therefore, it's a minor stylistic point."
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and it's, of course, very sad: to proofread pages when your soul is yearning for Chabrol.","```
locale conventions:

MQM annotations:
```"
62,"А еще мы в этот раз публикуем первую часть довольно подробного гида по творчеству Альфреда Хичкока, и вот тут уж точно не нужно ничего специально рекламировать, и ежу понятно, что автор «Подозрения» и «Веревки» - это наше Татьяна Алешичева, Борис Глейзеров, Анна Головня, Ник Де Семлин, Дэн Джолин, Тамара Дондурей, Николай Караев, Денис Корсаков, Мария Кувшинова, Иван Куликов, Уилл Лоуренс, Сергей Мезенов, Сергей Натапов, Иан Нейтан, Ким Ньюмэн, Заира Озова, Нев Пирс, Алексей Простяков, Серафима Скибюк, Адам Смит, Мур Соболева, Василий Степанов, Александр Стрелков, Олли Ричардс, Олег Тищенков, Алена Логунова, Крис Хьюитт, Ольга Шакина лондинку-цэрэушницу Эвелин Солт, несмотря на блестящий послужной список, заподозрили в шпионаже в пользу русских и решили во что бы то ни стало изловить.","And this time, we're also publishing the first part of a rather detailed guide to the work of Alfred Hitchcock, and there's definitely no need to advertise anything specifically here. It's crystal clear that the authors of this guide on the creator of ""Suspicion"" and ""Rope"" are Tatiana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlyen, Dan Jolin, Tamara Dondurey, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergei Mezenov, Sergei Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexei Prostyakov, Serafima Skibyuk, Adam Smith, Moor Soboleva, Vasily Stepanov, Alexander Strelkov, Ollie Richards, Oleg Tishchenkov, Alena Logunova, Chris Hewitt, and Olga Shakina. They suspected Evelyn Salt, the blonde CIA agent, despite her brilliant track record, of spying for the Russians and decided to catch her at all costs.","locale conventions:

MQM annotations:"
63,"Загнанная в угол, она перекрасится в привычный нам черный и сама отправится искать правду.","Cornered, she'll revert to our familiar black and go in search of the truth herself.","locale conventions:

MQM annotations:"
66,Примерно так красота и должна спасать мир.,That's roughly how beauty should save the world.,"locale conventions:

MQM annotations:"
67,"Вот он, родной, взорвавший и починивший мир «Пятым элементом» и сделавший Миллу Йовович самой прекрасной женщиной во вселенной.","Here he is, the man who blew up and fixed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","locale conventions:

MQM annotations:"
70,Что делал Бессон 13 лет между «Элементом...» и «Аделью...» вспоминать не хочется.,"It's best not to remember what Besson did for 13 years between ""The Fifth Element..."" and ""Adele...""","locale conventions:

MQM annotations:"
71,"Он, мягко говоря, без дела не сидел, но вся эта сценарно-продюсерская суета и редкие, вымученные режиссерские выступления забудутся.","To put it mildly, he wasn't idle, but all this screenwriting and producing bustle and rare, labored directorial appearances will be forgotten.","locale conventions:

MQM annotations:"
72,А вот «Адель...» — едва ли.,"But ""Adele..."" - hardly.","locale conventions:

MQM annotations:"
73,"Когда смотришь это кино, кажется, что 13 лет перед нами был не наш Бессон, а какой-то двойник.","Watching this movie, it seems that the Besson of 13 years ago wasn't our Besson at all, but some kind of double.","locale conventions:

MQM annotations:"
76,"Тут весь невероятный драйв заключается в том, что за каждым поворотом или репликой вас поджидают сюрпризы.",The incredible thrill here lies in the fact that surprises await you around every corner or with every line.,"locale conventions:

MQM annotations:"
77,И все как один приятные.,"And all are pleasant, to a man.","locale conventions:

MQM annotations:"
78,"То ли девушка, то ли видение","Either a girl, or a vision","locale conventions:

MQM annotations:"
