index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competition is individual with a team classification, and features athletes from teams of the constituent entities of the Russian Federation, in one age group – men, women.","MQM annotations:
Style Errors:
minor: style/unnatural flow - ""The competition is individual with a team classification"" could be phrased more naturally.
minor: style/unnatural flow - ""and features athletes from teams of the constituent entities of the Russian Federation"" is a bit wordy and could be simplified.
minor: style/unnatural flow - The repetition of ""in one age group"" might be slightly awkward. Consider rewording for better flow."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","Rescoring of results for athletes who did not participate in the competition is not carried out, and points are not awarded to the team standings.","MQM annotations:
minor: style/unnatural flow - ""Rescoring of results for athletes who did not participate in the competition is not carried out"" sounds a bit formal and could be phrased more naturally. A more natural wording might be ""Results will not be rescored for athletes who did not participate...""
```"
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can only compete for a team representing one territory.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""representing one territory"" sounds slightly awkward. A more natural phrasing might be ""from one territory"" or ""for a single territory."""
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14th from 4:00 PM to 7:00 PM. On competition days — outside of competition times.,"MQM annotations:
Style error:
minor: unnatural flow - ""On competition days — outside of competition times."" sounds slightly awkward. A more natural phrasing might be ""On competition days, training is permitted outside of competition times."""
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,"Sai Coote will be located after the second turn, next to the shot put sector.","MQM annotations:
Style Errors:
minor: Unnatural Flow - While grammatically correct, ""after the second turn, next to the shot put sector"" sounds somewhat awkward and could be phrased more naturally in English. A more natural wording might be ""past the second turn"" or ""beyond the second turn""."
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants are prohibited from leaving the competition venue without the referee's permission.,"MQM annotations:
minor: style/unnatural flow - ""Participants are prohibited from leaving"" is a bit formal and stiff. A more natural phrasing might be ""Participants may not leave"" or ""Participants cannot leave""."
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m sprint and 60m hurdles, competitions are held in 3 rounds, and advancement to the next round will be determined after the entry deadline.","MQM annotations:
Minor: Unnatural Flow - The phrase ""advancement to the next round will be determined after the entry deadline"" sounds a bit awkward and could be phrased more naturally."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, there are qualifying rounds (if there are more than 16 athletes entered) and final competitions, for participation in which it is necessary to qualify.","MQM annotations:
minor: style/unnatural flow - The phrase ""for participation in which it is necessary to qualify"" sounds slightly awkward and could be phrased more naturally, such as ""requiring qualification."""
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The GSC technical meeting with official team representatives will be held on February 14th at 18:00 in the conference hall of the CSKA LFK arena.,"MQM annotations:
minor: style/unnatural flow - ""CSKA LFK arena"" sounds slightly unnatural. ""CSKA LFK training complex"" or ""CSKA LFK sports complex"" might flow better, depending on the context."
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and it's, of course, very sad: to proofread pages when your soul is yearning for Chabrol.","MQM annotations:
Style Errors:
minor: unnatural flow - ""to proofread pages when your soul is yearning for Chabrol"" sounds slightly unnatural. While understandable, it could be phrased more elegantly in English."
