index,original,translated,accuracy_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately reflects the meaning of the source Russian text. There are no accuracy errors identified."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","MQM annotations:
Accuracy Errors
[Major]: accuracy/omission - The translation does not mention that points for the team standings are not awarded.
[Minor]: no-error"
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay racing, athletes can only compete for a team from one territory.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""athletes can only compete for a team from one territory"" does not fully reflect the meaning of the source text, which states that athletes can only compete for a team from the same territory, not just any territory.
[Minor]: none"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The translation accurately conveys the meaning of the source text. There are no accuracy errors identified."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,The shot put sector will be located behind the second turn next to the shot put sector.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""The shot put sector"" should be ""The shot put circle"" as the source text refers to the sector for shot put, not the entire sector.
[Minor]: accuracy/addition - ""next to the shot put sector"" is redundant as the source text already mentions the shot put sector."
29,Уход участников с места соревнований без разрешения рефери запрещается.,Leaving the competition venue without the referee's permission is prohibited.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Leaving the competition venue without the referee's permission is prohibited"" does not fully capture the meaning of the source text ""Уход участников с места соревнований без разрешения рефери запрещается"", which specifically prohibits participants from leaving the competition venue without the referee's permission.
[Minor]: none"
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The translation accurately reflects the meaning of the source text. There are no accuracy errors identified."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately reflects the meaning of the Russian source text. There are no accuracy errors identified."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The translation accurately conveys the meaning of the source text. There are no accuracy errors identified."
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""to proofread the pages"" does not accurately reflect the meaning of ""вычитывать полосы"" which implies the process of reviewing and editing the content of the pages.
[Minor]: accuracy/addition - ""of course"" is added without a clear equivalent in the source text."
62,"А еще мы в этот раз публикуем первую часть довольно подробного гида по творчеству Альфреда Хичкока, и вот тут уж точно не нужно ничего специально рекламировать, и ежу понятно, что автор «Подозрения» и «Веревки» - это наше Татьяна Алешичева, Борис Глейзеров, Анна Головня, Ник Де Семлин, Дэн Джолин, Тамара Дондурей, Николай Караев, Денис Корсаков, Мария Кувшинова, Иван Куликов, Уилл Лоуренс, Сергей Мезенов, Сергей Натапов, Иан Нейтан, Ким Ньюмэн, Заира Озова, Нев Пирс, Алексей Простяков, Серафима Скибюк, Адам Смит, Мур Соболева, Василий Степанов, Александр Стрелков, Олли Ричардс, Олег Тищенков, Алена Логунова, Крис Хьюитт, Ольга Шакина лондинку-цэрэушницу Эвелин Солт, несмотря на блестящий послужной список, заподозрили в шпионаже в пользу русских и решили во что бы то ни стало изловить.","Here is the translation from Russian to English:

And this time we are also publishing the first part of a rather detailed guide to the work of Alfred Hitchcock, and here it is definitely not necessary to advertise anything specially, and it is clear to everyone that the author of ""Suspicion"" and ""Rope"" is our Tatyana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlin, Dan Jolin, Tamara Dondureyev, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibuk, Adam Smith, Moor Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenko, Alena Logunova, Chris Hewitt, Olga Shakina the London-based CIA agent Evelyn Salt, despite her brilliant service record, was suspected of spying for the Russians and decided to catch her at all costs.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""the author of 'Suspicion' and 'Rope' is our Tatyana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlin, Dan Jolin, Tamara Dondureyev, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibuk, Adam Smith, Moor Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenko, Alena Logunova, Chris Hewitt, Olga Shakina"" does not accurately reflect the meaning of the source text, which states that these are the authors of the guide on Alfred Hitchcock's work, not the author of the films ""Suspicion"" and ""Rope"".
[Minor]: accuracy/addition - The addition of ""the London-based CIA agent Evelyn Salt, despite her brilliant service record, was suspected of spying for the Russians and decided to catch her at all costs"" is not present in the source text."
63,"Загнанная в угол, она перекрасится в привычный нам черный и сама отправится искать правду.","Cornered, she will dye herself in the familiar black and go in search of the truth.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""dye herself in the familiar black"" does not accurately reflect the meaning of the source text, which is that she will ""transform into the familiar black color"".
[Minor]: accuracy/addition - The translation ""go in search of the truth"" adds the phrase ""in search of"" which is not present in the source text."
66,Примерно так красота и должна спасать мир.,"Beauty should save the world, roughly like that.","MQM annotations:
Accuracy Errors
[Minor]: [accuracy/addition] - The translation adds the word ""roughly"" which is not present in the source text."
67,"Вот он, родной, взорвавший и починивший мир «Пятым элементом» и сделавший Миллу Йовович самой прекрасной женщиной во вселенной.","Here he is, the native, who blew up and fixed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""who blew up and fixed the world with ""The Fifth Element"""" does not accurately reflect the meaning of the source text, which states that the person ""взорвавший и починивший мир «Пятым элементом»"" (blew up and fixed the world with ""The Fifth Element"").
[Minor]: accuracy/addition - The translation ""and made Milla Jovovich the most beautiful woman in the universe"" adds additional information not present in the source text."
70,Что делал Бессон 13 лет между «Элементом...» и «Аделью...» вспоминать не хочется.,"What Besson did for 13 years between ""The Element..."" and ""Adele..."" is not something he wants to remember.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""is not something he wants to remember"" does not fully reflect the meaning of the source text, which suggests that Besson may not want to recall what he did for 13 years between the two films.
[Minor]: [accuracy/omission] - The translation omits the specific film titles mentioned in the source text, ""The Element..."" and ""Adele..."", which provide important context."
71,"Он, мягко говоря, без дела не сидел, но вся эта сценарно-продюсерская суета и редкие, вымученные режиссерские выступления забудутся.","He, to put it mildly, was not idle, but all this scenario-producing hustle and rare, agonized directorial performances will be forgotten.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The phrase ""was not idle"" does not fully capture the meaning of the Russian phrase ""мягко говоря, без дела не сидел"", which suggests that the person was actively engaged in various activities, not just idle.
[Minor]: accuracy/addition - The phrase ""all this scenario-producing hustle and rare, agonized directorial performances"" adds more specificity to the activities described in the source text, which is not necessarily a direct translation."
72,А вот «Адель...» — едва ли.,"""Adele...""—hardly.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""Adele..."" does not fully reflect the meaning of the source text ""А вот «Адель...» — едва ли."", which expresses doubt or uncertainty about the topic of ""Adele""."
73,"Когда смотришь это кино, кажется, что 13 лет перед нами был не наш Бессон, а какой-то двойник.","When you watch this movie, it seems that 13 years ago it was not our Besson, but some kind of double.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""some kind of double"" does not accurately reflect the meaning of the source text, which suggests that the director Besson was not the same person 13 years ago, but rather a different person or ""double"".
[Minor]: none"
76,"Тут весь невероятный драйв заключается в том, что за каждым поворотом или репликой вас поджидают сюрпризы.","Here, the incredible drive is that surprises await you around every corner or line.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""the incredible drive is that surprises await you around every corner or line"" does not fully capture the meaning of the source text, which is that the ""incredible drive"" comes from the fact that there are surprises around every corner or line.
[Minor]: none"
77,И все как один приятные.,And they are all pleasant.,"MQM annotations:
Accuracy Errors
[Minor]: [accuracy/addition] - The translation ""And they are all pleasant"" adds the word ""they"" which is not present in the source text ""И все как один приятные."""
78,"То ли девушка, то ли видение","A vision, or a girl.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""A vision, or a girl"" does not fully capture the nuance of the Russian source text ""То ли девушка, то ли видение"", which suggests a sense of uncertainty or ambiguity about whether the subject is a girl or a vision/apparition."
84,"Режиссер не бежит за зрителем с протянутой рукой, умоляя оценить спецэффекты, декорации или трюки, а увлекает за собой, как старомодный романист, восклицающий пред большим путешествием к центру земли или на край света: «Вперед, мой читатель, нас ждут великие дела!»","The director does not run after the viewer with an outstretched hand, begging to appreciate the special effects, sets, or stunts, but rather draws them in, like an old-fashioned novelist, exclaiming before a great journey to the center of the earth or to the edge of the world: ""Forward, my reader, great deeds await us!""","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""draws them in, like an old-fashioned novelist"" does not fully capture the meaning of the source text, which describes the director as ""not running after the viewer with an outstretched hand, begging to appreciate the special effects, sets, or stunts, but rather drawing them in"".
[Minor]: no-error"
85,"При этом Бессон обращается с жанровым кино, про которое знает решительно все, бесцеремонно и весело, как мальчишка, насмотревшийся старых фильмов и начитавшийся Жюля Верна.","At the same time, Besson deals with genre cinema, about which he knows absolutely everything, unceremoniously and cheerfully, like a boy who has watched old movies and read Jules Verne.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""like a boy who has watched old movies and read Jules Verne"" does not fully capture the meaning of the source text, which describes Besson's approach to genre cinema as ""unceremoniously and cheerfully, like a boy who has watched old movies and read Jules Verne.""
[Minor]: [accuracy/addition] - The translation adds the phrase ""at the same time"" which is not present in the source text."
86,"Манипулируя банальностями, не отказывая себе в цинизме и не стесняясь риско","Manipulating banalities, not denying oneself cynicism and not being ashamed of risk.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Manipulating banalities, not denying oneself cynicism and not being ashamed of risk"" does not fully capture the meaning of the source text, which is more about not shying away from risk and cynicism while dealing with commonplace matters.
[Minor]: accuracy/addition - The translation adds the phrase ""oneself"" which is not present in the source text."
90,"Город переполошило древнее чудовище, которое пробудил к жизни старый медиум.","The ancient monster, which an old medium awakened to life, has thrown the city into a state of turmoil.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""has thrown the city into a state of turmoil"" does not fully capture the meaning of the source text, which indicates that the ancient monster ""переполошило"" (agitated, alarmed) the city.
[Minor]: no-error"
92,С той же целью девушка тащит из Египта настоящую мумию.,A girl drags a real mummy from Egypt for the same purpose.,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""A girl drags a real mummy from Egypt for the same purpose"" does not accurately reflect the meaning of the source text ""С той же целью девушка тащит из Египта настоящую мумию."" The source text suggests that the girl is bringing the mummy from Egypt for the same purpose as something mentioned earlier, but the translation does not convey this context."
96,"Стиль Бессона в этом фильме складывается из словесного трюкачества, актерской клоунады и сюжетной эквилибристики (цирковые термины вполне уместны - единение двух искусств здесь органично и крепко как никогда).","The style of Besson in this film is made up of verbal trickery, acting clownery, and plot acrobatics (circus terms are quite appropriate - the unity of the two arts here is as organic and strong as ever).","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""acting clownery"" does not fully capture the meaning of ""актерской клоунады"" in the source text, which suggests a more exaggerated, theatrical style of acting.
[Minor]: [accuracy/addition] - The phrase ""as ever"" is added in the translation, which is not present in the source text."
98,"В ней воплотился незаслуженно забытый типаж авантюристки, которая берет не столько эксплуатацией сексуальности, сколько чистейшим куражом и отвагой.","In her, the undeservedly forgotten type of the adventuress was embodied, who takes not so much by the exploitation of sexuality, but by the purest daring and courage.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""who takes not so much by the exploitation of sexuality, but by the purest daring and courage"" does not fully capture the meaning of the source text, which describes the character as an ""undeservedly forgotten type of the adventuress"" who embodies this archetype.
[Minor]: no-error"
99,"В кино к таким девушкам, как правило, приставляют какого-нибудь дежурного мачо или волоокого романтика",A typical movie scenario involves pairing such girls with a standard macho man or a dreamy romantic.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""a standard macho man or a dreamy romantic"" does not fully capture the meaning of the source text ""какого-нибудь дежурного мачо или волоокого романтика"", which suggests a more generic or stereotypical type of male character rather than a ""standard"" one.
[Minor]: no-error"
104,"Натренированный на многочисленных жанровых «кошках» и, казалось, совсем скисший Люк Бессон проявил неожиданную творческую лихость, напомнив, что граница между предпочтениями скучающих посетителей мегамоллов и высоколобых завсегдатаев арт-хаусных залов легко преодолевается фильмами для жизнерадостных безумцев.","Trained on numerous genre ""cats"" and, it seemed, completely soured, Luc Besson showed unexpected creative daring, reminding that the boundary between the preferences of bored visitors of megamalls and high-browed regulars of art-house halls is easily overcome by films for cheerful madmen.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""completely soured"" does not accurately reflect the meaning of the source text, which suggests that Luc Besson showed ""unexpected creative daring"".
[Minor]: accuracy/mistranslation - The translation ""high-browed regulars of art-house halls"" does not precisely capture the meaning of the source text, which refers to ""high-browed visitors of art-house halls""."
