index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""команд субъектов РФ"" (teams of the constituent entities of the Russian Federation) may not be familiar or relevant to an English-speaking audience outside of Russia.
[Minor]: WRONG LANGUAGE VARIETY - The use of the term ""мужчины, женщины"" (men, women) instead of more common English equivalents like ""male, female"" or ""men, women"" may sound slightly unusual to an English-speaking audience."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""points for the team standings are not awarded"" may not be a common or intuitive concept for some target audiences, as the idea of team standings and points may not be universally understood."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay racing, athletes can only compete for a team from one territory.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""territory"" may not be the most appropriate or common way to refer to the geographical areas that teams represent in relay racing for the target English-speaking audience. A more natural term like ""region"" or ""country"" may be more suitable."
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""competition arena"" may not be a common term for the target audience and could be replaced with a more familiar term like ""competition venue"" or ""competition field"".
[Minor]: WRONG LANGUAGE VARIETY - The phrase ""competition days"" may not be the most natural way to express the concept in the target language and could be rephrased as ""days of competition"" or ""during the competition""."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,The shot put sector will be located behind the second turn next to the shot put sector.,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""shot put sector"" may not be familiar or intuitive for the target English-speaking audience, as it refers to a specific sports facility that may not be widely known outside of the context of the sport.
[Minor]: WRONG LANGUAGE VARIETY - The phrase ""second turn"" is a direct translation from the source language and may not be the most natural or idiomatic way to express the concept in English. A more common term like ""second curve"" or ""second bend"" would be more appropriate."
29,Уход участников с места соревнований без разрешения рефери запрещается.,Leaving the competition venue without the referee's permission is prohibited.,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""referee"" may not be a commonly used or understood term in the target culture, and a more culturally appropriate term such as ""judge"" or ""official"" may be more suitable."
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""the next round"" may not be clear to the target audience, as the concept of rounds in competitions may not be a common cultural reference.
[Minor]: WRONG LANGUAGE VARIETY - The use of ""the registration"" instead of a more natural-sounding term like ""sign-ups"" or ""enrollment"" may not align with the typical language used in the target culture for this context."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""qualify"" may not be immediately clear to the target audience, as the concept of qualifying for a competition may not be as common in some cultures.
[Minor]: WRONG LANGUAGE VARIETY - The use of the phrase ""for participation in which it is necessary to qualify"" may sound overly formal or technical for some target audiences, and a more natural phrasing may be more appropriate."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,"MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""LFK CSKA"" may not be familiar to the target audience and could benefit from additional context or explanation."
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","MQM annotations:
audience appropriateness errors:

Major: culture-specific reference - The reference to ""Chabrol"" may not be widely understood by the target audience, as he was a French film director who was not as well-known internationally.

Minor: style/awkward - The phrase ""to proofread the pages when the soul yearns for Chabrol"" sounds unusual and may not resonate well with the target audience."
62,"А еще мы в этот раз публикуем первую часть довольно подробного гида по творчеству Альфреда Хичкока, и вот тут уж точно не нужно ничего специально рекламировать, и ежу понятно, что автор «Подозрения» и «Веревки» - это наше Татьяна Алешичева, Борис Глейзеров, Анна Головня, Ник Де Семлин, Дэн Джолин, Тамара Дондурей, Николай Караев, Денис Корсаков, Мария Кувшинова, Иван Куликов, Уилл Лоуренс, Сергей Мезенов, Сергей Натапов, Иан Нейтан, Ким Ньюмэн, Заира Озова, Нев Пирс, Алексей Простяков, Серафима Скибюк, Адам Смит, Мур Соболева, Василий Степанов, Александр Стрелков, Олли Ричардс, Олег Тищенков, Алена Логунова, Крис Хьюитт, Ольга Шакина лондинку-цэрэушницу Эвелин Солт, несмотря на блестящий послужной список, заподозрили в шпионаже в пользу русских и решили во что бы то ни стало изловить.","Here is the translation from Russian to English:

And this time we are also publishing the first part of a rather detailed guide to the work of Alfred Hitchcock, and here it is definitely not necessary to advertise anything specially, and it is clear to everyone that the author of ""Suspicion"" and ""Rope"" is our Tatyana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlin, Dan Jolin, Tamara Dondureyev, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibuk, Adam Smith, Moor Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenko, Alena Logunova, Chris Hewitt, Olga Shakina the London-based CIA agent Evelyn Salt, despite her brilliant service record, was suspected of spying for the Russians and decided to catch her at all costs.","MQM annotations:
Audience Appropriateness Errors
[Major]: CULTURE-SPECIFIC REFERENCE - The reference to ""Suspicion"" and ""Rope"" as the author's works may not be immediately recognizable or meaningful to all readers, as these are specific film titles by Alfred Hitchcock.
[Minor]: WRONG LANGUAGE VARIETY - The use of the term ""цэрэушницу"" (a Russian abbreviation for ""CIA agent"") may not be a common or expected term in the target English audience."
