index,original,translated,linguistic_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","MQM annotations:
linguistic conventions errors:
[minor]: capitalization - The first letter of ""men"" and ""women"" should be capitalized to follow the conventions of the English language.
[minor]: punctuation - The comma after ""women"" should be removed as it is not necessary in this context."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","Source Russian:
Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.

Translation English:
The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.

MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - Missing comma after ""competitions""."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay racing, athletes can only compete for a team from one territory.","MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Missing comma after ""спортсмены""."
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - Missing period at the end of the sentence.
[Minor]: [whitespace] - Inconsistent spacing around the dash."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,The shot put sector will be located behind the second turn next to the shot put sector.,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The order of ""shot put sector"" and ""shot put sector"" is incorrect. The translation should be ""The shot put sector will be located behind the second turn next to the shot put area."""
29,Уход участников с места соревнований без разрешения рефери запрещается.,Leaving the competition venue without the referee's permission is prohibited.,"MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The sentence is missing a period at the end."
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.","MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Missing period at the end of the sentence.
[Minor]: [Capitalization] - ""Beeg"" should be capitalized as ""Beg""."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - Missing comma after ""qualifying"".
[Minor]: [word order] - The phrase ""for participation in which it is necessary to qualify"" should be placed at the end of the sentence for better flow."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - ""LFK CSKA"" should be capitalized as ""LFK CSKA"".
[Minor]: punctuation - The comma after ""18:00"" should be a period."
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is not natural, as the phrase ""when the soul yearns for Chabrol"" should be placed closer to the beginning of the sentence."
62,"А еще мы в этот раз публикуем первую часть довольно подробного гида по творчеству Альфреда Хичкока, и вот тут уж точно не нужно ничего специально рекламировать, и ежу понятно, что автор «Подозрения» и «Веревки» - это наше Татьяна Алешичева, Борис Глейзеров, Анна Головня, Ник Де Семлин, Дэн Джолин, Тамара Дондурей, Николай Караев, Денис Корсаков, Мария Кувшинова, Иван Куликов, Уилл Лоуренс, Сергей Мезенов, Сергей Натапов, Иан Нейтан, Ким Ньюмэн, Заира Озова, Нев Пирс, Алексей Простяков, Серафима Скибюк, Адам Смит, Мур Соболева, Василий Степанов, Александр Стрелков, Олли Ричардс, Олег Тищенков, Алена Логунова, Крис Хьюитт, Ольга Шакина лондинку-цэрэушницу Эвелин Солт, несмотря на блестящий послужной список, заподозрили в шпионаже в пользу русских и решили во что бы то ни стало изловить.","Here is the translation from Russian to English:

And this time we are also publishing the first part of a rather detailed guide to the work of Alfred Hitchcock, and here it is definitely not necessary to advertise anything specially, and it is clear to everyone that the author of ""Suspicion"" and ""Rope"" is our Tatyana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlin, Dan Jolin, Tamara Dondureyev, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibuk, Adam Smith, Moor Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenko, Alena Logunova, Chris Hewitt, Olga Shakina the London-based CIA agent Evelyn Salt, despite her brilliant service record, was suspected of spying for the Russians and decided to catch her at all costs.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The names of the authors (e.g., Tatyana Aleshicheva, Boris Gleizerov, etc.) are not consistently capitalized.
[Minor]: punctuation - The comma after ""Ежу понятно"" is unnecessary.
[Minor]: spelling - The name ""Эвелин Солт"" should be ""Эвелин Солт""."
63,"Загнанная в угол, она перекрасится в привычный нам черный и сама отправится искать правду.","Cornered, she will dye herself in the familiar black and go in search of the truth.","MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation does not match the natural flow of the target language. The phrase ""she will dye herself in the familiar black and go in search of the truth"" would be more natural in English."
66,Примерно так красота и должна спасать мир.,"Beauty should save the world, roughly like that.","MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the English translation does not match the natural flow of the Russian source text."
67,"Вот он, родной, взорвавший и починивший мир «Пятым элементом» и сделавший Миллу Йовович самой прекрасной женщиной во вселенной.","Here he is, the native, who blew up and fixed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation is slightly different from the source text, affecting the natural flow of the language."
70,Что делал Бессон 13 лет между «Элементом...» и «Аделью...» вспоминать не хочется.,"What Besson did for 13 years between ""The Element..."" and ""Adele..."" is not something he wants to remember.","MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation does not match the source text. The phrase ""is not something he wants to remember"" should be placed at the end of the sentence.

The corrected translation would be:
What Besson did for 13 years between ""The Element..."" and ""Adele..."" is not something he wants to remember."
71,"Он, мягко говоря, без дела не сидел, но вся эта сценарно-продюсерская суета и редкие, вымученные режиссерские выступления забудутся.","He, to put it mildly, was not idle, but all this scenario-producing hustle and rare, agonized directorial performances will be forgotten.","MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The comma after ""мягко говоря"" is not necessary in the English translation.
[Minor]: word order - The phrase ""вся эта сценарно-продюсерская суета и редкие, вымученные режиссерские выступления"" is translated in a slightly different order compared to the source text."
