index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""мужчины, женщины"" should be formatted according to the Russian locale convention."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","locale conventions:

MQM annotations:
[Minor]: [no-error] - There are no locale convention errors in the given translation."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay racing, athletes can only compete for a team from one territory.","locale conventions:

MQM annotations:
[Minor]: [no-error] - There are no locale convention errors in the given translation."
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the target text ""February 14"" does not match the locale-specific convention in English, which is typically ""14 February""."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,The shot put sector will be located behind the second turn next to the shot put sector.,"Locale conventions:

MQM annotations:
[Major]: [ADDRESS FORMAT] - The translation incorrectly places ""sector"" after ""shot put"" instead of ""shot put sector"" as mentioned in the source text."
29,Уход участников с места соревнований без разрешения рефери запрещается.,Leaving the competition venue without the referee's permission is prohibited.,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The translation does not follow the correct address format for the target language."
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.","locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the target text ""09.02.2024"" does not match the format used in the source text ""09-02-2024""."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""16"" should be formatted according to the target language's conventions."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the target text ""February 14 at 6:00 PM"" does not match the Russian locale convention, which typically uses the 24-hour clock format (e.g., 18:00)."
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the target text ""09.02.2024"" does not match the format used in the source text ""09-02-2024""."
