index,original,zero_shot_translation,annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the word ""личные"" (individual) from the source text.
[Minor]: [mistranslation] - The translation uses ""athletes from teams"" instead of ""athletes of teams"" as in the source text.

Fluency Errors
[Minor]: [grammar] - The translation uses ""participate"" instead of ""participating"" to match the structure of the source text.

Locale Convention Errors
[No Errors]

Style Errors
[Minor]: [awkward] - The translation sounds a bit awkward and could be rephrased more naturally.

Terminology Errors
[No Errors]

Non-translation Errors
[No Errors]

Other Errors
[No Errors]"
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the phrase ""перезачет результатов"", which is an important detail about the results not being transferred.

Fluency Errors
[Minor]: [grammar] - The translation uses the passive voice (""are not transferred"") instead of the more natural active voice (""are not transferred"").

Terminology Errors
[Minor]: [inconsistent use] - The term ""соревнования"" is translated as ""competitions"" in the first part, but ""standings"" in the second part, which is not fully consistent.

Overall, the translation is generally accurate and understandable, with only minor errors that do not significantly impact the meaning or flow of the text."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay racing, athletes can only compete for a team from one territory.","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The source text mentions that athletes can only compete for a team from one territory, but the translation does not include the word ""only"".

Fluency Errors
[No errors]

Locale Convention Errors
[No errors]

Style Errors
[No errors]

Terminology Errors
[No errors]

Non-Translation Errors
[No errors]

Other Errors
[No errors]"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the information about the training schedule on competition days.

Fluency Errors
[Minor]: [punctuation] - The translation lacks a period at the end of the second sentence.

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only minor issues related to omission of information and punctuation. The translation conveys the key details of the training schedule effectively."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,The shot put sector will be located behind the second turn next to the shot put sector.,"MQM annotations:
Accuracy Errors
[Major]: [mistranslation] - The source text refers to the ""Сай Коот"" (Sai Koot), which is likely a proper noun referring to a location, but the translation renders it as ""shot put sector"" which is incorrect.
[Minor]: [omission] - The source text mentions that the location will be ""рядом с сектором толкания ядра"" (next to the shot put sector), but this detail is missing from the translation.

Fluency Errors
[Minor]: [grammar] - The translation uses the phrase ""will be located"" which is grammatically correct, but a more natural phrasing in English would be ""is located"".

Locale Convention Errors
[No Errors]

Style Errors
[Minor]: [awkward] - The phrasing ""behind the second turn next to the shot put sector"" is a bit awkward and could be rephrased more naturally.

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation has a few minor issues with accuracy, fluency, and style, but the meaning is still generally understandable."
29,Уход участников с места соревнований без разрешения рефери запрещается.,Leaving the competition venue without the referee's permission is prohibited.,"MQM annotations:
Accuracy Errors
[Minor]: [Omission] - The translation does not include the word ""participants"" which is present in the source text.

Fluency Errors
[Minor]: [Register] - The translation uses more formal language (""venue"" instead of ""place"") compared to the source text.

Locale Convention Errors
[No Error]

Terminology Errors
[No Error]

Overall, the translation is accurate and fluent, with only minor issues related to omission of a word and register. The translation conveys the meaning of the source text effectively."
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the information about the criteria for advancing to the next round (determined by the end of registration).

Fluency Errors
[Minor]: [grammar] - The translation uses the phrase ""the advancement to the next round will be determined"" which is grammatically correct but could be more natural-sounding in English.

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the comprehension of the text."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the word ""заявленным"" (entered) from the source text.

Fluency Errors
[Minor]: [grammar] - The translation uses the phrase ""for participation in which it is necessary to qualify"" which is grammatically correct but could be more natural and idiomatic.

Terminology Errors
[Minor]: [inappropriate for context] - The term ""jumps and throws"" is a bit too technical and could be more naturally expressed as ""jumping and throwing events"".

Overall, the translation is generally accurate and understandable, with only minor errors that do not significantly impact the meaning or flow of the text."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The time of the meeting is mistranslated from 18:00 to 6:00 PM.

Fluency Errors
[Minor]: [Punctuation] - The translation lacks a period at the end of the sentence.

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]"
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""Chabrol"" does not accurately convey the meaning of the Russian phrase ""Шаброль"" which refers to the Moscow Film Festival.

Fluency Errors
[Minor]: [grammar] - The sentence structure in the translation is slightly awkward, e.g. ""to proofread the pages when the soul yearns for Chabrol.""

Locale Convention Errors
[No errors]

Style Errors
[Minor]: [awkward] - The phrasing in the translation, such as ""to proofread the pages when the soul yearns for Chabrol,"" is a bit stilted and could be improved for more natural-sounding English.

Terminology Errors
[No errors]

Non-translation Errors
[No errors]

Other Errors
[No errors]

Overall, the translation is generally accurate and understandable, with only minor issues related to fluency and style. The quality is acceptable."
